table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_median_salary_,field_asian_number,field_asian_median_salary_,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_median_salary_,field_black_or_african_american_number,field_black_or_african_american_median_salary_,field_hispanic_or_latino_number,field_hispanic_or_latino_median_salary_,field_white_number,field_white_median_salary_,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_median_salary_,field_more_than_one_race_number,field_more_than_one_race_median_salary_
1625,r022,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences -> Computer science,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,Computer science,4,17000,96000,5000,80000,s,s,s,s,2000,s,9000,129000,s,s,s,s
1625,r023,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences -> Mathematics and statistics,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,Mathematics and statistics,4,41000,65000,7000,75000,s,s,2000,62000,1000,s,31000,63000,s,s,s,s
1625,r024,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",,,2,464000,56000,96000,54000,s,s,12000,73000,27000,47000,318000,60000,1000,74000,8000,54000
1625,r025,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Agricultural and food scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Agricultural and food scientists,,3,35000,59000,6000,54000,s,s,1000,s,4000,s,23000,70000,s,s,s,s
1625,r026,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,,3,344000,55000,82000,52000,s,s,10000,74000,19000,47000,225000,56000,1000,85000,7000,60000
1625,r027,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biochemists and biophysicists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Biochemists and biophysicists,4,60000,52000,18000,50000,s,s,1000,s,6000,44000,34000,56000,s,s,s,s
1625,r028,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biological scientists (e.g., botanists, ecologists, zoologists)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,"Biological scientists (e.g., botanists, ecologists, zoologists)",4,123000,54000,26000,44000,s,s,1000,66000,5000,50000,87000,55000,s,s,2000,65000
1625,r029,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Medical scientists (excluding practitioners)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Medical scientists (excluding practitioners),4,100000,55000,21000,60000,s,s,s,s,4000,42000,70000,55000,s,s,s,s
1625,r030,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Other biological and life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Other biological and life scientists,4,62000,71000,17000,60000,s,s,5000,79000,4000,47000,33000,71000,s,s,s,s
1625,r031,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Forestry and conservation scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Forestry and conservation scientists,,3,21000,60000,s,s,s,s,s,s,s,s,20000,59000,s,s,s,s
1625,r032,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,,3,64000,70000,8000,79000,s,s,1000,s,3000,44000,51000,72000,s,s,s,s
1625,r033,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Agriculture",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Agriculture,4,4000,95000,s,s,s,s,s,s,s,s,3000,97000,s,s,s,s
1625,r034,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Biological sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Biological sciences,4,53000,62000,5000,77000,s,s,1000,s,3000,45000,44000,62000,s,s,s,s
1625,r035,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Other natural sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Other natural sciences,4,7000,79000,2000,s,s,s,s,s,s,s,4000,94000,s,s,s,s
1625,r036,S&E occupations -> Physical and related scientists,S&E occupations,Physical and related scientists,,,2,278000,74000,39000,60000,s,s,10000,66000,16000,54000,203000,77000,s,s,6000,68000
1625,r037,"S&E occupations -> Physical and related scientists -> Chemists, except biochemists",S&E occupations,Physical and related scientists,"Chemists, except biochemists",,3,98000,65000,15000,65000,s,s,6000,63000,7000,44000,67000,70000,s,s,s,s
1625,r038,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",,3,61000,77000,5000,58000,s,s,1000,s,2000,62000,53000,79000,s,s,1000,85000
1625,r039,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Atmospheric and space scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Atmospheric and space scientists,4,11000,88000,1000,s,s,s,s,s,s,s,10000,88000,s,s,1000,s
1625,r040,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Geologists, including earth scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers","Geologists, including earth scientists",4,48000,75000,3000,54000,s,s,1000,s,2000,59000,41000,76000,s,s,1000,s
1625,r041,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Oceanographers,4,2000,97000,s,s,s,s,s,s,s,s,s,s,s,s,s,s
1625,r042,S&E occupations -> Physical and related scientists -> Physicists and astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,,3,34000,69000,11000,35000,s,s,s,s,s,s,22000,107000,s,s,s,s
1625,r043,S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,Astronomers,4,3000,s,s,s,s,s,s,s,s,s,3000,s,s,s,s,s
1625,r044,"S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Physicists, except biophysicists",S&E occupations,Physical and related scientists,Physicists and astronomers,"Physicists, except biophysicists",4,32000,66000,10000,35000,s,s,s,s,s,s,19000,108000,s,s,s,s
1625,r045,S&E occupations -> Physical and related scientists -> Other physical and related scientists,S&E occupations,Physical and related scientists,Other physical and related scientists,,3,40000,73000,3000,109000,s,s,3000,92000,s,s,28000,73000,s,s,2000,s
1625,r046,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,,3,44000,86000,6000,84000,s,s,1000,s,2000,62000,34000,91000,s,s,s,s
1625,r047,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Chemistry,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,Chemistry,4,15000,88000,3000,88000,s,s,s,s,1000,s,11000,91000,s,s,s,s
1625,r048,"S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Earth, environmental, and marine sciences",S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,"Earth, environmental, and marine sciences",4,15000,78000,1000,s,s,s,s,s,1000,s,13000,76000,s,s,s,s
1625,r049,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Physics,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,Physics,4,14000,91000,3000,80000,s,s,s,s,s,s,9000,98000,s,s,s,s
1625,r050,S&E occupations -> Social and related scientists,S&E occupations,Social and related scientists,,,2,316000,75000,21000,80000,s,s,19000,65000,35000,70000,236000,77000,s,s,5000,72000
1625,r051,S&E occupations -> Social and related scientists -> Economists,S&E occupations,Social and related scientists,Economists,,3,39000,74000,2000,102000,s,s,1000,98000,3000,115000,31000,s,s,s,s,s
1625,r052,S&E occupations -> Social and related scientists -> Political scientists,S&E occupations,Social and related scientists,Political scientists,,3,12000,104000,s,s,s,s,s,s,s,s,11000,110000,s,s,s,s
1625,r053,"S&E occupations -> Social and related scientists -> Psychologists, including clinical",S&E occupations,Social and related scientists,"Psychologists, including clinical",,3,128000,75000,6000,102000,s,s,6000,59000,22000,71000,92000,78000,s,s,2000,s
1625,r054,S&E occupations -> Social and related scientists -> Sociologists and anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,,3,19000,41000,s,s,s,s,s,s,s,s,16000,43000,s,s,s,s
1625,r055,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Anthropologists,4,9000,44000,s,s,s,s,s,s,s,s,8000,45000,s,s,s,s
1625,r056,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Sociologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Sociologists,4,10000,34000,s,s,s,s,s,s,s,s,8000,s,s,s,s,s
1625,r057,S&E occupations -> Social and related scientists -> Other social and related scientists,S&E occupations,Social and related scientists,Other social and related scientists,,3,35000,82000,3000,134000,s,s,2000,s,4000,40000,26000,88000,s,s,s,s
1625,r058,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,,3,83000,75000,8000,77000,s,s,9000,69000,4000,74000,61000,75000,s,s,1000,58000
1625,r059,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Economics,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Economics,4,12000,90000,s,s,s,s,s,s,s,s,9000,102000,s,s,s,s
1625,r060,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Political science,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Political science,4,13000,83000,s,s,s,s,s,s,s,s,8000,86000,s,s,s,s
1625,r061,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Psychology,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Psychology,4,26000,70000,4000,72000,s,s,1000,s,1000,67000,20000,66000,s,s,s,s
1625,r062,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Sociology,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Sociology,4,11000,67000,s,s,s,s,s,s,1000,67000,9000,67000,s,s,s,s
1625,r063,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Other social sciences,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Other social sciences,4,20000,73000,s,s,s,s,s,s,s,s,15000,75000,s,s,s,s
1625,r064,S&E occupations -> Engineers,S&E occupations,Engineers,,,2,1377000,96000,243000,98000,4000,94000,44000,86000,117000,90000,937000,97000,8000,108000,23000,89000
1625,r065,"S&E occupations -> Engineers -> Aerospace, aeronautical, or astronautical engineers",S&E occupations,Engineers,"Aerospace, aeronautical, or astronautical engineers",,3,106000,120000,12000,116000,s,s,s,s,11000,118000,75000,120000,s,s,2000,110000
1625,r066,S&E occupations -> Engineers -> Chemical engineers,S&E occupations,Engineers,Chemical engineers,,3,80000,98000,15000,87000,s,s,s,s,4000,90000,60000,100000,s,s,s,s
1625,r067,"S&E occupations -> Engineers -> Civil, architectural, or sanitary engineers",S&E occupations,Engineers,"Civil, architectural, or sanitary engineers",,3,222000,83000,28000,80000,s,s,8000,85000,23000,66000,159000,84000,s,s,3000,81000
1625,r068,S&E occupations -> Engineers -> Electrical or computer hardware engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,,3,313000,104000,86000,109000,s,s,11000,85000,23000,91000,186000,105000,s,s,5000,102000
1625,r069,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Computer engineers &#8212; hardware,S&E occupations,Engineers,Electrical or computer hardware engineers,Computer engineers &#8212; hardware,4,55000,110000,19000,124000,s,s,1000,73000,3000,105000,30000,101000,s,s,s,s
1625,r070,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Electrical and electronics engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,Electrical and electronics engineers,4,257000,103000,67000,107000,s,s,9000,89000,20000,90000,155000,105000,s,s,3000,76000
1625,r071,S&E occupations -> Engineers -> Industrial engineers,S&E occupations,Engineers,Industrial engineers,,3,55000,87000,6000,69000,s,s,3000,90000,11000,105000,35000,83000,s,s,s,s
1625,r072,S&E occupations -> Engineers -> Mechanical engineers,S&E occupations,Engineers,Mechanical engineers,,3,265000,90000,42000,89000,s,s,5000,95000,18000,90000,194000,92000,s,s,4000,77000
1625,r073,S&E occupations -> Engineers -> Other engineers,S&E occupations,Engineers,Other engineers,,3,299000,95000,42000,87000,s,s,14000,74000,24000,84000,207000,99000,4000,s,8000,79000
1625,r074,S&E occupations -> Engineers -> Other engineers -> Agricultural engineers,S&E occupations,Engineers,Other engineers,Agricultural engineers,4,3000,93000,s,s,s,s,s,s,s,s,3000,93000,s,s,s,s
1625,r075,S&E occupations -> Engineers -> Other engineers -> Bioengineers or biomedical engineers,S&E occupations,Engineers,Other engineers,Bioengineers or biomedical engineers,4,21000,87000,5000,82000,s,s,s,s,2000,68000,13000,96000,s,s,s,s
1625,r076,S&E occupations -> Engineers -> Other engineers -> Environmental engineers,S&E occupations,Engineers,Other engineers,Environmental engineers,4,47000,77000,2000,70000,s,s,2000,54000,3000,72000,39000,79000,s,s,s,s
1625,r077,S&E occupations -> Engineers -> Other engineers -> Marine engineers and naval architects,S&E occupations,Engineers,Other engineers,Marine engineers and naval architects,4,7000,92000,s,s,s,s,s,s,s,s,5000,98000,s,s,s,s
1625,r078,S&E occupations -> Engineers -> Other engineers -> Materials and metallurgical engineers,S&E occupations,Engineers,Other engineers,Materials and metallurgical engineers,4,28000,95000,3000,110000,s,s,s,s,3000,112000,18000,98000,s,s,s,s
1625,r079,S&E occupations -> Engineers -> Other engineers -> Mining and geological engineers,S&E occupations,Engineers,Other engineers,Mining and geological engineers,4,3000,92000,s,s,s,s,s,s,s,s,2000,91000,s,s,s,s
1625,r080,S&E occupations -> Engineers -> Other engineers -> Nuclear engineers,S&E occupations,Engineers,Other engineers,Nuclear engineers,4,18000,89000,s,s,s,s,s,s,s,s,13000,98000,s,s,s,s
1625,r081,S&E occupations -> Engineers -> Other engineers -> Petroleum engineers,S&E occupations,Engineers,Other engineers,Petroleum engineers,4,19000,117000,3000,79000,s,s,s,s,s,s,14000,126000,s,s,s,s
1625,r082,S&E occupations -> Engineers -> Other engineers -> Sales engineers,S&E occupations,Engineers,Other engineers,Sales engineers,4,55000,114000,4000,94000,s,s,s,s,3000,117000,43000,115000,s,s,s,s
1625,r083,S&E occupations -> Engineers -> Other engineers -> Other engineers,S&E occupations,Engineers,Other engineers,Other engineers,4,99000,97000,20000,98000,s,s,7000,82000,9000,88000,57000,101000,s,s,4000,68000
1625,r084,S&E occupations -> Engineers -> Postsecondary teachers &#8212; engineering,S&E occupations,Engineers,Postsecondary teachers &#8212; engineering,,3,38000,101000,12000,95000,s,s,1000,s,2000,99000,22000,109000,s,s,s,s
1625,r085,S&E-related occupations,S&E-related occupations,,,,1,1725000,80000,328000,94000,s,s,138000,52000,174000,60000,1036000,82000,3000,64000,37000,93000
1625,r086,S&E-related occupations -> Health-related occupations,S&E-related occupations,Health-related occupations,,,2,478000,56000,78000,66000,s,s,58000,39000,39000,43000,276000,57000,s,s,20000,92000
1625,r087,"S&E-related occupations -> Health-related occupations -> Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",S&E-related occupations,Health-related occupations,"Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",,3,63000,60000,17000,300000,s,s,s,s,s,s,40000,58000,s,s,s,s
1625,r088,"S&E-related occupations -> Health-related occupations -> Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",S&E-related occupations,Health-related occupations,"Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",,3,126000,67000,18000,81000,s,s,s,s,14000,46000,74000,65000,s,s,5000,s
1625,r089,"S&E-related occupations -> Health-related occupations -> Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",S&E-related occupations,Health-related occupations,"Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",,3,155000,49000,24000,53000,s,s,21000,36000,9000,39000,99000,50000,s,s,s,s
1625,r090,S&E-related occupations -> Health-related occupations -> Other health occupations,S&E-related occupations,Health-related occupations,Other health occupations,,3,119000,48000,15000,40000,s,s,27000,40000,11000,33000,52000,49000,s,s,13000,s
1625,r091,S&E-related occupations -> Health-related occupations -> Postsecondary teachers &#8212; health and related sciences,S&E-related occupations,Health-related occupations,Postsecondary teachers &#8212; health and related sciences,,3,15000,114000,4000,142000,s,s,s,s,s,s,10000,113000,s,s,s,s
1625,r092,S&E-related occupations -> S&E managers,S&E-related occupations,S&E managers,,,2,515000,129000,92000,138000,s,s,15000,119000,39000,114000,357000,129000,1000,s,8000,137000
1625,r093,S&E-related occupations -> S&E managers -> Computer and information systems managers,S&E-related occupations,S&E managers,Computer and information systems managers,,3,149000,141000,46000,136000,s,s,5000,119000,8000,119000,84000,154000,s,s,5000,s
1625,r094,S&E-related occupations -> S&E managers -> Engineering managers,S&E-related occupations,S&E managers,Engineering managers,,3,266000,124000,36000,149000,s,s,5000,110000,23000,119000,198000,120000,s,s,1000,s
1625,r095,S&E-related occupations -> S&E managers -> Medical and health services managers,S&E-related occupations,S&E managers,Medical and health services managers,,3,50000,102000,4000,s,s,s,s,s,s,s,37000,104000,s,s,1000,s
1625,r096,S&E-related occupations -> S&E managers -> Natural sciences managers,S&E-related occupations,S&E managers,Natural sciences managers,,3,50000,103000,6000,136000,s,s,s,s,2000,102000,37000,102000,s,s,s,s
1625,r097,S&E-related occupations -> S&E precollege teachers,S&E-related occupations,S&E precollege teachers,,,2,198000,51000,19000,57000,s,s,25000,51000,30000,48000,122000,54000,s,s,3000,45000
1625,r098,"S&E-related occupations -> S&E precollege teachers -> Secondary &#8212; computer, mathematics, or sciences",S&E-related occupations,S&E precollege teachers,"Secondary &#8212; computer, mathematics, or sciences",,3,170000,51000,18000,57000,s,s,22000,51000,26000,49000,101000,54000,s,s,2000,46000
1625,r099,S&E-related occupations -> S&E precollege teachers -> Secondary &#8212; social sciences,S&E-related occupations,S&E precollege teachers,Secondary &#8212; social sciences,,3,29000,50000,s,s,s,s,s,s,3000,48000,21000,50000,s,s,s,s
1625,r100,S&E-related occupations -> S&E technicians and technologists,S&E-related occupations,S&E technicians and technologists,,,2,500000,76000,133000,80000,s,s,38000,59000,66000,82000,256000,75000,1000,s,6000,s
1625,r101,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the biological and life sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the biological and life sciences,,3,80000,57000,17000,58000,s,s,5000,s,10000,39000,47000,65000,s,s,1000,s
1625,r102,"S&E-related occupations -> S&E technicians and technologists -> Computer programmers (business, scientific, process control)",S&E-related occupations,S&E technicians and technologists,"Computer programmers (business, scientific, process control)",,3,116000,95000,43000,99000,s,s,8000,94000,14000,53000,51000,100000,s,s,s,s
1625,r103,"S&E-related occupations -> S&E technicians and technologists -> Electrical, electronic, industrial, and mechanical technicians",S&E-related occupations,S&E technicians and technologists,"Electrical, electronic, industrial, and mechanical technicians",,3,158000,79000,44000,69000,s,s,16000,55000,30000,s,67000,82000,s,s,1000,s
1625,r104,"S&E-related occupations -> S&E technicians and technologists -> Drafting occupations, including computer drafting",S&E-related occupations,S&E technicians and technologists,"Drafting occupations, including computer drafting",,3,9000,60000,s,s,s,s,s,s,s,s,6000,58000,s,s,s,s
1625,r105,S&E-related occupations -> S&E technicians and technologists -> Surveying and mapping technicians,S&E-related occupations,S&E technicians and technologists,Surveying and mapping technicians,,3,9000,56000,s,s,s,s,s,s,s,s,6000,51000,s,s,s,s
1625,r106,S&E-related occupations -> S&E technicians and technologists -> Other engineering technologists and technicians,S&E-related occupations,S&E technicians and technologists,Other engineering technologists and technicians,,3,84000,84000,19000,94000,s,s,7000,82000,8000,76000,48000,80000,s,s,s,s
1625,r107,"S&E-related occupations -> S&E technicians and technologists -> Surveyors, cartographers, photogrammetrists",S&E-related occupations,S&E technicians and technologists,"Surveyors, cartographers, photogrammetrists",,3,20000,58000,s,s,s,s,s,s,s,s,16000,58000,s,s,s,s
1625,r108,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the mathematical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the mathematical sciences,,3,2000,112000,s,s,s,s,s,s,s,s,s,s,s,s,s,s
1625,r109,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the physical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the physical sciences,,3,22000,47000,s,s,s,s,s,s,s,s,14000,47000,s,s,s,s
1625,r110,S&E-related occupations -> Other S&E-related occupations,S&E-related occupations,Other S&E-related occupations,,,2,34000,99000,7000,97000,s,s,s,s,s,s,26000,99000,s,s,s,s
1625,r111,S&E-related occupations -> Other S&E-related occupations -> Architects,S&E-related occupations,Other S&E-related occupations,Architects,,3,18000,100000,6000,99000,s,s,s,s,s,s,10000,99000,s,s,s,s
1625,r112,S&E-related occupations -> Other S&E-related occupations -> Actuaries,S&E-related occupations,Other S&E-related occupations,Actuaries,,3,16000,97000,1000,s,s,s,s,s,s,s,15000,97000,s,s,s,s
