table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7951,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,693318,691653,779526,841877,901667,934765
7951,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1758558,1966837,1958028,2077045,2150487,2287340,1463318,1418792,1228346,1301982,1329244,1439006
7951,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,592200,640471,674461,670801,657868,640874,679494,700260,750358,769073,800322,772935
7951,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,4621772,4768816,4710125,4646909,4616416,4659245,4887988,5050157,5232227,5550741,5671806,5740630
7951,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,573229,583847,706544,558635,567022,626589,621738,648813,668227,734987,780356,741127
7951,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1748465,1783604,1748904,1704123,1724263,1757548,1773406,1791523,1866167,1965466,1929674,1999546
7951,r019,All R&D fields -> Science -> Physical sciences -> Materials science<sup>a</sup>,All R&D fields,Science,Physical sciences,Materials science<sup>a</sup>,4,na,na,na,na,na,na,172271,227825,254447,259316,252521,285931
7951,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1998732,2108340,1985954,2097154,2056272,2047668,2120550,2155695,2206620,2327034,2434432,2463331
7951,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,301346,293025,268723,286997,268859,227440,200023,226301,236766,263938,274823,250695
7951,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1077655,1159180,1179323,1128352,1143373,1183638,1221218,1244637,1259453,1326351,1360904,1326030
7951,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,1999942,2063007,2053656,2173232,2212011,2319031,2364783,2554565,2721777,2805154,2953545,2842033
7951,r024,All R&D fields -> Science -> Social sciences -> Anthropology<sup>a</sup>,All R&D fields,Science,Social sciences,Anthropology<sup>a</sup>,4,na,na,na,na,na,na,95932,110926,118229,124385,119869,109546
7951,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,352890,387036,383405,408304,428473,456480,398366,433997,455900,458086,558825,549132
7951,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,374903,370694,390074,427503,426668,459265,383994,412103,438069,447750,425776,425661
7951,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,419895,433484,461011,482284,504959,524683,503610,551853,608723,610102,594688,552551
7951,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,852254,871793,819166,855141,851911,878603,982881,1045686,1100856,1164831,1254387,1205143
7951,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1156223,1090771,1101802,1172376,1044018,1078081,1074768,946393,889792,915312,953370,1022500
7951,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,9325722,10032590,10284111,10734157,10976067,11070075,11373163,11911276,12363648,13214628,13707821,14293487
7951,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,635234,667757,662444,689553,662432,734153,883100,990723,1010502,1170169,1293452,1451964
7951,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,745277,817389,871917,884421,951148,1003910,1086194,1220680,1343753,1451159,1470038,1560381
7951,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,821163,913905,903613,910413,907074,914493,884662,934527,931039,977578,1001458,1024301
7951,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1106759,1208592,1232944,1296972,1256871,1287269,1329959,1302314,1354775,1432949,1424780,1482377
7951,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,2050292,2206894,2311665,2408824,2479755,2492371,2512529,2726458,2843796,2937880,3051845,3080363
7951,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering<sup>a</sup>,All R&D fields,Engineering,Industrial and manufacturing engineering<sup>a</sup>,,3,na,na,na,na,na,na,236678,351081,514781,556355,586908,573915
7951,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1458382,1556892,1550151,1647643,1504172,1514636,1435885,1535819,1630541,1704961,1817413,1881551
7951,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,703332,738892,757967,812240,1203063,1101917,744005,735699,762695,792370,818665,841196
7951,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,1805283,1922269,1993410,2084091,2011552,2021326,2260151,2113975,1971766,2191207,2243262,2397439
7951,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,2899059,3286376,3530026,3658868,3433055,3614427,4133261,4300523,4641831,4854301,5023112,5113430
7951,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,370015,400376,443079,476025,482893,569716,642391,725284,784394,868166,880567,934020
7951,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,130396,153743,159920,148900,166896,168512,166409,202539,191599,206728,190252,186003
7951,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,993588,1120766,1233437,1221364,1245066,1292666,1340240,1384278,1503593,1521681,1602246,1616705
7951,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,260374,313032,339633,386759,402209,430174,443138,492626,504115,538074,563400,556694
7951,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,98109,124779,131514,173479,149235,174692,184339,223824,266377,255794,267655,282662
7951,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,177331,194667,199046,212331,226062,214205,211549,235295,245113,285646,307106,319273
7951,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,68717,77358,84596,87838,95869,100681,133869,124907,137162,158971,173191,179563
7951,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,800529,901655,938801,952172,664825,663781,1011326,911770,1009478,1019241,1038695,1038510
