table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1327,r017,R&D and R&D plant -> Other natural resources (306),R&D and R&D plant,Other natural resources (306),,,,2,1494,1521,1126,1.8,-25.9
1327,r018,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,,,3,806,838,624,3.9,-25.6
1327,r019,"R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,"National Environmental Satellite, Data, and Information Service",,4,30,31,29,3.0,-4.4
1327,r020,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Marine Fisheries Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,National Marine Fisheries Service,,4,70,81,55,15.7,-32.6
1327,r021,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Ocean Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,National Ocean Service,,4,82,94,75,14.7,-20.3
1327,r022,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Weather Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,National Weather Service,,4,23,22,13,-5.4,-39.4
1327,r023,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,Office of Oceanic and Atmospheric Research,,4,501,481,322,-4.0,-33.1
1327,r024,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> Office of Marine and Aviation Operations,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,Office of Marine and Aviation Operations,,4,100,129,129,28.7,0.4
1327,r025,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup>,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,,,3,688,683,503,-0.7,-26.4
1327,r026,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Administration and enterprise information,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Administration and enterprise information,,4,0.5,0.5,0.4,-0.8,-16.0
1327,r027,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Land resources<sup>g</sup>,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Land resources<sup>g</sup>,,4,104,103,63,-0.8,-38.6
1327,r028,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Core science systems,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Core science systems,,4,88,88,71,-0.7,-18.7
1327,r029,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Ecosystems,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Ecosystems,,4,160,159,96,-0.7,-39.4
1327,r030,"R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Energy, minerals, and environmental health",R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,"Energy, minerals, and environmental health",,4,94,94,84,-0.7,-10.2
1327,r031,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Natural hazards,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Natural hazards,,4,118,117,98,-0.7,-16.8
1327,r032,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Water resources,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Water resources,,4,123,122,90,-0.7,-26.4
1327,r033,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2378,2389,1691,0.4,-29.2
1327,r034,R&D and R&D plant -> R&D -> Conservation and land management (302),R&D and R&D plant,R&D,Conservation and land management (302),,,3,420,416,344,-1.0,-17.3
1327,r035,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of the Interior<sup>c</sup>,R&D and R&D plant,R&D,Conservation and land management (302),Department of the Interior<sup>c</sup>,,4,147,144,118,-2.0,-18.1
1327,r036,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,,4,273,272,226,-0.4,-16.9
1327,r037,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,Forest Service,5,273,272,226,-0.4,-16.9
1327,r038,R&D and R&D plant -> R&D -> Pollution control and abatement (304),R&D and R&D plant,R&D,Pollution control and abatement (304),,,3,498,495,276,-0.7,-44.2
1327,r039,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,,4,496,493,274,-0.7,-44.3
1327,r040,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,5,1,1,1,0.0,-20.0
1327,r041,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,5,480,476,256,-0.7,-46.3
1327,r042,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Superfund,5,15,15,17,-0.6,13.7
1327,r043,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Coast Guard (DHS),R&D and R&D plant,R&D,Pollution control and abatement (304),Coast Guard (DHS),,4,2,2,2,0.0,0.0
1327,r044,R&D and R&D plant -> R&D -> Recreational resources (303),R&D and R&D plant,R&D,Recreational resources (303),,,3,27,26,24,-3.7,-7.7
1327,r045,R&D and R&D plant -> R&D -> Recreational resources (303) -> National Park Service (DOI)<sup>d</sup>,R&D and R&D plant,R&D,Recreational resources (303),National Park Service (DOI)<sup>d</sup>,,4,27,26,24,-3.7,-7.7
1327,r046,R&D and R&D plant -> R&D -> Water resources (301),R&D and R&D plant,R&D,Water resources (301),,,3,83,115,94,38.6,-18.3
1327,r047,R&D and R&D plant -> R&D -> Water resources (301) -> Army Corps of Engineers (DOD),R&D and R&D plant,R&D,Water resources (301),Army Corps of Engineers (DOD),,4,11,11,11,0.0,0.0
1327,r048,R&D and R&D plant -> R&D -> Water resources (301) -> Bureau of Reclamation (DOI),R&D and R&D plant,R&D,Water resources (301),Bureau of Reclamation (DOI),,4,72,104,83,44.4,-20.2
1327,r049,R&D and R&D plant -> R&D -> Other natural resources (306),R&D and R&D plant,R&D,Other natural resources (306),,,3,1350,1337,953,-1.0,-28.7
1327,r050,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,,4,663,654,450,-1.3,-31.2
1327,r051,"R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,"National Environmental Satellite, Data, and Information Service",5,30,31,29,3.0,-4.4
1327,r052,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,National Marine Fisheries Service,5,70,81,55,15.7,-32.6
1327,r053,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Ocean Service,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,National Ocean Service,5,82,94,75,15.1,-20.3
1327,r054,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> National Weather Service,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,National Weather Service,5,21,21,12,-0.2,-40.8
1327,r055,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,Office of Oceanic and Atmospheric Research,5,459,427,278,-7.1,-34.7
1327,r056,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC)<sup>e</sup> -> Office of Marine and Aviation Operations,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC)<sup>e</sup>,Office of Marine and Aviation Operations,5,0,0,0,--,--
1327,r057,R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup>,R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,,4,688,683,503,-0.7,-26.4
1327,r058,R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Administration and enterprise information,R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Administration and enterprise information,5,0.5,0.5,0.4,-0.8,-16.0
1327,r059,R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Land resources<sup>g</sup>,R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Land resources<sup>g</sup>,5,104,103,63,-0.8,-38.6
1327,r060,R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Core science systems,R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Core science systems,5,88,88,71,-0.7,-18.7
1327,r061,R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Ecosystems,R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Ecosystems,5,160,159,96,-0.7,-39.4
1327,r062,"R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Energy, minerals, and environmental health",R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,"Energy, minerals, and environmental health",5,94,94,84,-0.7,-10.2
1327,r063,R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Natural hazards,R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Natural hazards,5,118,117,98,-0.7,-16.8
1327,r064,R&D and R&D plant -> R&D -> Other natural resources (306) -> Geological Survey (DOI)<sup>f</sup> -> Water resources,R&D and R&D plant,R&D,Other natural resources (306),Geological Survey (DOI)<sup>f</sup>,Water resources,5,123,122,90,-0.7,-26.4
