table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_4_year_educational_institutiona_median_salary,field_4_year_educational_institutiona_se,field_other_educational_institutionb_median_salary,field_other_educational_institutionb_se,field_private_for_profitc_median_salary,field_private_for_profitc_se,field_private_nonprofit_median_salary,field_private_nonprofit_se,field_federal_government_median_salary,field_federal_government_se,field_state_or_local_government_median_salary,field_state_or_local_government_se,field_self_employedd_median_salary,field_self_employedd_se,field_othere_median_salary,field_othere_se
9266,r012,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,113000,4000,92000,2500,79000,3500,170000,5500,147000,24500,135000,8000,111000,11500,143000,32000,155000,62500
9266,r013,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,125000,500,91000,2000,72000,3500,150000,500,138000,5500,142000,5000,106000,8500,94000,33500,121000,8000
9266,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,120000,3500,89000,5500,86000,12000,165000,9000,132000,13000,133000,12500,144000,13500,,,,
9266,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,123000,3000,85000,3000,72000,3500,145000,3500,107000,16000,139000,10000,89000,3500,146000,26500,112000,14000
9266,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,107000,3000,90000,2000,74000,5500,134000,5500,106000,5000,129000,3000,90000,5500,73000,29000,126000,22000
9266,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,140000,1500,101000,4500,72000,6000,159000,2000,160000,6500,151000,6000,145000,6000,S,S,122000,50000
9266,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,106000,1500,95000,2000,90000,1500,125000,4000,109000,1000,118000,3000,104000,3000,121000,5000,96000,19500
9266,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,109000,2000,98000,2000,85000,5000,171000,4500,131000,4500,143000,4500,94000,4000,79000,18000,175000,22500
9266,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,149000,3000,124000,5000,85000,8500,199000,3500,174000,15000,160000,3000,103000,9000,109000,20500,198000,15000
9266,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,108000,3000,98000,4000,97000,15000,178000,12500,127000,8000,149000,10500,108000,14000,S,S,S,S
9266,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,96000,3500,90000,1000,81000,9000,139000,10500,130000,13500,128000,14000,90000,6500,133000,17000,176000,49500
9266,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,92000,1500,89000,1500,79000,3500,130000,3000,92000,7000,118000,8000,86000,4500,56000,22500,144000,46000
9266,r024,All fields -> Engineering,All fields,Engineering,,,2,145000,1000,109000,1500,70000,13000,160000,500,142000,4500,139000,2000,110000,10500,96000,4500,148000,5500
9266,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,149000,1000,114000,11500,,,160000,6000,143000,13500,138000,10000,149000,20000,,,,
9266,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,141000,5000,118000,9500,58000,2000,150000,4500,135000,10500,133000,10500,135000,20500,116000,27000,124000,10500
9266,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,120000,1000,103000,3000,115000,19500,139000,7500,125000,16000,127000,10500,100000,5500,83000,9000,142000,31000
9266,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,160000,2000,119000,4500,S,S,174000,2500,156000,11000,148000,7000,150000,60000,89000,26500,153000,9500
9266,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,132000,4500,100000,2000,,,149000,2500,127000,9000,146000,7000,149000,11500,92000,3500,,
9266,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,144000,3500,100000,5000,S,S,150000,2500,150000,11500,130000,8000,S,S,91000,20000,138000,10000
9266,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,138000,3500,111000,3500,95000,12000,155000,5000,134000,6500,139000,4500,128000,12500,87000,34000,111000,25000
9266,r032,All fields -> Health,All fields,Health,,,2,115000,2000,100000,1000,103000,9000,150000,6000,137000,8500,139000,5500,115000,8500,93000,24000,115000,12500
