table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2020_atmospheric_science_and_meteorology,field_2020_geological_and_earth_sciences,field_2020_ocean_sciences_and_marine_sciences,field_2020_geosciences_atmospheric_sciences_and_ocean_sciences_nec
5421,r013,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,12,"['35,624', 'i']","['34,663', 'i']","['42,585', 'i']","['65,556', 'i']","['10,436', 'i']","['26,228', 'i']","['16,698', 'i']","['12,194', 'i']"
5421,r014,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,13,"['52,105', '']","['50,280', '']","['58,701', '']","['65,000', '']","['40,482', '']","['15,574', '']","['0', '']","['8,944', '']"
5421,r015,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,14,"['64,052', '']","['55,302', '']","['51,155', '']","['61,145', '']","['38', '']","['47,519', '']","['11,098', '']","['2,490', '']"
5421,r016,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,15,"['na', '']","['na', '']","['52,823', '']","['58,099', '']","['28,448', '']","['26,350', '']","['2,551', '']","['750', '']"
5421,r017,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,16,"['51,592', '']","['52,678', '']","['48,149', '']","['51,661', '']","['23,179', '']","['6,146', '']","['22,336', '']","['0', '']"
5421,r018,All institutions -> U. Miami,All institutions,U. Miami,2,17,"['63,018', '']","['50,321', '']","['48,427', '']","['50,684', '']","['31,048', '']","['0', '']","['18,881', '']","['755', '']"
5421,r019,All institutions -> U. Maryland Center for Environmental Science,All institutions,U. Maryland Center for Environmental Science,2,18,"['46,312', '']","['42,675', '']","['43,867', '']","['43,554', '']","['80', '']","['3,719', '']","['38,546', '']","['1,209', '']"
5421,r020,All institutions -> Harvard U.,All institutions,Harvard U.,2,19,"['37,409', '']","['42,697', '']","['43,664', '']","['43,505', '']","['5,791', '']","['10,816', '']","['25', '']","['26,873', '']"
5421,r021,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,20,"['33,138', '']","['32,030', '']","['37,101', '']","['43,338', '']","['2,539', '']","['33,000', '']","['114', '']","['7,685', '']"
5421,r022,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,21,"['49,241', '']","['47,018', '']","['50,513', '']","['42,634', '']","['0', '']","['13,990', '']","['19,534', '']","['9,110', '']"
5421,r023,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,22,"['35,266', '']","['38,361', '']","['38,106', '']","['41,594', '']","['8,368', '']","['25,136', '']","['0', '']","['8,090', '']"
5421,r024,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,23,"['44,378', '']","['50,302', '']","['46,390', '']","['41,590', '']","['19,239', '']","['18,116', '']","['4,235', '']","['0', '']"
5421,r025,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,24,"['30,714', '']","['33,665', '']","['35,554', '']","['40,396', '']","['0', '']","['15,783', '']","['24,517', '']","['96', '']"
5421,r026,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,25,"['45,970', '']","['48,616', '']","['40,030', '']","['39,215', '']","['1,848', '']","['5,693', '']","['22,241', '']","['9,433', '']"
5421,r027,All institutions -> William & Mary,All institutions,William & Mary,2,26,"['34,067', '']","['33,109', '']","['32,425', '']","['33,084', '']","['0', '']","['924', '']","['32,160', '']","['0', '']"
5421,r028,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,27,"['47,798', '']","['41,824', '']","['34,015', '']","['32,718', '']","['8,892', '']","['11,897', '']","['8,738', '']","['3,191', '']"
5421,r029,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,28,"['29,452', '']","['31,488', '']","['31,853', '']","['32,283', '']","['0', '']","['4,269', '']","['20,469', '']","['7,545', '']"
5421,r030,All institutions -> U. Arizona,All institutions,U. Arizona,2,29,"['29,723', '']","['28,947', '']","['31,075', '']","['31,148', '']","['5,223', '']","['22,911', '']","['2,390', '']","['624', '']"
5421,r031,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,30,"['25,750', '']","['27,316', '']","['29,166', '']","['30,153', '']","['3,131', '']","['3,248', '']","['4,860', '']","['18,914', '']"
5421,r032,All institutions -> U. Southern Mississippi,All institutions,U. Southern Mississippi,2,31,"['23,802', '']","['18,864', '']","['29,968', '']","['29,843', '']","['0', '']","['4,695', '']","['9,920', '']","['15,228', '']"
5421,r033,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,32,"['22,218', '']","['24,348', '']","['26,570', '']","['29,389', '']","['0', '']","['7,332', '']","['15,676', '']","['6,381', '']"
5421,r034,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,33,"['19,596', '']","['19,819', '']","['21,691', '']","['27,010', '']","['6,860', '']","['0', '']","['6,576', '']","['13,574', '']"
5421,r035,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,34,"['25,429', '']","['19,173', '']","['18,036', '']","['25,634', '']","['3,068', '']","['394', '']","['21,523', '']","['649', '']"
5421,r036,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,35,"['28,092', '']","['25,646', '']","['26,282', '']","['25,334', '']","['172', '']","['6,255', '']","['18,756', '']","['151', '']"
5421,r037,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,36,"['27,289', '']","['26,509', '']","['25,127', '']","['24,670', '']","['0', '']","['6,424', '']","['18,246', '']","['0', '']"
5421,r038,All institutions -> U. Maine,All institutions,U. Maine,2,37,"['25,031', '']","['22,741', '']","['25,039', '']","['24,051', '']","['0', '']","['7,773', '']","['16,252', '']","['26', '']"
5421,r039,All institutions -> Princeton U.,All institutions,Princeton U.,2,38,"['25,660', '']","['28,636', '']","['24,755', '']","['23,819', '']","['8,301', '']","['8,028', '']","['4,200', '']","['3,290', '']"
5421,r040,All institutions -> Desert Research Institute,All institutions,Desert Research Institute,2,39,"['26,941', '']","['24,601', '']","['23,991', '']","['22,889', '']","['5,832', '']","['17,057', '']","['0', '']","['0', '']"
5421,r041,All institutions -> Florida State U.,All institutions,Florida State U.,2,40,"['19,668', '']","['20,650', '']","['18,343', '']","['20,816', '']","['5,296', '']","['3,047', '']","['10,749', '']","['1,724', '']"
5421,r042,All institutions -> U. Georgia,All institutions,U. Georgia,2,41,"['24,163', '']","['22,530', '']","['23,281', '']","['20,493', '']","['0', '']","['4,006', '']","['16,487', '']","['0', '']"
5421,r043,All institutions -> Stanford U.,All institutions,Stanford U.,2,42,"['16,079', '']","['18,036', '']","['17,624', '']","['20,216', '']","['0', '']","['12,021', '']","['2,713', '']","['5,482', '']"
5421,r044,All institutions -> U. Utah,All institutions,U. Utah,2,43,"['11,668', '']","['12,580', 'i']","['27,848', 'i']","['20,011', 'i']","['7,124', 'i']","['12,887', 'i']","['0', 'i']","['0', 'i']"
5421,r045,All institutions -> U. Southern California,All institutions,U. Southern California,2,44,"['15,855', '']","['16,323', '']","['16,850', '']","['19,983', '']","['0', '']","['11,575', '']","['5,953', '']","['2,455', '']"
5421,r046,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,45,"['19,991', '']","['19,136', '']","['16,922', '']","['19,242', '']","['0', '']","['7,973', '']","['6,765', '']","['4,504', '']"
5421,r047,All institutions -> U. Florida,All institutions,U. Florida,2,46,"['15,350', '']","['16,846', '']","['17,186', '']","['17,740', '']","['0', '']","['9,403', '']","['7,451', '']","['886', '']"
5421,r048,All institutions -> U. Delaware,All institutions,U. Delaware,2,47,"['21,126', '']","['20,689', '']","['18,346', '']","['17,697', '']","['0', '']","['4,140', '']","['9,841', '']","['3,716', '']"
5421,r049,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,48,"['7,270', '']","['8,947', '']","['10,928', '']","['17,335', '']","['1,479', '']","['12,770', '']","['2,970', '']","['116', '']"
5421,r050,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,49,"['13,866', '']","['12,552', '']","['16,001', '']","['17,304', '']","['16,483', '']","['664', '']","['157', '']","['0', '']"
5421,r051,All institutions -> Florida International U.,All institutions,Florida International U.,2,50,"['10,799', '']","['14,800', '']","['14,955', '']","['16,023', '']","['4,262', '']","['1,952', '']","['9,809', '']","['0', '']"
5421,r052,"All institutions -> SUNY, U. Albany",All institutions,"SUNY, U. Albany",2,51,"['29,115', '']","['17,696', '']","['15,833', '']","['15,523', '']","['13,701', '']","['1,822', '']","['0', '']","['0', '']"
5421,r053,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,52,"['22,836', '']","['20,275', '']","['13,585', '']","['15,158', '']","['1,988', '']","['10,880', '']","['1,957', '']","['333', '']"
5421,r054,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,53,"['11,868', '']","['14,369', '']","['14,563', '']","['15,077', '']","['350', '']","['13,839', '']","['298', '']","['590', '']"
5421,r055,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,54,"['14,449', '']","['14,278', '']","['15,705', '']","['14,928', '']","['0', '']","['14,928', '']","['0', '']","['0', '']"
5421,r056,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,55,"['14,204', '']","['14,248', '']","['14,391', '']","['14,715', '']","['0', '']","['14,715', '']","['0', '']","['0', '']"
5421,r057,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,56,"['13,880', '']","['13,885', '']","['14,388', '']","['13,896', '']","['1,604', '']","['100', '']","['4,153', '']","['8,039', '']"
5421,r058,All institutions -> San Jose State U.,All institutions,San Jose State U.,2,57,"['12,216', '']","['14,627', '']","['12,777', '']","['13,747', '']","['2,226', '']","['159', '']","['11,355', '']","['7', '']"
5421,r059,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,58,"['10,877', '']","['9,473', '']","['6,755', '']","['12,944', '']","['9,925', '']","['3,008', '']","['0', '']","['11', '']"
5421,r060,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,59,"['11,942', '']","['12,380', '']","['12,260', '']","['12,904', '']","['432', '']","['12,419', '']","['53', '']","['0', '']"
5421,r061,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,60,"['11,305', '']","['10,922', '']","['11,580', '']","['12,705', '']","['156', '']","['12,549', '']","['0', '']","['0', '']"
5421,r062,All institutions -> Texas A&M U.-Corpus Christi,All institutions,Texas A&M U.-Corpus Christi,2,61,"['15,697', '']","['14,719', '']","['13,494', '']","['11,900', '']","['602', '']","['1,074', '']","['4,797', '']","['5,427', '']"
5421,r063,"All institutions -> U. Hawaii, system office",All institutions,"U. Hawaii, system office",2,62,"['ne', '']","['11,022', '']","['10,531', '']","['11,853', '']","['11,853', '']","['0', '']","['0', '']","['0', '']"
5421,r064,All institutions -> Nova Southeastern U.,All institutions,Nova Southeastern U.,2,63,"['8,692', '']","['7,857', '']","['8,878', '']","['11,436', '']","['0', '']","['0', '']","['11,436', '']","['0', '']"
5421,r065,"All institutions -> U. Massachusetts, Dartmouth",All institutions,"U. Massachusetts, Dartmouth",2,64,"['10,591', '']","['11,084', '']","['11,550', '']","['10,917', '']","['0', '']","['2', '']","['10,915', '']","['0', '']"
5421,r066,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,65,"['13,116', '']","['12,405', '']","['13,185', '']","['10,875', '']","['0', '']","['2,622', '']","['0', '']","['8,253', '']"
5421,r067,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,66,"['9,611', '']","['9,880', '']","['10,774', '']","['10,855', '']","['0', '']","['3,680', '']","['0', '']","['7,175', '']"
5421,r068,All institutions -> George Mason U.,All institutions,George Mason U.,2,67,"['12,256', '']","['11,977', '']","['11,598', '']","['10,679', '']","['3,931', '']","['4,485', '']","['1,962', '']","['301', '']"
5421,r069,All institutions -> U. Kansas,All institutions,U. Kansas,2,68,"['12,792', '']","['11,329', '']","['10,594', '']","['10,485', '']","['605', '']","['8,718', '']","['549', '']","['613', '']"
5421,r070,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,69,"['6,031', '']","['6,013', '']","['7,119', '']","['10,166', '']","['8,750', '']","['0', '']","['0', '']","['1,416', '']"
5421,r071,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,70,"['9,783', '']","['11,473', '']","['9,429', '']","['9,845', '']","['34', '']","['9,811', '']","['0', '']","['0', '']"
5421,r072,All institutions -> Duke U.,All institutions,Duke U.,2,71,"['11,054', '']","['11,171', '']","['11,077', '']","['9,675', '']","['0', '']","['2,130', '']","['7,545', '']","['0', '']"
5421,r073,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,72,"['7,546', '']","['7,266', '']","['10,049', '']","['9,625', '']","['0', '']","['8,020', '']","['0', '']","['1,605', '']"
5421,r074,All institutions -> Washington State U.,All institutions,Washington State U.,2,73,"['10,529', '']","['8,441', '']","['10,109', '']","['9,440', '']","['117', '']","['2,516', '']","['179', '']","['6,628', '']"
5421,r075,All institutions -> U. Houston,All institutions,U. Houston,2,74,"['6,124', '']","['8,002', '']","['10,516', '']","['9,437', '']","['1,992', '']","['6,790', '']","['435', '']","['220', '']"
5421,r076,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,75,"['9,289', '']","['10,356', '']","['10,974', '']","['9,186', '']","['0', '']","['920', '']","['8,266', '']","['0', '']"
5421,r077,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,76,"['9,090', '']","['9,286', '']","['9,030', '']","['9,158', '']","['0', '']","['9,158', '']","['0', '']","['0', '']"
5421,r078,All institutions -> U. Chicago,All institutions,U. Chicago,2,77,"['8,850', '']","['9,652', '']","['9,370', '']","['9,090', '']","['0', '']","['9,090', '']","['0', '']","['0', '']"
5421,r079,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,78,"['10,340', '']","['8,380', '']","['8,238', '']","['8,916', '']","['0', '']","['7,679', '']","['0', '']","['1,237', '']"
5421,r080,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,79,"['6,750', '']","['6,583', '']","['8,213', '']","['8,913', '']","['465', '']","['5,095', '']","['0', '']","['3,353', '']"
5421,r081,All institutions -> Boston U.,All institutions,Boston U.,2,80,"['6,807', '']","['7,105', '']","['8,701', '']","['8,573', '']","['0', '']","['8,571', '']","['2', '']","['0', '']"
5421,r082,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,81,"['3,389', '']","['1,781', '']","['988', '']","['8,374', '']","['0', '']","['233', '']","['8,141', '']","['0', '']"
5421,r083,All institutions -> Cornell U.,All institutions,Cornell U.,2,82,"['5,152', '']","['6,568', '']","['6,531', '']","['8,145', '']","['1,192', '']","['6,874', '']","['79', '']","['0', '']"
5421,r084,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,83,"['3,758', '']","['5,528', '']","['7,220', '']","['7,962', '']","['2,746', '']","['1,653', '']","['0', '']","['3,563', '']"
5421,r085,All institutions -> Montana Technological U.,All institutions,Montana Technological U.,2,84,"['7,222', '']","['7,162', '']","['7,235', '']","['7,825', '']","['0', '']","['7,825', '']","['0', '']","['0', '']"
5421,r086,All institutions -> Northern Arizona U.,All institutions,Northern Arizona U.,2,85,"['4,380', '']","['9,714', '']","['7,984', '']","['7,408', '']","['133', '']","['4,778', '']","['48', '']","['2,449', '']"
5421,r087,All institutions -> Texas State U.,All institutions,Texas State U.,2,86,"['3,211', '']","['5,402', '']","['7,349', '']","['7,357', '']","['6', '']","['2,792', '']","['0', '']","['4,559', '']"
5421,r088,"All institutions -> U. Alaska, Anchorage",All institutions,"U. Alaska, Anchorage",2,87,"['3,302', '']","['5,101', '']","['5,186', '']","['7,339', '']","['215', '']","['5,068', '']","['1,103', '']","['953', '']"
5421,r089,All institutions -> U. Wisconsin-Milwaukee,All institutions,U. Wisconsin-Milwaukee,2,88,"['7,236', '']","['7,681', '']","['6,442', '']","['7,288', '']","['8', '']","['929', '']","['6,351', '']","['0', '']"
5421,r090,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,89,"['8,233', '']","['7,775', '']","['7,329', '']","['6,924', '']","['227', '']","['6,671', '']","['0', '']","['26', '']"
5421,r091,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,90,"['5,793', '']","['4,056', '']","['6,713', '']","['6,781', '']","['5,832', '']","['949', '']","['0', '']","['0', '']"
5421,r092,All institutions -> New Mexico Institute of Mining and Technology,All institutions,New Mexico Institute of Mining and Technology,2,91,"['5,733', '']","['5,610', '']","['6,791', '']","['6,729', '']","['0', '']","['6,729', '']","['0', '']","['0', '']"
5421,r093,All institutions -> U. Oregon,All institutions,U. Oregon,2,92,"['3,166', '']","['3,785', '']","['4,871', '']","['6,704', '']","['0', '']","['6,101', '']","['603', '']","['0', '']"
5421,r094,All institutions -> Naval Postgraduate School,All institutions,Naval Postgraduate School,2,93,"['7,020', '']","['7,227', '']","['6,339', '']","['6,566', '']","['2,087', '']","['978', '']","['2,862', '']","['639', '']"
5421,r095,"All institutions -> U. Nevada, Las Vegas",All institutions,"U. Nevada, Las Vegas",2,94,"['4,280', '']","['4,253', '']","['4,526', '']","['6,342', '']","['188', '']","['5,458', '']","['0', '']","['696', '']"
5421,r096,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,95,"['6,303', '']","['7,272', '']","['6,868', '']","['6,281', '']","['3,619', '']","['2,662', '']","['0', '']","['0', '']"
5421,r097,All institutions -> Southern Methodist U.,All institutions,Southern Methodist U.,2,96,"['6,620', '']","['5,941', '']","['6,954', '']","['6,100', '']","['0', '']","['6,100', '']","['0', '']","['0', '']"
5421,r098,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,97,"['5,916', '']","['4,785', '']","['5,352', '']","['6,040', '']","['125', '']","['0', '']","['0', '']","['5,915', '']"
5421,r099,All institutions -> Brown U.,All institutions,Brown U.,2,98,"['3,540', '']","['4,306', '']","['4,310', '']","['5,954', '']","['98', '']","['1,901', '']","['193', '']","['3,762', '']"
5421,r100,All institutions -> Yale U.,All institutions,Yale U.,2,99,"['6,448', '']","['7,613', '']","['6,995', '']","['5,916', '']","['0', '']","['5,916', '']","['0', '']","['0', '']"
5421,r101,"All institutions -> U. Montana, Missoula",All institutions,"U. Montana, Missoula",2,100,"['3,068', '']","['5,035', '']","['6,376', '']","['5,878', '']","['0', '']","['2,668', '']","['3,210', '']","['0', '']"
5421,r102,All institutions -> Florida A&M U.,All institutions,Florida A&M U.,2,101,"['2,942', '']","['3,701', '']","['5,282', '']","['5,844', '']","['0', '']","['0', '']","['5,140', '']","['704', '']"
5421,r103,All institutions -> Boston C.,All institutions,Boston C.,2,102,"['6,058', '']","['5,533', '']","['5,130', '']","['5,836', '']","['4,786', '']","['1,050', '']","['0', '']","['0', '']"
5421,r104,All institutions -> U. Toledo,All institutions,U. Toledo,2,103,"['5,178', '']","['4,189', '']","['5,659', '']","['5,748', '']","['0', '']","['5,239', '']","['0', '']","['509', '']"
5421,r105,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,104,"['5,757', '']","['5,125', '']","['5,618', '']","['5,603', '']","['0', '']","['3,893', '']","['0', '']","['1,710', '']"
5421,r106,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,105,"['6,642', '']","['5,045', '']","['5,676', '']","['5,509', '']","['0', '']","['5,509', '']","['0', '']","['0', '']"
5421,r107,All institutions -> U. Memphis,All institutions,U. Memphis,2,106,"['4,132', '']","['4,629', '']","['4,117', '']","['5,493', '']","['0', '']","['5,493', '']","['0', '']","['0', '']"
5421,r108,"All institutions -> U. Puerto Rico, Mayaguez",All institutions,"U. Puerto Rico, Mayaguez",2,107,"['6,403', '']","['5,475', '']","['5,676', '']","['5,487', '']","['0', '']","['517', '']","['4,970', '']","['0', '']"
5421,r109,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,108,"['3,277', '']","['3,779', '']","['5,244', '']","['5,435', '']","['0', '']","['5,199', '']","['0', '']","['236', '']"
5421,r110,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,109,"['4,333', '']","['3,290', '']","['3,957', '']","['5,426', '']","['0', '']","['4,367', '']","['1,059', '']","['0', '']"
5421,r111,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,110,"['3,856', '']","['4,939', '']","['3,908', '']","['5,381', '']","['135', '']","['2,500', '']","['0', '']","['2,746', '']"
5421,r112,"All institutions -> U. Tennessee, Knoxville<sup>c</sup>",All institutions,"U. Tennessee, Knoxville<sup>c</sup>",2,111,"['4,722', '']","['5,752', '']","['5,557', '']","['5,322', '']","['0', '']","['3,641', '']","['0', '']","['1,681', '']"
5421,r113,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,112,"['4,904', '']","['4,771', '']","['4,359', '']","['5,241', '']","['0', '']","['5,241', '']","['0', '']","['0', '']"
5421,r114,"All institutions -> U. North Carolina, Wilmington",All institutions,"U. North Carolina, Wilmington",2,113,"['4,558', '']","['4,511', '']","['5,193', '']","['5,206', '']","['0', '']","['244', '']","['4,688', '']","['274', '']"
5421,r115,All institutions -> Rice U.,All institutions,Rice U.,2,114,"['5,491', '']","['3,958', '']","['4,341', '']","['5,152', '']","['0', '']","['5,152', '']","['0', '']","['0', '']"
5421,r116,All institutions -> U. South Alabama,All institutions,U. South Alabama,2,115,"['4,020', '']","['4,186', '']","['4,222', '']","['5,011', '']","['0', '']","['90', '']","['4,921', '']","['0', '']"
5421,r117,All institutions -> U. Idaho,All institutions,U. Idaho,2,116,"['5,241', '']","['5,244', '']","['5,923', '']","['4,933', '']","['137', '']","['4,725', '']","['0', '']","['71', '']"
5421,r118,All institutions -> Tulane U.,All institutions,Tulane U.,2,117,"['3,409', '']","['3,753', '']","['4,317', '']","['4,825', '']","['0', '']","['4,825', '']","['0', '']","['0', '']"
5421,r119,All institutions -> East Carolina U.,All institutions,East Carolina U.,2,118,"['738', '']","['4,433', '']","['3,684', '']","['4,586', '']","['0', '']","['823', '']","['3,763', '']","['0', '']"
5421,r120,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,119,"['3,178', '']","['3,659', '']","['3,917', '']","['4,538', '']","['0', '']","['4,538', '']","['0', '']","['0', '']"
5421,r121,All institutions -> San Francisco State U.,All institutions,San Francisco State U.,2,120,"['4,197', '']","['3,233', '']","['4,297', '']","['4,450', 'i']","['172', 'i']","['388', 'i']","['3,890', 'i']","['0', 'i']"
5421,r122,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,121,"['3,966', '']","['5,215', '']","['6,569', '']","['4,265', '']","['1,437', '']","['2,828', '']","['0', '']","['0', '']"
5421,r123,All institutions -> Old Dominion U.,All institutions,Old Dominion U.,2,122,"['5,214', '']","['5,151', '']","['4,907', '']","['4,166', '']","['0', '']","['0', '']","['4,166', '']","['0', '']"
5421,r124,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,123,"['4,082', '']","['4,296', '']","['4,603', '']","['4,039', '']","['0', '']","['429', '']","['3,610', '']","['0', '']"
5421,r125,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,124,"['7,400', '']","['5,039', '']","['4,486', '']","['4,008', '']","['3,991', '']","['17', '']","['0', '']","['0', '']"
5421,r126,All institutions -> Western Washington U.,All institutions,Western Washington U.,2,125,"['2,931', '']","['3,802', '']","['3,822', '']","['3,897', '']","['0', '']","['2,473', '']","['1,424', '']","['0', '']"
5421,r127,"All institutions -> U. Massachusetts, Boston",All institutions,"U. Massachusetts, Boston",2,126,"['6,587', '']","['6,451', '']","['5,249', '']","['3,848', '']","['98', '']","['1,370', '']","['2,364', '']","['16', '']"
5421,r128,"All institutions -> U. Puerto Rico, Rio Piedras",All institutions,"U. Puerto Rico, Rio Piedras",2,127,"['2,203', '']","['2,192', '']","['2,537', '']","['3,754', '']","['0', '']","['3,754', '']","['0', '']","['0', '']"
