table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_environmental_protection_r_d_total_companiesb_number_,field_environmental_protection_r_d_total_amount,field_environmental_protection_r_d_paid_for_by_the_company_companiesb_number_,field_environmental_protection_r_d_paid_for_by_the_company_amount,field_environmental_protection_r_d_paid_for_by_others_companiesb_number_,field_environmental_protection_r_d_paid_for_by_others_amount
6563,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['270', '&nbsp;']","['2,760', '&nbsp;']","['60', 'i']","['52', '&nbsp;']","['60', 'i']","['52', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['460', '&nbsp;']","['1,305 - 1,333', '&nbsp;']","['200', 'i']","['76', '&nbsp;']","['190', 'i']","['70', '&nbsp;']","['10', '&nbsp;']","['7', '&nbsp;']"
6563,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['790', '&nbsp;']","['2,856', '&nbsp;']","['140', 'i']","['141', '&nbsp;']","['140', 'i']","['141', '&nbsp;']","['10', 'i']","['*', 'i']"
6563,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['170', '&nbsp;']","['1,508', 'i']","['50', 'i']","['41', 'i']","['50', 'i']","['41', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['200', '&nbsp;']","['665', '&nbsp;']","['50', 'i']","['35', '&nbsp;']","['50', 'i']","['30', '&nbsp;']","['10', '&nbsp;']","['5', '&nbsp;']"
6563,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['1,840', '&nbsp;']","['2,885', '&nbsp;']","['150', 'i']","['91', '&nbsp;']","['140', 'i']","['83', '&nbsp;']","['10', '&nbsp;']","['8', '&nbsp;']"
6563,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['2,240', '&nbsp;']","['15,184', '&nbsp;']","['470', 'i']","['1,022', 'i']","['420', 'i']","['925', 'i']","['70', 'i']","['97', '&nbsp;']"
6563,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['190', '&nbsp;']","['1,921', '&nbsp;']","['30', 'i']","['100', '&nbsp;']","['30', 'i']","['100', '&nbsp;']","['10', 'i']","['*', 'i']"
6563,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['80', '&nbsp;']","['4,459', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['110', '&nbsp;']","['1,301', '&nbsp;']","['60', 'i']","['299', 'i']","['60', 'i']","['260', 'i']","['20', '&nbsp;']","['39', '&nbsp;']"
6563,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,880', '&nbsp;']","['7,503', '&nbsp;']","['380', 'i']","['620', 'i']","['330', 'i']","['563', 'i']","['60', 'i']","['57', '&nbsp;']"
6563,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,280', '&nbsp;']","['86,729', '&nbsp;']","['350', 'i']","['2,557', 'i']","['350', 'i']","['2,041', '&nbsp;']","['20', '&nbsp;']","['516', 'i']"
6563,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['300', '&nbsp;']","['12,595', '&nbsp;']","['40', 'i']","['154', '&nbsp;']","['40', 'i']","['153', '&nbsp;']","['10', 'i']","['*', '&nbsp;']"
6563,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['640', '&nbsp;']","['35,183', 'i']","['50', 'i']","['630', 'i']","['50', 'i']","['619', 'i']","['10', '&nbsp;']","['12', '&nbsp;']"
6563,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['1,140', '&nbsp;']","['17,562', '&nbsp;']","['250', 'i']","['1,712', 'i']","['250', 'i']","['1,209', '&nbsp;']","['10', 'i']","['503', 'i']"
6563,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['230', '&nbsp;']","['3,342', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['190', '&nbsp;']","['9,662', '&nbsp;']","['30', 'i']","['1,398', 'i']","['30', 'i']","['897', '&nbsp;']","['10', 'i']","['501', 'i']"
6563,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['740', '&nbsp;']","['4,558', '&nbsp;']","['220', 'i']","['313', 'i']","['220', 'i']","['311', 'i']","['10', 'i']","['2', '&nbsp;']"
6563,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['220', '&nbsp;']","['21,388', '&nbsp;']","['30', '&nbsp;']","['61', '&nbsp;']","['30', '&nbsp;']","['60', '&nbsp;']","['10', 'i']","['1', '&nbsp;']"
6563,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['900', '&nbsp;']","['5,263', '&nbsp;']","['320', 'i']","['772', '&nbsp;']","['310', 'i']","['678', '&nbsp;']","['20', 'i']","['95', '&nbsp;']"
6563,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['1,090', '&nbsp;']","['45,375', '&nbsp;']","['190', 'i']","['4,526', 'i']","['180', 'i']","['4,417', 'i']","['30', 'i']","['109', 'i']"
6563,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['540', '&nbsp;']","['24,117', '&nbsp;']","['80', 'i']","['4,108', 'i']","['80', 'i']","['4,001', 'i']","['30', 'i']","['106', 'i']"
6563,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['380', 'i']","['18,358', 'i']","['100', 'i']","['408', 'i']","['100', 'i']","['405', 'i']","['10', 'i']","['3', '&nbsp;']"
6563,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['200', '&nbsp;']","['16,891', 'i']","['20', '&nbsp;']","['346', 'i']","['20', '&nbsp;']","['344', 'i']","['10', '&nbsp;']","['2', '&nbsp;']"
6563,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['190', 'i']","['1,467', '&nbsp;']","['90', 'i']","['62', 'i']","['90', 'i']","['61', 'i']","['10', 'i']","['1', 'i']"
6563,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['30', '&nbsp;']","['35', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']"
6563,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['150', '&nbsp;']","['2,865', '&nbsp;']","['10', 'i']","['10', 'i']","['10', 'i']","['10', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['190', '&nbsp;']","['409', '&nbsp;']","['20', 'i']","['12', 'i']","['20', 'i']","['12', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,310', '&nbsp;']","['18,596', '&nbsp;']","['90', '&nbsp;']","['161', '&nbsp;']","['60', '&nbsp;']","['154', '&nbsp;']","['40', 'i']","['7', 'i']"
6563,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['790', '&nbsp;']","['16,014', '&nbsp;']","['70', 'i']","['67', '&nbsp;']","['40', '&nbsp;']","['60', '&nbsp;']","['40', 'i']","['7', 'i']"
6563,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['520', '&nbsp;']","['2,582', '&nbsp;']","['30', '&nbsp;']","['94', '&nbsp;']","['20', '&nbsp;']","['94', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']"
6563,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['13,100', '&nbsp;']","['207,283', '&nbsp;']","['770', 'i']","['1,464', '&nbsp;']","['560', 'i']","['994', '&nbsp;']","['260', 'i']","['469', '&nbsp;']"
6563,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['160', '&nbsp;']","['2,717', '&nbsp;']","['20', 'i']","['172', '&nbsp;']","['20', '&nbsp;']","['166', '&nbsp;']","['10', 'i']","['6', 'i']"
6563,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['40', '&nbsp;']","['275', '&nbsp;']","['20', 'i']","['112', '&nbsp;']","['20', 'i']","['78 - 113', '&nbsp;']","['10', '&nbsp;']","['0 - 34', '&nbsp;']"
6563,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,560', '&nbsp;']","['1,191', '&nbsp;']","['50', 'i']","['31', 'i']","['50', 'i']","['31', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['60', '&nbsp;']","['3,131 - 15,818', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['130', '&nbsp;']","['9,890', 'i']","['10', '&nbsp;']","['*', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,090', '&nbsp;']","['110,227', '&nbsp;']","['90', '&nbsp;']","['148', '&nbsp;']","['90', '&nbsp;']","['148', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,080', '&nbsp;']","['33,019', '&nbsp;']","['20', '&nbsp;']","['85', '&nbsp;']","['20', '&nbsp;']","['85', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['40', '&nbsp;']","['61', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,040', '&nbsp;']","['32,958', '&nbsp;']","['20', '&nbsp;']","['85', '&nbsp;']","['20', '&nbsp;']","['85', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['210', '&nbsp;']","['3,733', '&nbsp;']","['10', '&nbsp;']","['0 - 64', '&nbsp;']","['10', '&nbsp;']","['0 - 64', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,480', '&nbsp;']","['30,558', '&nbsp;']","['70', '&nbsp;']","['0 - 64', '&nbsp;']","['70', '&nbsp;']","['0 - 64', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['340', '&nbsp;']","['42,917', '&nbsp;']","['10', '&nbsp;']","['0 - 64', '&nbsp;']","['10', '&nbsp;']","['0 - 64', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['220', '&nbsp;']","['8,917', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['50', '&nbsp;']","['1,371', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['20', '&nbsp;']","['45', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['30', '&nbsp;']","['1,326', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,500', '&nbsp;']","['53,233', '&nbsp;']","['570', 'i']","['933', '&nbsp;']","['370', 'i']","['503', '&nbsp;']","['260', 'i']","['431', '&nbsp;']"
6563,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,450', '&nbsp;']","['4,207', '&nbsp;']","['350', 'i']","['611', '&nbsp;']","['240', 'i']","['316', 'i']","['140', 'i']","['295', '&nbsp;']"
6563,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['3,020', '&nbsp;']","['21,046', '&nbsp;']","['20', '&nbsp;']","['39', '&nbsp;']","['20', '&nbsp;']","['39', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,230', '&nbsp;']","['21,669', '&nbsp;']","['180', 'i']","['231', 'i']","['100', 'i']","['111', '&nbsp;']","['110', 'i']","['120', 'i']"
6563,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['310', '&nbsp;']","['6,457', '&nbsp;']","['40', '&nbsp;']","['41', '&nbsp;']","['20', 'i']","['24', '&nbsp;']","['30', '&nbsp;']","['17', '&nbsp;']"
6563,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['900', '&nbsp;']","['14,446', 'i']","['140', 'i']","['191', 'i']","['90', 'i']","['87', '&nbsp;']","['80', 'i']","['103', 'i']"
6563,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['30', '&nbsp;']","['766', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['810', '&nbsp;']","['6,312', '&nbsp;']","['40', 'i']","['53', 'i']","['30', 'i']","['37', 'i']","['20', '&nbsp;']","['16', 'i']"
6563,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['680', '&nbsp;']","['2,265', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6563,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['680', '&nbsp;']","['1,380 - 14,067', '&nbsp;']","['50', '&nbsp;']","['67', '&nbsp;']","['50', '&nbsp;']","['33 - 68', '&nbsp;']","['10', '&nbsp;']","['0 - 34', '&nbsp;']"
6563,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['28,270', '&nbsp;']","['492,956', '&nbsp;']","['3,140', 'i']","['11,795', 'i']","['2,820', 'i']","['10,405', 'i']","['440', 'i']","['1,390', 'i']"
6563,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6563,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['5,490', '&nbsp;']","['5,501', '&nbsp;']","['680', 'i']","['225', 'i']","['570', 'i']","['178', 'i']","['140', 'i']","['48', '&nbsp;']"
6563,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['7,980', '&nbsp;']","['12,418', '&nbsp;']","['770', 'i']","['424', '&nbsp;']","['670', 'i']","['347', '&nbsp;']","['140', 'i']","['77', 'i']"
6563,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6563,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['4,960', '&nbsp;']","['14,021', '&nbsp;']","['470', 'i']","['321', '&nbsp;']","['440', 'i']","['286', '&nbsp;']","['50', 'i']","['34', '&nbsp;']"
