table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_total_median_salary,field_all_full_time_employed_total_se,field_all_full_time_employed_male_median_salary,field_all_full_time_employed_male_se,field_all_full_time_employed_female_median_salary,field_all_full_time_employed_female_se,field_hispanic_or_latinoa_total_median_salary,field_hispanic_or_latinoa_total_se,field_hispanic_or_latinoa_male_median_salary,field_hispanic_or_latinoa_male_se,field_hispanic_or_latinoa_female_median_salary,field_hispanic_or_latinoa_female_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinob_asian_total_median_salary,field_not_hispanic_or_latinob_asian_total_se,field_not_hispanic_or_latinob_asian_male_median_salary,field_not_hispanic_or_latinob_asian_male_se,field_not_hispanic_or_latinob_asian_female_median_salary,field_not_hispanic_or_latinob_asian_female_se,field_not_hispanic_or_latinob_black_or_african_american_total_median_salary,field_not_hispanic_or_latinob_black_or_african_american_total_se,field_not_hispanic_or_latinob_black_or_african_american_male_median_salary,field_not_hispanic_or_latinob_black_or_african_american_male_se,field_not_hispanic_or_latinob_black_or_african_american_female_median_salary,field_not_hispanic_or_latinob_black_or_african_american_female_se,field_not_hispanic_or_latinob_white_total_median_salary,field_not_hispanic_or_latinob_white_total_se,field_not_hispanic_or_latinob_white_male_median_salary,field_not_hispanic_or_latinob_white_male_se,field_not_hispanic_or_latinob_white_female_median_salary,field_not_hispanic_or_latinob_white_female_se,field_not_hispanic_or_latinob_other_racec_total_median_salary,field_not_hispanic_or_latinob_other_racec_total_se,field_not_hispanic_or_latinob_other_racec_male_median_salary,field_not_hispanic_or_latinob_other_racec_male_se,field_not_hispanic_or_latinob_other_racec_female_median_salary,field_not_hispanic_or_latinob_other_racec_female_se
3736,r011,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Other biological, agricultural, life scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Other biological, agricultural, life scientist",4,109000,2500,119000,6000,101000,3500,99000,12000,126000,13500,73000,9500,,,,,,,102000,6000,108000,10000,100000,4000,102000,4500,99000,19500,102000,6000,111000,4000,120000,3000,105000,6000,133000,17000,130000,33500,135000,15000
3736,r012,All occupations -> Science occupations&#160; -> Computer and information scientist&#160;,All occupations,Science occupations&#160;,Computer and information scientist&#160;,,3,149000,2000,149000,500,130000,5500,139000,5000,140000,6000,109000,16500,,,,,,,150000,2500,154000,5500,142000,7000,114000,8500,119000,7000,100000,9000,144000,4000,148000,4000,125000,4500,135000,17500,137000,24000,119000,15000
3736,r013,All occupations -> Science occupations&#160; -> Computer and information scientist&#160; -> Computer and information scientist,All occupations,Science occupations&#160;,Computer and information scientist&#160;,Computer and information scientist,4,153000,2500,157000,3000,141000,4500,140000,11000,147000,12000,118000,16000,,,,,,,159000,1500,160000,1500,149000,2000,120000,12000,130000,5500,102000,15000,150000,1000,151000,3000,137000,3500,150000,7000,152000,7500,128000,9500
3736,r014,"All occupations -> Science occupations&#160; -> Computer and information scientist&#160; -> Postsecondary teachers, computer science",All occupations,Science occupations&#160;,Computer and information scientist&#160;,"Postsecondary teachers, computer science",4,101000,3500,104000,3000,96000,4000,94000,10000,97000,18500,88000,14000,,,,,,,100000,7000,105000,4000,92000,5500,94000,8000,92000,9000,95000,9000,102000,4000,104000,4500,98000,2500,S,S,S,S,0.05,0.05
3736,r015,All occupations -> Science occupations&#160; -> Mathematical scientist&#160;,All occupations,Science occupations&#160;,Mathematical scientist&#160;,,3,114000,2500,115000,2500,104000,4500,109000,7000,109000,8000,102000,14500,,,,,,,130000,2000,130000,5000,127000,4000,101000,8500,100000,7500,103000,12500,105000,2000,110000,2000,95000,2500,120000,9500,121000,23000,116000,18000
3736,r016,All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Mathematical scientist,All occupations,Science occupations&#160;,Mathematical scientist&#160;,Mathematical scientist,4,140000,3500,149000,2000,130000,2000,136000,16500,138000,18000,133000,13500,,,,,,,142000,6500,149000,2000,134000,4500,114000,6000,112000,6500,112000,24000,140000,5000,148000,4500,126000,5000,140000,14500,139000,17500,138000,17500
3736,r017,"All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations&#160;,Mathematical scientist&#160;,"Postsecondary teachers, mathematics, statistics",4,87000,2000,89000,1500,80000,1000,93000,9000,97000,5500,81000,5500,,,,,,,89000,3500,90000,5000,80000,5000,79000,6000,76000,6000,84000,9500,87000,2000,89000,1500,80000,1500,73000,5000,75000,9000,73000,12000
3736,r018,All occupations -> Science occupations&#160; -> Physical scientist&#160;,All occupations,Science occupations&#160;,Physical scientist&#160;,,3,102000,2500,108000,2000,92000,2500,96000,4500,100000,3500,84000,6500,93000,8500,,,,,99000,1500,100000,5000,90000,4000,86000,4500,87000,5000,84000,6500,105000,2000,110000,1000,93000,2500,101000,12500,109000,5500,80000,5000
3736,r019,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Chemists, except biochemist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Chemists, except biochemist",4,120000,1500,123000,4500,106000,4500,108000,4000,109000,4500,101000,5500,,,,,,,109000,7000,110000,5500,98000,8500,95000,4000,95000,4500,95000,10500,127000,3000,130000,1500,115000,7000,109000,8000,109000,7500,,
3736,r020,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Earth, atmospheric, ocean scientist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Earth, atmospheric, ocean scientist",4,110000,1500,114000,6000,100000,3000,95000,8000,100000,7000,79000,7000,,,,,,,100000,5500,105000,5500,93000,4000,95000,6000,95000,6000,0.05,0.05,114000,6500,120000,3000,102000,4500,109000,16000,108000,18000,S,S
3736,r021,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Physicists, astronomers",All occupations,Science occupations&#160;,Physical scientist&#160;,"Physicists, astronomers",4,130000,1500,131000,2500,118000,6500,130000,5500,130000,7000,154000,38500,,,,,,,107000,13000,104000,13500,115000,14000,S,S,S,S,,,137000,4000,140000,3000,119000,11000,111000,33500,123000,34500,S,S
3736,r022,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, chemistry",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, chemistry",4,80000,2000,82000,3000,72000,3000,72000,6000,87000,8000,69000,2000,,,,,,,78000,6000,79000,4500,70000,5000,67000,4500,68000,4500,61000,8500,80000,1500,84000,3500,74000,3000,77000,8500,73000,16500,78000,11500
3736,r023,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, physics",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, physics",4,92000,3000,93000,3000,89000,5500,82000,4000,82000,4500,S,S,,,,,,,103000,14000,100000,13500,114000,26000,79000,16000,78000,15500,,,92000,2000,92000,2500,89000,4500,78000,25000,S,S,S,S
3736,r024,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, other physical science",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, other physical science",4,90000,1500,94000,5000,82000,3500,79000,5000,81000,7500,78000,10000,,,,,,,86000,4000,85000,5000,86000,12500,90000,10500,91000,12000,0.05,0.05,92000,4500,98000,4500,81000,3500,88000,25500,,,,
3736,r025,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Other physical scientist,All occupations,Science occupations&#160;,Physical scientist&#160;,Other physical scientist,4,125000,4000,126000,7000,119000,7000,102000,18500,104000,18000,,,,,,,,,138000,19500,159000,21500,115000,16000,88000,23000,,,,,124000,6000,123000,5500,128000,14500,113000,16000,0.05,0.05,,
3736,r026,All occupations -> Science occupations&#160; -> Psychologist&#160;,All occupations,Science occupations&#160;,Psychologist&#160;,,3,100000,500,105000,3500,95000,2500,96000,4500,96000,5500,94000,6000,101000,13000,,,99000,5000,91000,3500,90000,11500,92000,3000,89000,2000,98000,4500,87000,3500,100000,500,106000,4000,98000,2000,95000,8000,110000,8000,89000,4000
3736,r027,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Psychologist,All occupations,Science occupations&#160;,Psychologist&#160;,Psychologist,4,103000,1500,114000,3500,100000,500,100000,1500,110000,9500,100000,3500,,,,,S,S,99000,3500,113000,26500,98000,4000,93000,3500,98000,4000,90000,3500,104000,1000,114000,3500,101000,1500,105000,11000,117000,6500,93000,7000
3736,r028,"All occupations -> Science occupations&#160; -> Psychologist&#160; -> Postsecondary teachers, psychology",All occupations,Science occupations&#160;,Psychologist&#160;,"Postsecondary teachers, psychology",4,85000,1000,90000,3500,82000,2000,84000,2000,83000,3500,85000,5500,,,,,,,85000,4500,88000,6000,84000,4000,80000,4500,85000,17500,79000,4500,85000,2000,93000,3000,80000,2500,79000,7000,82000,17000,74000,9500
3736,r029,All occupations -> Science occupations&#160; -> Social scientist&#160;,All occupations,Science occupations&#160;,Social scientist&#160;,,3,99000,1500,105000,1000,90000,1500,90000,4500,100000,5500,85000,5000,70000,7500,68000,4000,81000,9000,105000,4000,108000,6500,100000,4500,89000,2000,92000,4500,88000,4500,100000,1500,106000,1500,90000,1000,95000,5000,98000,13000,94000,2500
3736,r030,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Economist,All occupations,Science occupations&#160;,Social scientist&#160;,Economist,4,149000,4000,151000,4000,134000,8500,149000,11500,140000,19500,153000,5500,,,,,,,142000,15000,150000,11000,129000,6000,107000,19500,124000,35000,77000,25500,150000,4000,153000,8500,144000,7500,174000,17000,,,,
3736,r031,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Political scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Political scientist,4,134000,10500,136000,5000,122000,19500,,,S,S,,,,,,,,,,,,,,,,,,,,,134000,8500,138000,6500,112000,16500,,,,,,
3736,r032,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, economics",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, economics",4,110000,3500,115000,4000,101000,4500,109000,13500,119000,13500,82000,20000,,,,,,,106000,3000,108000,7000,104000,5000,98000,5000,96000,6500,S,S,115000,4000,117000,3500,100000,6000,S,S,,,,
3736,r033,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, political science",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, political science",4,88000,4500,92000,4000,82000,2500,86000,10500,89000,14500,81000,9500,,,,,,,77000,7000,74000,3500,95000,10500,80000,4000,79000,8000,61000,9500,90000,4000,95000,4000,82000,3000,99000,7000,S,S,,
3736,r034,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, sociology",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, sociology",4,83000,2500,87000,3500,80000,2000,86000,7500,87000,6000,74000,18000,,,,,,,85000,5500,89000,27500,85000,5500,90000,5000,97000,14500,79000,8500,82000,2500,86000,4500,80000,1500,76000,3500,,,,
3736,r035,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, other social sciences",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, other social sciences",4,84000,2000,87000,2500,80000,1500,80000,4000,88000,6500,79000,5000,69000,2000,S,S,72000,7500,84000,7000,92000,12500,82000,6000,85000,5000,88000,4500,80000,4000,85000,2000,87000,3000,80000,2000,87000,7000,86000,7500,87000,9000
3736,r036,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Sociologist, anthropologist",All occupations,Science occupations&#160;,Social scientist&#160;,"Sociologist, anthropologist",4,89000,6000,81000,4000,93000,3500,95000,30500,,,122000,38500,,,,,,,114000,18000,,,,,86000,15000,,,,,82000,7500,81000,4000,91000,9000,,,,,,
3736,r037,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Other social scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Other social scientist,4,106000,4500,119000,6000,102000,3000,88000,5500,100000,18000,85000,11000,,,,,,,109000,18000,124000,20000,104000,16500,95000,8500,75000,17000,97000,5500,111000,4500,118000,8000,104000,4500,93000,8000,,,95000,5500
3736,r038,All occupations -> Engineering occupations&#160;&#160;,All occupations,Engineering occupations&#160;&#160;,,,2,130000,500,132000,3000,119000,1000,118000,4000,120000,5500,109000,2000,145000,15000,153000,10500,,,130000,500,130000,2500,119000,500,111000,4500,110000,2000,125000,8000,132000,3000,136000,3000,115000,4500,130000,10000,129000,13500,129000,9000
3736,r039,"All occupations -> Engineering occupations&#160;&#160; -> Aerospace, aeronautical, astronautical engineer",All occupations,Engineering occupations&#160;&#160;,"Aerospace, aeronautical, astronautical engineer",,3,149000,1500,150000,4000,124000,7000,139000,17500,147000,15500,S,S,,,,,,,140000,9500,141000,10500,130000,11500,125000,26500,125000,18500,,,150000,3000,154000,4000,124000,7500,134000,14000,,,,
3736,r040,All occupations -> Engineering occupations&#160;&#160; -> Chemical engineer,All occupations,Engineering occupations&#160;&#160;,Chemical engineer,,3,137000,4500,139000,5000,132000,6000,119000,5000,123000,11000,,,,,,,,,130000,6500,130000,6500,131000,16500,116000,17500,101000,10000,,,143000,6500,144000,5000,132000,3500,,,,,,
3736,r041,"All occupations -> Engineering occupations&#160;&#160; -> Civil, architectural, sanitary engineer",All occupations,Engineering occupations&#160;&#160;,"Civil, architectural, sanitary engineer",,3,109000,5000,110000,8500,97000,8500,89000,11500,89000,12000,92000,28500,,,,,,,107000,8500,109000,7500,85000,5500,107000,9500,105000,10000,,,119000,9000,120000,6000,100000,7000,S,S,S,S,,
3736,r042,All occupations -> Engineering occupations&#160;&#160; -> Electrical engineer,All occupations,Engineering occupations&#160;&#160;,Electrical engineer,,3,149000,1000,150000,1500,130000,5000,139000,4500,141000,6500,,,,,,,,,148000,3500,149000,1500,130000,4500,141000,8000,141000,8000,,,152000,6500,158000,6000,134000,4500,125000,24000,126000,36000,,
3736,r043,All occupations -> Engineering occupations&#160;&#160; -> Industrial engineers,All occupations,Engineering occupations&#160;&#160;,Industrial engineers,,3,119000,3500,117000,6000,119000,5500,104000,16000,97000,15000,,,,,,,,,119000,7500,120000,17500,117000,6500,77000,14000,,,,,117000,7000,116000,8000,120000,48500,,,,,,
3736,r044,All occupations -> Engineering occupations&#160;&#160; -> Mechanical engineer,All occupations,Engineering occupations&#160;&#160;,Mechanical engineer,,3,129000,3500,130000,2500,117000,4000,102000,6000,98000,3500,S,S,0.05,0.05,,,,,129000,5000,130000,4000,116000,6500,116000,15000,108000,13000,,,128000,3500,130000,4000,114000,6500,158000,14000,S,S,,
3736,r045,"All occupations -> Engineering occupations&#160;&#160; -> Postsecondary teacher, engineering",All occupations,Engineering occupations&#160;&#160;,"Postsecondary teacher, engineering",,3,108000,2500,108000,1500,99000,3000,100000,2500,100000,3000,95000,15500,,,,,,,104000,4500,104000,4500,105000,12000,100000,6000,100000,6500,95000,29500,109000,1500,110000,3000,99000,4000,103000,7000,103000,10500,104000,10000
3736,r046,All occupations -> Engineering occupations&#160;&#160; -> Other engineer,All occupations,Engineering occupations&#160;&#160;,Other engineer,,3,130000,500,132000,3500,119000,1000,126000,6000,132000,8000,109000,9500,0.05,0.05,0.05,0.05,,,129000,4000,129000,1000,119000,3000,120000,6000,120000,5500,119000,13000,134000,4000,136000,4000,119000,2000,120000,10500,119000,11500,127000,10500
3736,r047,All occupations -> S&E-related occupations&#160;,All occupations,S&E-related occupations&#160;,,,2,130000,500,154000,5000,105000,1000,113000,7000,130000,5000,99000,5000,104000,20500,120000,10000,92000,10000,140000,5000,159000,8000,110000,5500,101000,5500,122000,5000,94000,4000,130000,1500,157000,5500,104000,2500,127000,14000,136000,9000,108000,16000
3736,r048,"All occupations -> S&E-related occupations&#160; -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations&#160;,"Health occupations, except postsecondary teachers and managers",,3,139000,3500,199000,3500,107000,3500,115000,15000,149000,37000,97000,10500,,,,,,,146000,12500,198000,20000,105000,4500,119000,4000,122000,17000,105000,11500,142000,6500,199000,5000,110000,6500,99000,19000,138000,27000,91000,21000
3736,r049,"All occupations -> S&E-related occupations&#160; -> Postsecondary teacher, health and related science",All occupations,S&E-related occupations&#160;,"Postsecondary teacher, health and related science",,3,105000,2500,120000,4500,96000,2500,91000,7500,100000,6000,85000,5500,93000,3000,S,S,,,112000,8500,124000,8000,93000,5000,93000,5500,101000,8000,88000,4000,106000,2500,123000,9000,98000,3500,95000,25000,84000,13000,124000,34000
3736,r050,"All occupations -> S&E-related occupations&#160; -> S&E managers, including health",All occupations,S&E-related occupations&#160;,"S&E managers, including health",,3,164000,4000,174000,5000,140000,5000,139000,10000,163000,12000,124000,5000,123000,6500,,,,,165000,8000,177000,10500,143000,8500,130000,4000,131000,7000,105000,23500,165000,5000,175000,4500,140000,7000,150000,10500,149000,11500,154000,28500
3736,r051,All occupations -> S&E-related occupations&#160; -> S&E precollege teachers,All occupations,S&E-related occupations&#160;,S&E precollege teachers,,3,63000,2500,62000,5000,63000,3500,68000,11000,68000,12500,60000,22000,,,,,,,57000,9000,S,S,S,S,55000,7500,54000,9500,57000,16000,64000,3000,64000,5000,64000,3000,62000,13500,,,,
3736,r052,All occupations -> S&E-related occupations&#160; -> S&E technicians/ technologists,All occupations,S&E-related occupations&#160;,S&E technicians/ technologists,,3,129000,3500,134000,3500,110000,4500,114000,16500,108000,16000,S,S,,,,,,,127000,6500,133000,7000,113000,10000,61000,18500,,,,,131000,4500,134000,5000,74000,17500,141000,58000,162000,77500,,
3736,r053,All occupations -> S&E-related occupations&#160; -> Other S&E-related occupation,All occupations,S&E-related occupations&#160;,Other S&E-related occupation,,3,132000,8500,151000,19000,122000,8000,,,,,,,,,,,,,128000,4500,125000,13500,127000,7000,,,,,,,155000,13500,162000,23000,S,S,,,,,,
3736,r054,All occupations -> Non-S&E occupations&#160;,All occupations,Non-S&E occupations&#160;,,,2,138000,3500,156000,4500,114000,3000,115000,7000,139000,9500,95000,4000,94000,5500,95000,20000,75000,8000,149000,500,158000,5500,125000,7500,109000,6500,119000,9000,101000,4500,139000,3500,160000,2500,114000,3000,110000,8500,129000,21000,93000,8500
3736,r055,"All occupations -> Non-S&E occupations&#160; -> Arts, humanities-related occupation",All occupations,Non-S&E occupations&#160;,"Arts, humanities-related occupation",,3,93000,3500,91000,6000,93000,3000,94000,12000,S,S,89000,8500,,,,,,,92000,10500,88000,25500,95000,11500,75000,3000,,,73000,2500,94000,3000,92000,6000,93000,3500,84000,4000,,,83000,16000
3736,r056,All occupations -> Non-S&E occupations&#160; -> Management-related occupation,All occupations,Non-S&E occupations&#160;,Management-related occupation,,3,140000,5500,152000,5000,119000,3500,130000,5500,147000,6000,108000,6000,,,,,,,149000,4500,157000,6000,141000,11000,120000,10500,124000,22000,118000,10000,137000,5500,152000,5500,108000,5000,110000,17500,120000,26500,94000,27000
3736,r057,All occupations -> Non-S&E occupations&#160; -> Non-S&E managers,All occupations,Non-S&E occupations&#160;,Non-S&E managers,,3,179000,3500,200000,3500,148000,5000,146000,6500,172000,18000,126000,7500,94000,11000,95000,13500,S,S,191000,5000,194000,5500,165000,23000,135000,4500,148000,7000,125000,12000,179000,2500,200000,500,149000,3500,184000,18000,186000,18000,183000,53000
3736,r058,All occupations -> Non-S&E occupations&#160; -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations&#160;,Non-S&E postsecondary teachers,,3,100000,2000,111000,7500,89000,3500,86000,3000,88000,6500,83000,3000,,,,,S,S,96000,4500,118000,9000,81000,3000,84000,7500,95000,7000,77000,6000,102000,3500,114000,7500,92000,5000,96000,18000,111000,13500,82000,10500
3736,r059,All occupations -> Non-S&E occupations&#160; -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations&#160;,Non-S&E precollege/ other teachers,,3,68000,4000,67000,13500,69000,5000,57000,18500,,,81000,33000,,,,,,,72000,11000,S,S,66000,12500,60000,7000,S,S,70000,13000,68000,6000,66000,17500,68000,5000,,,,,,
3736,r060,"All occupations -> Non-S&E occupations&#160; -> Sales, marketing occupation",All occupations,Non-S&E occupations&#160;,"Sales, marketing occupation",,3,120000,5000,129000,7500,108000,6000,119000,13500,124000,19000,S,S,,,,,,,128000,8500,129000,10500,115000,12000,122000,31500,116000,48000,104000,27500,119000,3500,120000,9500,104000,10500,156000,55500,S,S,,
3736,r061,All occupations -> Non-S&E occupations&#160; -> Social service-related occupation,All occupations,Non-S&E occupations&#160;,Social service-related occupation,,3,74000,5000,76000,8500,73000,4000,57000,7000,89000,15000,51000,8500,,,,,,,80000,6500,79000,5000,82000,37000,55000,9000,44000,11000,65000,6000,77000,5500,72000,11000,77000,4500,,,,,,
3736,r062,All occupations -> Non-S&E occupations&#160; -> Other non-S&E occupation,All occupations,Non-S&E occupations&#160;,Other non-S&E occupation,,3,125000,6000,130000,8500,105000,9000,84000,24500,S,S,81000,35500,,,,,,,142000,11500,148000,22000,131000,23000,90000,13000,96000,27500,75000,12000,125000,6000,130000,6500,105000,10000,77000,11500,76000,37000,S,S
