table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalent_total_,field_r_d_personnel_full_time_equivalent_researchersa,field_r_d_personnel_full_time_equivalent_technicians,field_r_d_personnel_full_time_equivalent_support_staff
9949,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,222,124,92,6,15.3,11.5,3.5,0.3
9949,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,240,128,69,43,101.3,62.9,28.8,9.6
9949,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,173,73,52,48,149.6,58.9,49.0,41.7
9949,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,42,23,13,6,30.3,17.0,9.3,4.0
9949,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,86,37,41,8,16.0,9.7,4.7,1.6
9949,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,7,2,4,1,0.7,0.5,0.0,0.2
9949,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,82,50,23,9,60.9,42.0,12.9,6.0
9949,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,136,40,85,11,38.9,13.9,21.6,3.4
9949,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,228,77,143,8,113.0,60.0,51.0,2.0
9949,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,102,27,68,7,15.3,4.6,5.7,5.0
9949,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,45,22,22,1,33.7,21.5,11.2,1.0
9949,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,3,1,2,0,1.5,0.5,1.0,0.0
9949,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,16,2,3,11,2.2,2.0,0.1,0.1
9949,r032,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,54,48,2,4,23.5,19.0,1.5,3.0
9949,r033,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,27,15,6,6,11.1,7.0,1.8,2.3
9949,r034,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,3102,1438,1252,412,2308.1,1023.6,914.7,369.8
9949,r035,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,208,98,78,32,171.3,77.3,69.0,25.0
9949,r036,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,11,10,1,0,4.8,4.5,0.3,0.0
9949,r037,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,32,16,11,5,9.6,6.5,2.7,0.4
9949,r038,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,59,25,28,6,18.2,10.0,5.9,2.3
9949,r039,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,278,99,156,23,147.1,73.9,64.5,8.7
9949,r040,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,176,85,84,7,112.0,48.4,57.0,6.6
9949,r041,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,48,41,2,5,35.5,30.0,1.0,4.5
9949,r042,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,437,210,143,84,250.4,143.3,77.0,30.1
9949,r043,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,6,5,0,1,4.5,4.0,0.0,0.5
9949,r044,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,7,6,0,1,7.0,6.0,0.0,1.0
9949,r045,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,56,39,6,11,37.1,25.3,6.0,5.8
9949,r046,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,80,47,22,11,38.8,29.6,7.2,2.0
9949,r047,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,30,9,17,4,6.3,1.6,4.1,0.6
9949,r048,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,154,82,39,33,113.7,70.1,25.3,18.3
9949,r049,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,640,352,173,115,270.7,173.2,62.0,35.5
9949,r050,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,115,47,49,19,80.2,40.0,32.0,8.2
9949,r051,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,2,105,34,66,5,25.2,19.6,0.6,5.0
9949,r052,United States<sup>b</sup> -> Wyoming,United States<sup>b</sup>,Wyoming,2,41,16,21,4,35.6,13.0,18.6,4.0
9949,r053,Puerto Rico<sup>c</sup>,Puerto Rico<sup>c</sup>,,1,153,31,75,47,115.4,24.7,58.3,32.4
