table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_alabama,field_alaska,field_arizona,field_arkansas,field_california,field_colorado,field_connecticut,field_delaware,field_district_of_columbia,field_florida,field_georgia,field_hawaii,field_idaho,field_illinois,field_indiana,field_iowa,field_kansas,field_kentucky,field_louisiana,field_maine,field_maryland,field_massachusetts,field_michigan,field_minnesota,field_mississippi,field_missouri,field_montana
2114,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,662', '  ']","['12,257', '  ']","['17', '  ']","['*', 'e ']","['21', '  ']","['11', 'e ']","['3,168', '  ']","['37', '  ']","['254', 'i ']","['*', 'e ']","['0', '  ']","['88', '  ']","['147', '  ']","['1', '  ']","['11', '  ']","['1,661', '  ']","['300', '  ']","['658', '  ']","['115', '  ']","['66', '  ']","['27', '  ']","['5', '  ']","['179', 'i ']","['194', '  ']","['413', '  ']","['518', '  ']","['15', 'i ']","['107', '  ']","['2', 'e ']"
2114,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['181', '  ']","['1,511', '  ']","['*', 'e ']","['0', '  ']","['5', '  ']","['2', 'e ']","['35', '  ']","['6', '  ']","['1', 'e ']","['*', 'e ']","['0', '  ']","['1', 'e ']","['31', '  ']","['0', '  ']","['2', 'e ']","['174 - 439', '  ']","['5', 'e ']","['623', '  ']","['68', 'i ']","['*', 'e ']","['11', '  ']","['0', '  ']","['*', 'e ']","['*', '  ']","['6', '  ']","['95', '  ']","['1', 'e ']","['1', 'e ']","['0', '  ']"
2114,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['33', '  ']","['3,228', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['2,408', '  ']","['*', 'i ']","['0 - 213', 'i ']","['0', '  ']","['0', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['42', '  ']","['0', '  ']","['62', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2114,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['97', '  ']","['1,921', '  ']","['0 - 18', '  ']","['0', '  ']","['0 - 14', '  ']","['*', 'e ']","['0 - 452', '  ']","['0 - 32', '  ']","['42', '  ']","['0', '  ']","['0', '  ']","['20', '  ']","['14', '  ']","['0', '  ']","['0', '  ']","['957 - 1,224', '  ']","['123', '  ']","['0 - 36', '  ']","['5', '  ']","['*', '  ']","['*', 'e ']","['0 - 6', '  ']","['0 - 179', '  ']","['18', '  ']","['45', '  ']","['0 - 363', '  ']","['*', 'e ']","['0 - 107', '  ']","['*', 'e ']"
2114,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,352', '  ']","['5,596', '  ']","['0 - 18', '  ']","['*', 'e ']","['0 - 14', '  ']","['9', 'e ']","['271 - 727', '  ']","['0 - 32', '  ']","['0 - 213', 'i ']","['*', 'e ']","['0', '  ']","['61', '  ']","['102', '  ']","['1', '  ']","['9', '  ']","['264', '  ']","['173', '  ']","['0 - 36', '  ']","['42', '  ']","['66', '  ']","['15', '  ']","['0 - 6', 'e ']","['0 - 179', 'i ']","['134', '  ']","['361', '  ']","['0 - 363', '  ']","['14', 'i ']","['0 - 107', '  ']","['2', 'e ']"
2114,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,726', '  ']","['69,942', '  ']","['159', '  ']","['1', '  ']","['2,506', '  ']","['27', 'i ']","['35,766', '  ']","['1,336', '  ']","['217', '  ']","['47', '  ']","['22', '  ']","['820', '  ']","['635', '  ']","['14', '  ']","['1,370', '  ']","['1,125', '  ']","['87', '  ']","['193', '  ']","['397', '  ']","['23', '  ']","['14', 'i ']","['34', '  ']","['267', '  ']","['2,720', '  ']","['219', '  ']","['938', '  ']","['11', '  ']","['39', '  ']","['16', '  ']"
2114,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['254', '  ']","['10,972', '  ']","['101', '  ']","['1', '  ']","['84', '  ']","['7', '  ']","['5,002', '  ']","['267', '  ']","['49', '  ']","['2', '  ']","['20', '  ']","['327', '  ']","['486', '  ']","['13', '  ']","['6', '  ']","['642', '  ']","['35', '  ']","['11', '  ']","['22', '  ']","['7', '  ']","['3', '  ']","['3', '  ']","['151', '  ']","['383', '  ']","['62', '  ']","['90', '  ']","['4', '  ']","['22', '  ']","['3', '  ']"
2114,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['422', '  ']","['27,859', '  ']","['34', '  ']","['0', '  ']","['1,565', '  ']","['1', 'i ']","['14,409', 'i ']","['301', '  ']","['15', '  ']","['5', '  ']","['*', '  ']","['70', '  ']","['21', '  ']","['*', '  ']","['1,252', '  ']","['124', '  ']","['13', '  ']","['19', 'i ']","['3', 'e ']","['1', '  ']","['*', '  ']","['21', '  ']","['64', 'i ']","['1,035', '  ']","['47', 'i ']","['111', '  ']","['3', '  ']","['3', 'e ']","['1', 'i ']"
2114,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['774', '  ']","['10,089', '  ']","['11', '  ']","['*', 'e ']","['833', 'i ']","['19', 'i ']","['3,416', '  ']","['288', '  ']","['144', '  ']","['38', '  ']","['0', '  ']","['115', '  ']","['114', '  ']","['0', '  ']","['10', '  ']","['264', 'i ']","['34', '  ']","['162', '  ']","['165 - 374', '  ']","['14', 'i ']","['10', 'i ']","['9', '  ']","['29', '  ']","['727', '  ']","['93', '  ']","['337', 'i ']","['2', 'e ']","['13', 'i ']","['12', '  ']"
2114,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['109', '  ']","['2,545', '  ']","['*', 'e ']","['0', '  ']","['54', '  ']","['16', 'i ']","['1,308', '  ']","['40', 'i ']","['54', 'i ']","['*', 'e ']","['0', '  ']","['27', '  ']","['19', 'i ']","['0', '  ']","['0', '  ']","['107', 'i ']","['11', 'i ']","['4', 'i ']","['0', '  ']","['6', 'i ']","['*', 'e ']","['0 - 10', '  ']","['13', 'i ']","['290', '  ']","['20', 'i ']","['40', '  ']","['0', '  ']","['*', 'e ']","['*', 'e ']"
2114,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['118', '  ']","['3,214', '  ']","['6', 'i ']","['0', '  ']","['744', 'i ']","['0', '  ']","['566', '  ']","['61', '  ']","['0 - 91', 'i ']","['*', 'e ']","['0', '  ']","['65', '  ']","['19', '  ']","['0', '  ']","['1', '  ']","['0 - 158', 'i ']","['8', '  ']","['0 - 159', '  ']","['158 - 368', '  ']","['1', 'i ']","['0 - 11', 'i ']","['0 - 10', '  ']","['5', '  ']","['150', '  ']","['18', 'i ']","['149', 'i ']","['1', 'e ']","['1', 'i ']","['8', '  ']"
2114,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['547', '  ']","['4,329', '  ']","['5', '  ']","['*', 'e ']","['36', 'i ']","['3', '  ']","['1,541', '  ']","['188', '  ']","['0 - 91', '  ']","['38', '  ']","['0', '  ']","['22', '  ']","['76', '  ']","['0', '  ']","['9', '  ']","['0 - 158', '  ']","['16', '  ']","['0 - 159', 'i ']","['6', '  ']","['6', '  ']","['0 - 11', 'e ']","['0 - 10', 'e ']","['12', '  ']","['287', '  ']","['55', '  ']","['148', '  ']","['1', '  ']","['11', 'i ']","['4', '  ']"
2114,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['275', '  ']","['21,022', '  ']","['13', '  ']","['0', '  ']","['24', '  ']","['0', '  ']","['12,939', '  ']","['479', '  ']","['8', '  ']","['1', '  ']","['2', '  ']","['308', '  ']","['15', '  ']","['1', '  ']","['101', '  ']","['95', '  ']","['5', '  ']","['*', '  ']","['0 - 206', '  ']","['2', 'e ']","['1', '  ']","['1', '  ']","['22', '  ']","['575', '  ']","['18', '  ']","['401', '  ']","['2', 'e ']","['1', 'e ']","['*', '  ']"
2114,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['709', '  ']","['4,110', '  ']","['4', 'e ']","['0', '  ']","['22', '  ']","['2', 'e ']","['741', '  ']","['29', '  ']","['126', '  ']","['3', '  ']","['*', 'e ']","['61', '  ']","['97', 'i ']","['0', '  ']","['1', 'e ']","['284', '  ']","['51', '  ']","['30', '  ']","['21', '  ']","['9', '  ']","['3', 'e ']","['*', 'e ']","['25', 'i ']","['382', '  ']","['549', '  ']","['79', 'i ']","['26', 'i ']","['70', 'i ']","['8', '  ']"
