table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiaries,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_all_other
1414,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['141', '&nbsp;']","['11', '&nbsp;']","['131', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['1', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['25', 'i']","['*', '&nbsp;']","['25', 'i']","['*', '&nbsp;']","['0', '&nbsp;']"
1414,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['D', '&nbsp;']","['12', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['1', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['28', '&nbsp;']","['17', '&nbsp;']","['9', 'i']","['*', 'i']","['1', 'i']"
1414,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['559', '&nbsp;']","['15', '&nbsp;']","['529', '&nbsp;']","['16', 'i']","['*', 'i']"
1414,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['9', '&nbsp;']","['1', '&nbsp;']","['8', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
1414,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['372', '&nbsp;']","['*', '&nbsp;']","['371', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
1414,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['11', '&nbsp;']","['0', '&nbsp;']","['11', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']"
1414,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['166', '&nbsp;']","['14', '&nbsp;']","['139', '&nbsp;']","['14', 'i']","['*', 'i']"
1414,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['D', '&nbsp;']","['6,820', '&nbsp;']","['2,791', '&nbsp;']","['268', '&nbsp;']","['D', '&nbsp;']"
1414,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['782', '&nbsp;']","['7', '&nbsp;']","['766', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']"
1414,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['2,737', '&nbsp;']","['1,085', '&nbsp;']","['1,519', '&nbsp;']","['133', '&nbsp;']","['*', '&nbsp;']"
1414,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['D', '&nbsp;']","['104', '&nbsp;']","['475', '&nbsp;']","['111', '&nbsp;']","['D', '&nbsp;']"
1414,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['D', '&nbsp;']","['5', '&nbsp;']","['135', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
1414,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['D', '&nbsp;']","['15', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1414,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['D', '&nbsp;']","['83', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']"
1414,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['5,671', '&nbsp;']","['5,625', '&nbsp;']","['31', '&nbsp;']","['15', '&nbsp;']","['0', '&nbsp;']"
1414,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['D', '&nbsp;']","['120', '&nbsp;']","['348', 'i']","['45', 'i']","['D', '&nbsp;']"
1414,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['2,203', '&nbsp;']","['78', '&nbsp;']","['1,959', '&nbsp;']","['145', '&nbsp;']","['20', '&nbsp;']"
1414,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['D', '&nbsp;']","['58', '&nbsp;']","['1,937', '&nbsp;']","['94', 'i']","['D', '&nbsp;']"
1414,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['D', '&nbsp;']","['20', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1414,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['D', '&nbsp;']","['20', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1414,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['*', 'i']"
1414,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']"
1414,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
1414,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['367', '&nbsp;']","['245', '&nbsp;']","['91', '&nbsp;']","['31', '&nbsp;']","['0', '&nbsp;']"
1414,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['345', '&nbsp;']","['245', '&nbsp;']","['88', '&nbsp;']","['12', '&nbsp;']","['0', '&nbsp;']"
1414,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['23', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['19', 'i']","['0', '&nbsp;']"
1414,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['4,922', '&nbsp;']","['1,411', '&nbsp;']","['2,502', '&nbsp;']","['996', '&nbsp;']","['13', '&nbsp;']"
1414,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['720', '&nbsp;']","['377', '&nbsp;']","['*', '&nbsp;']","['337', '&nbsp;']","['5', '&nbsp;']"
1414,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['D', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
1414,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['6', '&nbsp;']","['0', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
1414,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['1,379', '&nbsp;']","['876', '&nbsp;']","['375', '&nbsp;']","['128', '&nbsp;']","['0', '&nbsp;']"
1414,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['906', '&nbsp;']","['563', '&nbsp;']","['216', '&nbsp;']","['127', '&nbsp;']","['0', '&nbsp;']"
1414,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['3', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['3', 'i']","['0', '&nbsp;']"
1414,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['903', '&nbsp;']","['563', '&nbsp;']","['216', '&nbsp;']","['125', '&nbsp;']","['0', '&nbsp;']"
1414,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
1414,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
1414,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['25', '&nbsp;']","['17', '&nbsp;']","['8', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['D', '&nbsp;']","['131', '&nbsp;']","['2,093', '&nbsp;']","['526', '&nbsp;']","['D', '&nbsp;']"
1414,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['167', 'i']","['26', '&nbsp;']","['137', 'i']","['4', '&nbsp;']","['*', '&nbsp;']"
1414,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['1,480', '&nbsp;']","['47', '&nbsp;']","['1,433', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
1414,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['926', '&nbsp;']","['58', '&nbsp;']","['362', '&nbsp;']","['501', '&nbsp;']","['5', '&nbsp;']"
1414,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['347', '&nbsp;']","['4', '&nbsp;']","['43', '&nbsp;']","['297', '&nbsp;']","['3', '&nbsp;']"
1414,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['576', 'i']","['53', '&nbsp;']","['316', '&nbsp;']","['204', 'i']","['2', '&nbsp;']"
1414,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['3', 'i']","['0', '&nbsp;']","['3', 'i']","['*', 'i']","['*', '&nbsp;']"
1414,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['D', '&nbsp;']","['1', '&nbsp;']","['161', 'i']","['20', '&nbsp;']","['D', '&nbsp;']"
1414,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['21', '&nbsp;']","['9', '&nbsp;']","['8', 'i']","['4', '&nbsp;']","['0', '&nbsp;']"
1414,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['11', '&nbsp;']","['*', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1414,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['28,912', '&nbsp;']","['11,120', '&nbsp;']","['14,766', '&nbsp;']","['2,926', '&nbsp;']","['100', '&nbsp;']"
1414,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1414,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['D', '&nbsp;']","['2', '&nbsp;']","['44', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1414,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1414,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['250', 'i']","['9', '&nbsp;']","['203', 'i']","['32', 'i']","['6', '&nbsp;']"
1414,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['573', 'i']","['74', '&nbsp;']","['417', 'i']","['73', 'i']","['9', '&nbsp;']"
1414,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1414,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['799', '&nbsp;']","['132', '&nbsp;']","['580', '&nbsp;']","['87', '&nbsp;']","['2', 'i']"
1414,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,751', '&nbsp;']","['270', '&nbsp;']","['1,378', '&nbsp;']","['103', '&nbsp;']","['1', 'i']"
1414,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1414,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,038', '&nbsp;']","['272', '&nbsp;']","['476', '&nbsp;']","['290', '&nbsp;']","['*', 'i']"
1414,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,110', '&nbsp;']","['545', '&nbsp;']","['383', '&nbsp;']","['181', '&nbsp;']","['1', 'i']"
1414,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['D', '&nbsp;']","['2,127', '&nbsp;']","['5,414', '&nbsp;']","['933', '&nbsp;']","['D', '&nbsp;']"
1414,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['D', '&nbsp;']","['1,094', '&nbsp;']","['2,186', '&nbsp;']","['D', '&nbsp;']","['4', '&nbsp;']"
1414,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['4,871', '&nbsp;']","['538', '&nbsp;']","['3,434', '&nbsp;']","['881', '&nbsp;']","['18', 'i']"
1414,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['D', '&nbsp;']","['6,056', '&nbsp;']","['252', '&nbsp;']","['73', 'i']","['D', '&nbsp;']"
