table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
6848,r070,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Physical and related scientists,Very dissatisfied,5,6000,,,S,,S
6848,r071,All sexes -> Female -> S&E occupations -> Social and related scientists,All sexes,Female,S&E occupations,Social and related scientists,,4,379000,S,63000,92000,74000,148000
6848,r072,All sexes -> Female -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,Female,S&E occupations,Social and related scientists,Very satisfied,5,180000,,24000,36000,40000,79000
6848,r073,All sexes -> Female -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Social and related scientists,Somewhat satisfied,5,169000,S,30000,50000,31000,59000
6848,r074,All sexes -> Female -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Social and related scientists,Somewhat dissatisfied,5,26000,,8000,5000,3000,10000
6848,r075,All sexes -> Female -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Social and related scientists,Very dissatisfied,5,4000,,,S,,1000
6848,r076,All sexes -> Female -> S&E occupations -> Engineers,All sexes,Female,S&E occupations,Engineers,,4,269000,13000,90000,116000,8000,41000
6848,r077,All sexes -> Female -> S&E occupations -> Engineers -> Very satisfied,All sexes,Female,S&E occupations,Engineers,Very satisfied,5,110000,6000,38000,48000,5000,14000
6848,r078,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Female,S&E occupations,Engineers,Somewhat satisfied,5,142000,6000,45000,62000,3000,25000
6848,r079,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Engineers,Somewhat dissatisfied,5,14000,,6000,5000,,1000
6848,r080,All sexes -> Female -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Female,S&E occupations,Engineers,Very dissatisfied,5,3000,,S,1000,,
6848,r081,All sexes -> Female -> S&E-related occupations,All sexes,Female,S&E-related occupations,,,3,4764000,67000,677000,275000,778000,2968000
6848,r082,All sexes -> Female -> S&E-related occupations -> Very satisfied,All sexes,Female,S&E-related occupations,Very satisfied,,4,2310000,29000,303000,123000,383000,1471000
6848,r083,All sexes -> Female -> S&E-related occupations -> Somewhat satisfied,All sexes,Female,S&E-related occupations,Somewhat satisfied,,4,2046000,29000,305000,134000,330000,1247000
6848,r084,All sexes -> Female -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Female,S&E-related occupations,Somewhat dissatisfied,,4,347000,5000,57000,16000,59000,210000
6848,r085,All sexes -> Female -> S&E-related occupations -> Very dissatisfied,All sexes,Female,S&E-related occupations,Very dissatisfied,,4,62000,,12000,1000,5000,40000
6848,r086,All sexes -> Female -> Non-S&E occupations,All sexes,Female,Non-S&E occupations,,,3,18170000,188000,9394000,967000,4233000,3388000
6848,r087,All sexes -> Female -> Non-S&E occupations -> Very satisfied,All sexes,Female,Non-S&E occupations,Very satisfied,,4,7799000,31000,3837000,362000,2049000,1520000
6848,r088,All sexes -> Female -> Non-S&E occupations -> Somewhat satisfied,All sexes,Female,Non-S&E occupations,Somewhat satisfied,,4,8076000,111000,4305000,487000,1714000,1458000
6848,r089,All sexes -> Female -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Female,Non-S&E occupations,Somewhat dissatisfied,,4,1803000,S,981000,86000,404000,290000
6848,r090,All sexes -> Female -> Non-S&E occupations -> Very dissatisfied,All sexes,Female,Non-S&E occupations,Very dissatisfied,,4,492000,S,270000,32000,66000,120000
6848,r091,All sexes -> Male,All sexes,Male,,,,2,23323000,1864000,10854000,3016000,1918000,5671000
6848,r092,All sexes -> Male -> Very satisfied,All sexes,Male,Very satisfied,,,3,10934000,832000,5146000,1459000,905000,2592000
6848,r093,All sexes -> Male -> Somewhat satisfied,All sexes,Male,Somewhat satisfied,,,3,9805000,855000,4438000,1283000,865000,2364000
6848,r094,All sexes -> Male -> Somewhat dissatisfied,All sexes,Male,Somewhat dissatisfied,,,3,1973000,151000,964000,223000,128000,507000
6848,r095,All sexes -> Male -> Very dissatisfied,All sexes,Male,Very dissatisfied,,,3,610000,26000,306000,51000,20000,209000
6848,r096,All sexes -> Male -> S&E occupations,All sexes,Male,S&E occupations,,,3,4803000,1419000,961000,1615000,246000,562000
6848,r097,All sexes -> Male -> S&E occupations -> Very satisfied,All sexes,Male,S&E occupations,Very satisfied,,4,2167000,615000,431000,764000,108000,248000
6848,r098,All sexes -> Male -> S&E occupations -> Somewhat satisfied,All sexes,Male,S&E occupations,Somewhat satisfied,,4,2207000,672000,452000,721000,119000,243000
6848,r099,All sexes -> Male -> S&E occupations -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Somewhat dissatisfied,,4,355000,121000,57000,110000,15000,51000
6848,r100,All sexes -> Male -> S&E occupations -> Very dissatisfied,All sexes,Male,S&E occupations,Very dissatisfied,,4,73000,11000,21000,19000,4000,20000
6848,r101,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",,4,319000,7000,40000,217000,21000,34000
6848,r102,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,5,149000,S,19000,104000,11000,14000
6848,r103,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,5,137000,4000,16000,95000,9000,14000
6848,r104,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,5,25000,,3000,14000,1000,5000
6848,r105,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,5,7000,,2000,5000,,0.05
6848,r106,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists,All sexes,Male,S&E occupations,Computer and mathematical scientists,,4,2500000,1327000,379000,488000,77000,228000
6848,r107,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very satisfied,5,1070000,577000,164000,215000,36000,78000
6848,r108,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,5,1189000,636000,183000,228000,35000,108000
6848,r109,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,5,200000,105000,22000,39000,5000,28000
6848,r110,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very dissatisfied,5,42000,10000,10000,6000,,14000
6848,r111,All sexes -> Male -> S&E occupations -> Physical and related scientists,All sexes,Male,S&E occupations,Physical and related scientists,,4,259000,3000,30000,139000,50000,36000
6848,r112,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very satisfied,5,116000,2000,12000,71000,18000,13000
6848,r113,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat satisfied,5,124000,1000,14000,61000,30000,18000
6848,r114,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat dissatisfied,5,14000,,3000,7000,S,3000
6848,r115,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very dissatisfied,5,5000,,,1000,,S
6848,r116,All sexes -> Male -> S&E occupations -> Social and related scientists,All sexes,Male,S&E occupations,Social and related scientists,,4,266000,2000,S,82000,59000,69000
6848,r117,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Social and related scientists,Very satisfied,5,167000,S,S,50000,31000,44000
6848,r118,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat satisfied,5,86000,S,11000,28000,23000,22000
6848,r119,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat dissatisfied,5,13000,,2000,4000,4000,S
6848,r120,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Very dissatisfied,5,1000,,,,S,
6848,r121,All sexes -> Male -> S&E occupations -> Engineers,All sexes,Male,S&E occupations,Engineers,,4,1459000,79000,458000,688000,38000,195000
6848,r122,All sexes -> Male -> S&E occupations -> Engineers -> Very satisfied,All sexes,Male,S&E occupations,Engineers,Very satisfied,5,666000,35000,195000,325000,13000,99000
6848,r123,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Male,S&E occupations,Engineers,Somewhat satisfied,5,671000,31000,228000,310000,22000,80000
6848,r124,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Engineers,Somewhat dissatisfied,5,104000,13000,28000,47000,4000,12000
6848,r125,All sexes -> Male -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Male,S&E occupations,Engineers,Very dissatisfied,5,18000,,7000,6000,,4000
6848,r126,All sexes -> Male -> S&E-related occupations,All sexes,Male,S&E-related occupations,,,3,3507000,201000,864000,412000,423000,1607000
6848,r127,All sexes -> Male -> S&E-related occupations -> Very satisfied,All sexes,Male,S&E-related occupations,Very satisfied,,4,1786000,104000,430000,225000,194000,833000
6848,r128,All sexes -> Male -> S&E-related occupations -> Somewhat satisfied,All sexes,Male,S&E-related occupations,Somewhat satisfied,,4,1425000,82000,342000,161000,190000,649000
6848,r129,All sexes -> Male -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Male,S&E-related occupations,Somewhat dissatisfied,,4,229000,12000,63000,24000,37000,93000
6848,r130,All sexes -> Male -> S&E-related occupations -> Very dissatisfied,All sexes,Male,S&E-related occupations,Very dissatisfied,,4,68000,3000,29000,S,S,32000
6848,r131,All sexes -> Male -> Non-S&E occupations,All sexes,Male,Non-S&E occupations,,,3,15013000,244000,9029000,989000,1249000,3502000
6848,r132,All sexes -> Male -> Non-S&E occupations -> Very satisfied,All sexes,Male,Non-S&E occupations,Very satisfied,,4,6982000,113000,4285000,470000,603000,1511000
6848,r133,All sexes -> Male -> Non-S&E occupations -> Somewhat satisfied,All sexes,Male,Non-S&E occupations,Somewhat satisfied,,4,6173000,101000,3643000,401000,556000,1472000
6848,r134,All sexes -> Male -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Male,Non-S&E occupations,Somewhat dissatisfied,,4,1389000,19000,844000,89000,76000,362000
6848,r135,All sexes -> Male -> Non-S&E occupations -> Very dissatisfied,All sexes,Male,Non-S&E occupations,Very dissatisfied,,4,470000,12000,256000,30000,14000,157000
