table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_health_or_medical_r_d_total_companiesb_number_,field_health_or_medical_r_d_total_amount,field_health_or_medical_r_d_paid_for_by_the_company_companiesb_number_,field_health_or_medical_r_d_paid_for_by_the_company_amount,field_health_or_medical_r_d_paid_for_by_others_companiesb_number_,field_health_or_medical_r_d_paid_for_by_others_amount
6565,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['190', 'i']","['1,467', '']","['10', 'i']","['18', 'i']","['10', 'i']","['18', '']","['10', 'i']","['*', 'i']"
6565,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['30', '']","['35', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6565,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['150', '']","['2,865', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6565,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['190', '']","['409', '']","['30', 'i']","['18', 'i']","['30', 'i']","['18', 'i']","['0', '']","['0', '']"
6565,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,310', '']","['18,596', '']","['790', 'i']","['13,864', '']","['760', 'i']","['13,683', '']","['130', 'i']","['181', '']"
6565,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['790', '']","['16,014', '']","['760', 'i']","['13,659', '']","['730', 'i']","['13,492', '']","['120', 'i']","['167', '']"
6565,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['520', '']","['2,582', '']","['30', '']","['205', '']","['30', '']","['191', '']","['10', '']","['14', '']"
6565,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['13,100', '']","['207,283', '']","['2,930', 'i']","['24,978', 'i']","['2,360', 'i']","['9,028', '']","['760', 'i']","['15,950', 'i']"
6565,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['160', '']","['2,717', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6565,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['40', '']","['275', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6565,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,560', '']","['1,191', '']","['180', 'i']","['85', 'i']","['180', 'i']","['83', 'i']","['10', '']","['2', '']"
6565,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['60', '']","['3,131 - 15,818', 'i']","['10', 'i']","['42', '']","['10', 'i']","['42', '']","['0', '']","['0', '']"
6565,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['130', '']","['9,890', 'i']","['10', '']","['83', 'i']","['10', '']","['83', 'i']","['0', '']","['0', '']"
6565,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,090', '']","['110,227', '']","['510', 'i']","['2,812', '']","['500', 'i']","['2,782', '']","['10', '']","['29', '']"
6565,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,080', '']","['33,019', '']","['280', 'i']","['1,554', 'i']","['280', 'i']","['1,527', 'i']","['10', '']","['27', '']"
6565,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['40', '']","['61', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6565,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,040', '']","['32,958', '']","['280', 'i']","['1,554', 'i']","['280', 'i']","['1,527', 'i']","['10', '']","['27', '']"
6565,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['210', '']","['3,733', '']","['10', '']","['2', '']","['10', '']","['2', '']","['0', '']","['0', '']"
6565,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,480', '']","['30,558', '']","['220', '']","['1,186', '']","['220', '']","['1,184', '']","['10', '']","['2', '']"
6565,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['340', '']","['42,917', '']","['20', '']","['69', '']","['20', '']","['69', '']","['0', '']","['0', '']"
6565,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['220', '']","['8,917', '']","['30', '']","['591', '']","['30', '']","['591', '']","['0', '']","['0', '']"
6565,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['50', '']","['1,371', '']","['10', '']","['1', '']","['10', '']","['1', '']","['0', '']","['0', '']"
6565,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['20', '']","['45', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6565,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['30', '']","['1,326', '']","['10', '']","['1', '']","['10', '']","['1', '']","['0', '']","['0', '']"
6565,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,500', '']","['53,233', '']","['1,600', 'i']","['19,211', 'i']","['1,110', 'i']","['3,609', '']","['670', 'i']","['15,602', 'i']"
6565,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,450', '']","['4,207', '']","['310', 'i']","['466', 'i']","['170', 'i']","['132', 'i']","['160', 'i']","['334', 'i']"
6565,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['3,020', '']","['21,046', '']","['340', 'i']","['1,607', '']","['330', 'i']","['1,546', '']","['20', 'i']","['61', '']"
6565,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,230', '']","['21,669', '']","['810', 'i']","['16,508', 'i']","['510', 'i']","['1,653', '']","['450', 'i']","['14,855', 'i']"
6565,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['310', '']","['6,457', '']","['260', 'i']","['5,879', '']","['160', 'i']","['658', '']","['150', '']","['5,221', '']"
6565,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['900', '']","['14,446', 'i']","['540', 'i']","['10,243', 'i']","['350', 'i']","['977', '']","['300', 'i']","['9,266', 'i']"
6565,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['30', '']","['766', '']","['20', '']","['386', '']","['10', '']","['18', '']","['10', '']","['368', '']"
6565,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['810', '']","['6,312', '']","['150', 'i']","['630', '']","['110', 'i']","['279', 'i']","['60', 'i']","['351', '']"
6565,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['680', '']","['2,265', '']","['560', '']","['2,075', '']","['490', '']","['1,758', '']","['80', '']","['317', '']"
6565,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['680', '']","['1,380 - 14,067', '']","['60', 'i']","['78', '']","['60', 'i']","['78', '']","['0', '']","['0', '']"
6565,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['28,270', '']","['492,956', '']","['7,230', 'i']","['133,765', '']","['6,440', 'i']","['108,075', '']","['1,400', 'i']","['25,691', 'i']"
6565,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6565,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['5,490', '']","['5,501', '']","['1,720', 'i']","['2,561', '']","['1,500', 'i']","['2,100', '']","['360', 'i']","['461', 'i']"
6565,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['7,980', '']","['12,418', '']","['1,860', 'i']","['4,206', '']","['1,630', 'i']","['3,415', '']","['390', 'i']","['791', 'i']"
6565,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6565,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['4,960', '']","['14,021', '']","['1,220', 'i']","['6,210', '']","['1,120', 'i']","['5,216', '']","['180', 'i']","['994', '']"
6565,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['4,580', '']","['19,793', '']","['1,100', 'i']","['7,054', '']","['990', 'i']","['5,819', '']","['230', 'i']","['1,235', '']"
6565,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6565,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,140', '']","['18,883', '']","['560', '']","['6,416', '']","['520', '']","['5,239', '']","['80', '']","['1,177', '']"
6565,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,230', '']","['23,969', '']","['240', '']","['7,351', '']","['230', '']","['6,505', '']","['40', '']","['846', '']"
6565,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,330', '']","['75,671', '']","['400', '']","['18,070', '']","['320', '']","['13,674', '']","['100', '']","['4,396', 'i']"
6565,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['240', '']","['50,811', '']","['80', '']","['18,646', '']","['70', '']","['14,705', '']","['20', '']","['3,941', '']"
6565,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['220', '']","['88,263', '']","['60', '']","['37,476', '']","['60', '']","['28,676', '']","['20', 'i']","['8,799', 'i']"
6565,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['130', '']","['183,626', '']","['40', '']","['25,775', '']","['40', '']","['22,725', '']","['20', '']","['3,050', '']"
