table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_all_u_s_citizens_and_permanent_residents_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
11673,r054,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,4,1099,100.0,12.8,0.3,6.0,14.1,59.5,4.3,1.5,1.5
11673,r055,All fields -> Science and engineering -> Psychology -> Research and experimental psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,4,655,100.0,9.8,0.3,9.2,5.5,68.2,4.0,1.4,1.7
11673,r056,"All fields -> Science and engineering -> Psychology -> Psychology, other",All fields,Science and engineering,Psychology,"Psychology, other",4,346,100.0,13.6,0.3,6.1,11.0,58.1,5.2,1.2,4.6
11673,r057,All fields -> Science and engineering -> Social sciences,All fields,Science and engineering,Social sciences,,3,3065,100.0,10.7,0.5,9.5,9.5,63.6,3.4,1.5,1.3
11673,r058,All fields -> Science and engineering -> Social sciences -> Anthropology,All fields,Science and engineering,Social sciences,Anthropology,4,296,100.0,13.2,1.4,7.1,3.0,69.3,2.4,2.7,1.0
11673,r059,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,316,100.0,18.7,2.5,10.1,14.9,48.1,2.2,2.2,1.3
11673,r060,All fields -> Science and engineering -> Social sciences -> Economics,All fields,Science and engineering,Social sciences,Economics,4,489,100.0,9.2,0.0,14.7,3.5,67.5,2.9,1.6,0.6
11673,r061,All fields -> Science and engineering -> Social sciences -> Political science and government,All fields,Science and engineering,Social sciences,Political science and government,4,438,100.0,9.6,0.0,8.9,6.8,68.0,2.7,1.4,2.5
11673,r062,All fields -> Science and engineering -> Social sciences -> Public policy analysis,All fields,Science and engineering,Social sciences,Public policy analysis,4,315,100.0,9.2,0.0,7.9,24.4,52.1,4.4,1.3,0.6
11673,r063,"All fields -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",All fields,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,494,100.0,11.7,0.0,7.1,11.7,64.8,3.2,0.4,1.0
11673,r064,"All fields -> Science and engineering -> Social sciences -> Social sciences, other",All fields,Science and engineering,Social sciences,"Social sciences, other",4,717,100.0,7.9,0.4,9.3,7.5,67.1,4.6,1.5,1.5
11673,r065,All fields -> Non-science and engineering,All fields,Non-science and engineering,,,2,8556,100.0,10.0,0.5,6.8,12.5,64.0,2.8,1.3,2.1
11673,r066,All fields -> Non-science and engineering -> Business,All fields,Non-science and engineering,Business,,3,663,100.0,5.7,0.3,18.4,9.8,59.1,2.3,1.8,2.6
11673,r067,All fields -> Non-science and engineering -> Business -> Business administration and management,All fields,Non-science and engineering,Business,Business administration and management,4,223,100.0,5.8,0.4,16.6,15.2,54.3,1.8,2.7,3.1
