table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_companies_number_,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no,field_product_innovation_percent_yes,field_product_innovation_percent_no,field_business_process_innovation_percent_yes,field_business_process_innovation_percent_no
8028,r013,All states -> Hawaii,All states,Hawaii,2,"['    20,133 ', '&#160;']","['28.4', '&#160;']","['71.6', '&#160;']","['13.3', '&#160;']","['86.7', '&#160;']","['22.8', '&#160;']","['77.2', '&#160;']"
8028,r014,All states -> Idaho,All states,Idaho,2,"['    35,630 ', '&#160;']","['23.0', '&#160;']","['77.0', '&#160;']","['10.1', '&#160;']","['89.9', '&#160;']","['19.8', '&#160;']","['80.2', '&#160;']"
8028,r015,All states -> Illinois,All states,Illinois,2,"['    201,649 ', '&#160;']","['25.8', '&#160;']","['74.2', '&#160;']","['11.1', '&#160;']","['88.9', '&#160;']","['22.1', '&#160;']","['77.9', '&#160;']"
8028,r016,All states -> Indiana,All states,Indiana,2,"['    90,420 ', '&#160;']","['24.7', '&#160;']","['75.3', '&#160;']","['10.0', '&#160;']","['90.0', '&#160;']","['21.4', '&#160;']","['78.6', '&#160;']"
8028,r017,All states -> Iowa,All states,Iowa,2,"['    54,835 ', '&#160;']","['23.5', '&#160;']","['76.5', '&#160;']","['9.5', '&#160;']","['90.5', '&#160;']","['20.0', '&#160;']","['80.0', '&#160;']"
8028,r018,All states -> Kansas,All states,Kansas,2,"['    47,088 ', '&#160;']","['20.8', '&#160;']","['79.2', '&#160;']","['9.4', '&#160;']","['90.6', '&#160;']","['17.8', '&#160;']","['82.2', '&#160;']"
8028,r019,All states -> Kentucky,All states,Kentucky,2,"['    52,944 ', '&#160;']","['22.3', '&#160;']","['77.7', '&#160;']","['9.5', '&#160;']","['90.5', '&#160;']","['19.0', '&#160;']","['81.0', '&#160;']"
8028,r020,All states -> Louisiana,All states,Louisiana,2,"['    58,558 ', '&#160;']","['20.5', '&#160;']","['79.5', '&#160;']","['8.0', '&#160;']","['92.0', '&#160;']","['18.2', '&#160;']","['81.8', '&#160;']"
8028,r021,All states -> Maine,All states,Maine,2,"['    25,795 ', '&#160;']","['21.6', '&#160;']","['78.4', '&#160;']","['7.8', '&#160;']","['92.2', '&#160;']","['18.2', '&#160;']","['81.8', '&#160;']"
8028,r022,All states -> Maryland,All states,Maryland,2,"['    85,475 ', '&#160;']","['25.2', '&#160;']","['74.8', '&#160;']","['11.0', '&#160;']","['89.0', '&#160;']","['21.9', '&#160;']","['78.1', '&#160;']"
8028,r023,All states -> Massachusetts,All states,Massachusetts,2,"['    101,275 ', '&#160;']","['25.5', '&#160;']","['74.5', '&#160;']","['10.4', '&#160;']","['89.6', '&#160;']","['22.2', '&#160;']","['77.8', '&#160;']"
8028,r024,All states -> Michigan,All states,Michigan,2,"['    141,486 ', '&#160;']","['26.4', '&#160;']","['73.6', '&#160;']","['11.8', '&#160;']","['88.2', '&#160;']","['22.6', '&#160;']","['77.4', '&#160;']"
8028,r025,All states -> Minnesota,All states,Minnesota,2,"['    101,014 ', '&#160;']","['23.6', '&#160;']","['76.4', '&#160;']","['10.3', '&#160;']","['89.7', '&#160;']","['20.1', '&#160;']","['79.9', '&#160;']"
8028,r026,All states -> Mississippi,All states,Mississippi,2,"['    31,156 ', '&#160;']","['18.8', '&#160;']","['81.2', '&#160;']","['7.0', '&#160;']","['93.0', '&#160;']","['16.3', '&#160;']","['83.7', '&#160;']"
8028,r027,All states -> Missouri,All states,Missouri,2,"['    90,016 ', '&#160;']","['22.9', '&#160;']","['77.1', '&#160;']","['10.4', '&#160;']","['89.6', '&#160;']","['19.2', '&#160;']","['80.8', '&#160;']"
8028,r028,All states -> Montana,All states,Montana,2,"['    28,811 ', '&#160;']","['22.2', '&#160;']","['77.8', '&#160;']","['9.8', '&#160;']","['90.2', '&#160;']","['18.5', '&#160;']","['81.5', '&#160;']"
8028,r029,All states -> Nebraska,All states,Nebraska,2,"['    39,923 ', '&#160;']","['22.2', '&#160;']","['77.8', '&#160;']","['9.8', '&#160;']","['90.2', '&#160;']","['18.3', '&#160;']","['81.7', '&#160;']"
8028,r030,All states -> Nevada,All states,Nevada,2,"['    39,166 ', '&#160;']","['24.3', '&#160;']","['75.7', '&#160;']","['11.2', '&#160;']","['88.8', '&#160;']","['21.0', '&#160;']","['79.0', '&#160;']"
8028,r031,All states -> New Hampshire,All states,New Hampshire,2,"['    23,711 ', '&#160;']","['24.4', '&#160;']","['75.6', '&#160;']","['9.2', '&#160;']","['90.8', '&#160;']","['20.3', '&#160;']","['79.7', '&#160;']"
8028,r032,All states -> New Jersey,All states,New Jersey,2,"['    142,840 ', '&#160;']","['25.8', '&#160;']","['74.2', '&#160;']","['10.6', '&#160;']","['89.4', '&#160;']","['22.0', '&#160;']","['78.0', '&#160;']"
8028,r033,All states -> New Mexico,All states,New Mexico,2,"['    25,812 ', '&#160;']","['22.3', '&#160;']","['77.7', '&#160;']","['10.7', '&#160;']","['89.3', '&#160;']","['19.4', '&#160;']","['80.6', '&#160;']"
8028,r034,All states -> New York,All states,New York,2,"['    310,587 ', '&#160;']","['25.0', '&#160;']","['75.0', '&#160;']","['10.3', '&#160;']","['89.7', '&#160;']","['21.2', '&#160;']","['78.8', '&#160;']"
8028,r035,All states -> North Carolina,All states,North Carolina,2,"['    144,596 ', '&#160;']","['24.0', '&#160;']","['76.0', '&#160;']","['10.6', '&#160;']","['89.4', '&#160;']","['20.6', '&#160;']","['79.4', '&#160;']"
8028,r036,All states -> North Dakota,All states,North Dakota,2,"['    15,851 ', '&#160;']","['22.6', '&#160;']","['77.4', '&#160;']","['11.0', '&#160;']","['89.0', '&#160;']","['18.3', '&#160;']","['81.7', '&#160;']"
8028,r037,All states -> Ohio,All states,Ohio,2,"['    148,363 ', '&#160;']","['25.5', '&#160;']","['74.5', '&#160;']","['10.9', '&#160;']","['89.1', '&#160;']","['21.5', '&#160;']","['78.5', '&#160;']"
8028,r038,All states -> Oklahoma,All states,Oklahoma,2,"['    56,340 ', '&#160;']","['22.6', '&#160;']","['77.4', '&#160;']","['10.2', '&#160;']","['89.8', '&#160;']","['18.0', '&#160;']","['82.0', '&#160;']"
8028,r039,All states -> Oregon,All states,Oregon,2,"['    79,884 ', '&#160;']","['25.8', '&#160;']","['74.2', '&#160;']","['11.2', '&#160;']","['88.8', '&#160;']","['22.5', '&#160;']","['77.5', '&#160;']"
8028,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['    178,025 ', '&#160;']","['24.4', '&#160;']","['75.6', '&#160;']","['10.4', '&#160;']","['89.6', '&#160;']","['20.9', '&#160;']","['79.1', '&#160;']"
8028,r041,All states -> Rhode Island,All states,Rhode Island,2,"['    17,295 ', '&#160;']","['30.0', '&#160;']","['70.0', '&#160;']","['12.2', '&#160;']","['87.8', '&#160;']","['25.1', '&#160;']","['74.9', '&#160;']"
8028,r042,All states -> South Carolina,All states,South Carolina,2,"['    65,829 ', '&#160;']","['24.5', '&#160;']","['75.5', '&#160;']","['11.0', '&#160;']","['89.0', '&#160;']","['20.0', '&#160;']","['80.0', '&#160;']"
8028,r043,All states -> South Dakota,All states,South Dakota,2,"['    18,457 ', '&#160;']","['18.5', '&#160;']","['81.5', '&#160;']","['9.7', '&#160;']","['90.3', '&#160;']","['14.9', '&#160;']","['85.1', '&#160;']"
8028,r044,All states -> Tennessee,All states,Tennessee,2,"['    73,356 ', '&#160;']","['23.6', '&#160;']","['76.4', '&#160;']","['9.9', '&#160;']","['90.1', '&#160;']","['20.9', '&#160;']","['79.1', '&#160;']"
8028,r045,All states -> Texas,All states,Texas,2,"['    331,373 ', '&#160;']","['26.4', '&#160;']","['73.6', '&#160;']","['11.1', '&#160;']","['88.9', '&#160;']","['23.0', '&#160;']","['77.0', '&#160;']"
8028,r046,All states -> Utah,All states,Utah,2,"['    57,798 ', '&#160;']","['24.0', '&#160;']","['76.0', '&#160;']","['10.5', '&#160;']","['89.5', '&#160;']","['21.1', '&#160;']","['78.9', '&#160;']"
8028,r047,All states -> Vermont,All states,Vermont,2,"['    13,662 ', '&#160;']","['24.0', '&#160;']","['76.0', '&#160;']","['9.1', '&#160;']","['90.9', '&#160;']","['20.7', '&#160;']","['79.3', '&#160;']"
8028,r048,All states -> Virginia,All states,Virginia,2,"['    121,987 ', '&#160;']","['26.3', '&#160;']","['73.7', '&#160;']","['11.1', '&#160;']","['88.9', '&#160;']","['22.8', '&#160;']","['77.2', '&#160;']"
8028,r049,All states -> Washington,All states,Washington,2,"['    127,883 ', '&#160;']","['25.6', '&#160;']","['74.4', '&#160;']","['10.9', '&#160;']","['89.1', '&#160;']","['22.2', '&#160;']","['77.8', '&#160;']"
8028,r050,All states -> West Virginia,All states,West Virginia,2,"['    19,016 ', '&#160;']","['19.2', '&#160;']","['80.8', '&#160;']","['8.6', '&#160;']","['91.4', '&#160;']","['15.7', '&#160;']","['84.3', '&#160;']"
8028,r051,All states -> Wisconsin,All states,Wisconsin,2,"['    97,562 ', '&#160;']","['23.4', '&#160;']","['76.6', '&#160;']","['9.3', '&#160;']","['90.7', '&#160;']","['20.3', '&#160;']","['79.7', '&#160;']"
8028,r052,All states -> Wyoming,All states,Wyoming,2,"['    14,372 ', '&#160;']","['21.8', '&#160;']","['78.2', '&#160;']","['8.2', '&#160;']","['91.8', '&#160;']","['17.9', '&#160;']","['82.1', '&#160;']"
8028,r053,All states -> Undistributed,All states,Undistributed,2,"['    42,087 ', '&#160;']","['34.7', '&#160;']","['65.3', '&#160;']","['15.6', '&#160;']","['84.4', '&#160;']","['29.8', '&#160;']","['70.2', '&#160;']"
