table_id,row_id,_b_industry_naics_code_and_company_size_b_full_path,_b_industry_naics_code_and_company_size_b_level_1,_b_industry_naics_code_and_company_size_b_level_2,_b_industry_naics_code_and_company_size_b_level_3,_b_industry_naics_code_and_company_size_b_level_4,_b_industry_naics_code_and_company_size_b_hierarchy_depth,field_all_r_da,field_paid_for_by_the_companyb,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_companies_domestic,field_paid_for_by_others_companies_foreignc,field_paid_for_by_others_all_other_organizationsd
9412,r023,"All industries, 21&#8211;23,31-33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, Other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;23,31-33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, Other 21&#8211;23, 42&#8211;81",,3,"['41,141', '&nbsp;']","['40,665', '&nbsp;']","['476', '&nbsp;']","['40', '&nbsp;']","['115', '&nbsp;']","['236', '&nbsp;']","['85', '&#160;']"
9412,r024,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,"['&#160;', '&#160;']","['&#160;', '&nbsp;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
9412,r025,Size of company (number of domestic employees) -> Small companies<sup>e</sup>,Size of company (number of domestic employees),Small companies<sup>e</sup>,,,2,"['&#160;', '&#160;']","['&#160;', '&nbsp;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
9412,r026,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>e</sup>,10&#8211;19,,3,"['5,477', '&#160;']","['4,258', '&nbsp;']","['1,219', '&nbsp;']","['444', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['D', '  ']"
9412,r027,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>e</sup>,20&#8211;49,,3,"['15,061', '&#160;']","['12,626', '&nbsp;']","['2,434', '&nbsp;']","['912', '&nbsp;']","['792', '&nbsp;']","['461', '&nbsp;']","['268', '&nbsp;']"
9412,r028,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&#160;']","['&nbsp;', '&#160;']"
9412,r029,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,"['14,540', '&#160;']","['12,488', '&nbsp;']","['2,052', '&nbsp;']","['694', '&nbsp;']","['483', '&nbsp;']","['774', '  ']","['101', '  ']"
9412,r030,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,"['24,023', '&#160;']","['20,030', '&nbsp;']","['3,993', '&nbsp;']","['1,421', '&nbsp;']","['971', '&nbsp;']","['1,437', '  ']","['163', '  ']"
9412,r031,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&#160;']","['&nbsp;', '&#160;']"
9412,r032,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,"['23,932', '&#160;']","['20,574', '&nbsp;']","['3,358', '&nbsp;']","['1,065', '&nbsp;']","['491', '&nbsp;']","['1,769', '&nbsp;']","['33', '&nbsp;']"
9412,r033,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,"['27,432', '&#160;']","['23,655', '&nbsp;']","['3,777', '&nbsp;']","['1,271', '&nbsp;']","['912', '&nbsp;']","['1,490', '&nbsp;']","['104', '&nbsp;']"
9412,r034,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,"['94,615', '&#160;']","['83,609', '&nbsp;']","['11,006', '&nbsp;']","['2,137', '&nbsp;']","['2,329', 'i']","['6,394', '  ']","['D', '  ']"
9412,r035,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,"['62,817', '&#160;']","['53,873', '&nbsp;']","['8,944', 'i']","['1,107', '&nbsp;']","['3,416', '&nbsp;']","['4,281', 'i']","['11', '  ']"
9412,r036,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,"['104,607', '&#160;']","['84,057', '&nbsp;']","['20,549', '&nbsp;']","['2,961', '&nbsp;']","['11,200', 'i']","['6,319', '  ']","['D', '  ']"
9412,r037,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,"['229,995', '&#160;']","['212,634', '&nbsp;']","['17,361', '&nbsp;']","['11,570', 'i']","['D', '&nbsp;']","['D', '  ']","['D', '  ']"
