table_id,row_id,_b_country_b_full_path,_b_country_b_level_1,_b_country_b_level_2,_b_country_b_level_3,_b_country_b_hierarchy_depth,field_rank,field_doctorate_recipients
4662,r029,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Japan ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Japan ,3,27,114
4662,r030,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Jordan ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Jordan ,3,27,114
4662,r031,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Ghana ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Ghana ,3,29,107
4662,r032,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Singapore,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Singapore,3,29,107
4662,r033,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Chile ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Chile ,3,31,106
4662,r034,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Greece,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Greece,3,32,89
4662,r035,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Indonesia ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Indonesia ,3,33,78
4662,r036,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Israel ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Israel ,3,34,69
4662,r037,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Argentina ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Argentina ,3,35,64
4662,r038,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Libya,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Libya,3,36,61
4662,r039,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Malaysia ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Malaysia ,3,37,59
4662,r040,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Kenya ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Kenya ,3,38,56
4662,r041,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Peru ,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Peru ,3,38,56
4662,r042,All temporary visa holders (154 countries)<sup>a</sup> -> Top 40 countries of origin -> Australia,All temporary visa holders (154 countries)<sup>a</sup>,Top 40 countries of origin,Australia,3,40,51
