table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_all_u_s_citizen_and_permanent_resident_doctorate_recipients_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
1757,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,743,100.0,5.8,0.3,15.1,5.2,66.8,2.8,1.3,2.7
1757,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics ,All fields,Mathematics and computer sciences,Mathematics and statistics ,3,996,100.0,5.1,0.2,11.9,2.5,74.0,3.7,1.2,1.3
1757,r013,All fields -> Psychology and social sciences ,All fields,Psychology and social sciences ,,2,6704,100.0,8.8,0.5,7.1,7.8,69.4,3.8,1.1,1.5
1757,r014,All fields -> Psychology and social sciences  -> Psychology,All fields,Psychology and social sciences ,Psychology,3,3321,100.0,9.9,0.4,6.0,7.3,70.5,3.4,0.9,1.6
1757,r015,All fields -> Psychology and social sciences  -> Anthropology,All fields,Psychology and social sciences ,Anthropology,3,335,100.0,7.2,0.6,6.3,6.0,72.8,4.2,1.8,1.2
1757,r016,All fields -> Psychology and social sciences  -> Economics,All fields,Psychology and social sciences ,Economics,3,484,100.0,5.4,0.2,13.8,4.3,69.4,3.3,1.2,2.3
1757,r017,All fields -> Psychology and social sciences  -> Political science and government,All fields,Psychology and social sciences ,Political science and government,3,543,100.0,6.4,0.4,7.2,5.2,74.4,3.3,1.8,1.3
1757,r018,All fields -> Psychology and social sciences  -> Sociology,All fields,Psychology and social sciences ,Sociology,3,556,100.0,9.5,0.5,7.2,10.3,64.7,5.6,0.2,2.0
1757,r019,All fields -> Psychology and social sciences  -> Other social sciences,All fields,Psychology and social sciences ,Other social sciences,3,1465,100.0,8.7,1.0,7.2,10.5,66.0,4.1,1.6,0.9
1757,r020,All fields -> Engineering,All fields,Engineering,,2,4218,100.0,6.6,0.2,16.1,4.0,67.1,3.1,1.4,1.6
1757,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,221,100.0,7.7,0.0,8.6,4.1,72.9,2.7,1.4,2.7
1757,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,744,100.0,6.5,0.1,21.1,4.3,62.0,3.5,1.2,1.3
1757,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,469,100.0,7.5,0.4,16.6,1.5,67.8,3.8,1.1,1.3
1757,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,200,100.0,9.0,0.5,14.0,6.0,65.5,1.5,2.0,1.5
1757,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,544,100.0,4.2,0.0,23.0,3.9,62.9,2.9,1.3,1.8
1757,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,62,100.0,9.7,0.0,8.1,1.6,77.4,1.6,1.6,0.0
1757,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,463,100.0,7.3,0.0,15.3,6.3,65.0,3.5,0.4,2.2
1757,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,608,100.0,5.8,0.3,12.5,2.8,72.2,3.1,1.6,1.6
1757,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,907,100.0,7.1,0.2,13.1,4.3,69.2,2.6,2.0,1.4
1757,r030,All fields -> Education,All fields,Education,,2,4033,100.0,7.5,0.6,5.1,14.5,67.3,2.9,0.7,1.5
1757,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,784,100.0,7.7,0.6,2.6,25.5,59.2,1.5,0.4,2.6
1757,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,2060,100.0,7.3,0.5,5.5,12.6,68.3,3.4,0.9,1.4
1757,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,88,100.0,10.2,1.1,5.7,23.9,55.7,2.3,0.0,1.1
1757,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,788,100.0,6.2,0.1,6.5,7.9,75.4,2.5,0.8,0.6
1757,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,313,100.0,10.9,1.6,4.8,13.1,63.9,3.8,0.3,1.6
1757,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4150,100.0,8.4,0.3,4.9,4.9,76.3,2.7,0.7,1.8
1757,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,406,100.0,26.1,0.0,4.2,2.2,63.3,2.0,1.2,1.0
1757,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,800,100.0,8.4,0.3,3.4,6.0,77.9,2.3,0.8,1.1
1757,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,1235,100.0,6.0,0.2,5.1,3.5,79.2,3.4,0.6,1.9
1757,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1709,100.0,5.9,0.4,5.6,6.1,76.6,2.6,0.6,2.2
1757,r041,All fields -> Other<sup>a</sup>,All fields,Other<sup>a</sup>,,2,1748,100.0,4.6,0.2,9.3,12.7,67.0,2.7,1.5,1.9
1757,r042,All fields -> Other<sup>a</sup> -> Business management and administration,All fields,Other<sup>a</sup>,Business management and administration,3,744,100.0,4.2,0.1,13.7,14.7,61.3,2.2,1.7,2.2
1757,r043,All fields -> Other<sup>a</sup> -> Communication,All fields,Other<sup>a</sup>,Communication,3,435,100.0,2.8,0.2,7.4,6.9,76.6,2.8,1.6,1.8
1757,r044,All fields -> Other<sup>a</sup> -> Non-S&E fields nec,All fields,Other<sup>a</sup>,Non-S&E fields nec,3,569,100.0,6.7,0.4,4.9,14.6,67.3,3.3,1.2,1.6
1757,r045,All fields -> Other<sup>a</sup> -> Unknown field,All fields,Other<sup>a</sup>,Unknown field,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
