table_id,row_id,time_period,broad_field_level_1,broad_field_level_2,broad_field_hierarchy_depth,value
7821,r040_6,,Detailed field,Code,2,429270
7821,r040_7,,Detailed field,Label,2,International relations
7821,r041_6,,Detailed field,Code,2,429280
7821,r041_7,,Detailed field,Label,2,Political science and government
7821,r042_4,,Minor field,Code,2,43
7821,r042_5,,Minor field,Label,2,Psychology
7821,r042_6,,Detailed field,Code,2,437040
7821,r042_7,,Detailed field,Label,2,Educational psychology
7821,r043_6,,Detailed field,Code,2,438910
7821,r043_7,,Detailed field,Label,2,Clinical psychology
7821,r044_6,,Detailed field,Code,2,438920
7821,r044_7,,Detailed field,Label,2,Counseling psychology
7821,r045_6,,Detailed field,Code,2,438930
7821,r045_7,,Detailed field,Label,2,Experimental psychology
7821,r046_6,,Detailed field,Code,2,438940
7821,r046_7,,Detailed field,Label,2,General psychology
7821,r047_6,,Detailed field,Code,2,438950
7821,r047_7,,Detailed field,Label,2,Industrial/ organizational psychology
7821,r048_6,,Detailed field,Code,2,438960
7821,r048_7,,Detailed field,Label,2,Social psychology
7821,r049_6,,Detailed field,Code,2,438970
7821,r049_7,,Detailed field,Label,2,Other psychology
7821,r050_4,,Minor field,Code,2,44
7821,r050_5,,Minor field,Label,2,Sociology and anthropology
7821,r050_6,,Detailed field,Code,2,449210
7821,r050_7,,Detailed field,Label,2,Anthropology and archaeology
7821,r051_6,,Detailed field,Code,2,449220
7821,r051_7,,Detailed field,Label,2,Criminology
7821,r052_6,,Detailed field,Code,2,449290
7821,r052_7,,Detailed field,Label,2,Sociology
7821,r053_4,,Minor field,Code,2,45
7821,r053_5,,Minor field,Label,2,Other social sciences
7821,r053_6,,Detailed field,Code,2,456200
7821,r053_7,,Detailed field,Label,2,Area and ethnic studies
7821,r054_6,,Detailed field,Code,2,457710
7821,r054_7,,Detailed field,Label,2,Linguistics
7821,r055_6,,Detailed field,Code,2,458610
7821,r055_7,,Detailed field,Label,2,Philosophy of science
7821,r056_6,,Detailed field,Code,2,459240
7821,r056_7,,Detailed field,Label,2,Geography
7821,r057_6,,Detailed field,Code,2,459300
7821,r057_7,,Detailed field,Label,2,"Other social sciences, including history of scienceb"
7821,r058_2,,Major field,Code,2,5
7821,r058_3,,Major field,Label,2,Engineering
7821,r058_4,,Minor field,Code,2,51
7821,r058_5,,Minor field,Label,2,"Aerospace, aeronautical, and astronautical engineering"
7821,r058_6,,Detailed field,Code,2,517210
7821,r058_7,,Detailed field,Label,2,"Aerospace, aeronautical, and astronautical/ space engineering"
7821,r059_4,,Minor field,Code,2,52
7821,r059_5,,Minor field,Label,2,Chemical engineering
7821,r059_6,,Detailed field,Code,2,527250
7821,r059_7,,Detailed field,Label,2,Chemical engineering
7821,r060_4,,Minor field,Code,2,53
7821,r060_5,,Minor field,Label,2,Civil and architectural engineering
7821,r060_6,,Detailed field,Code,2,537230
7821,r060_7,,Detailed field,Label,2,Architectural engineering
7821,r061_6,,Detailed field,Code,2,537260
7821,r061_7,,Detailed field,Label,2,Civil engineering
7821,r062_4,,Minor field,Code,2,54
7821,r062_5,,Minor field,Label,2,Electrical and computer engineering
7821,r062_6,,Detailed field,Code,2,547270
7821,r062_7,,Detailed field,Label,2,Computer and systems engineering
7821,r063_6,,Detailed field,Code,2,547280
7821,r063_7,,Detailed field,Label,2,"Electrical, electronics, and communications engineering"
7821,r064_4,,Minor field,Code,2,55
7821,r064_5,,Minor field,Label,2,Industrial engineering
7821,r064_6,,Detailed field,Code,2,557330
7821,r064_7,,Detailed field,Label,2,Industrial and manufacturing engineering
7821,r065_4,,Minor field,Code,2,56
7821,r065_5,,Minor field,Label,2,Mechanical engineering
7821,r065_6,,Detailed field,Code,2,567350
7821,r065_7,,Detailed field,Label,2,Mechanical engineering
7821,r066_4,,Minor field,Code,2,57
7821,r066_5,,Minor field,Label,2,Other engineering
7821,r066_6,,Detailed field,Code,2,577220
7821,r066_7,,Detailed field,Label,2,Agricultural engineering
7821,r067_6,,Detailed field,Code,2,577240
7821,r067_7,,Detailed field,Label,2,Bioengineering and biomedical engineering
7821,r068_6,,Detailed field,Code,2,577290
7821,r068_7,,Detailed field,Label,2,"Engineering sciences, mechanics and physics"
7821,r069_6,,Detailed field,Code,2,577300
7821,r069_7,,Detailed field,Label,2,Environmental engineering
7821,r070_6,,Detailed field,Code,2,577310
7821,r070_7,,Detailed field,Label,2,"Engineering, general"
7821,r071_6,,Detailed field,Code,2,577340
7821,r071_7,,Detailed field,Label,2,"Materials engineering, including ceramics and textiles"
7821,r072_6,,Detailed field,Code,2,577360
7821,r072_7,,Detailed field,Label,2,Metallurgical engineering
7821,r073_6,,Detailed field,Code,2,577390
7821,r073_7,,Detailed field,Label,2,Nuclear engineering
7821,r074_6,,Detailed field,Code,2,577410
7821,r074_7,,Detailed field,Label,2,"Other engineering, including geophysical, geological, mining, mineral, naval architecture, marine, and petroleumc"
7821,r075_1,2,Broad field,Label,2,S&E-related fields
7821,r075_2,2,Major field,Code,2,6
7821,r075_3,2,Major field,Label,2,S&E-related fields
7821,r075_4,2,Minor field,Code,2,61
7821,r075_5,2,Minor field,Label,2,Health
