table_id,row_id,time_period,all_scientists_and_engineers_level_1,all_scientists_and_engineers_level_2,all_scientists_and_engineers_level_3,all_scientists_and_engineers_hierarchy_depth,value
6338,r085,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),0,Total,3,227850
6338,r086,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),0,SE,3,1225
6338,r087,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),1,Total,3,7500
6338,r088,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),1,SE,3,525
6338,r089,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),2,Total,3,1350
6338,r090,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),2,SE,3,275
6338,r091,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),3,Total,3,450
6338,r092,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (number),3,SE,3,150
6338,r093,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),0,Percent,3,96.08
6338,r094,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),0,SE,3,0.3
6338,r095,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),1,Percent,3,3.17
6338,r096,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),1,SE,3,0.25
6338,r097,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),2,Percent,3,0.57
6338,r098,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),2,SE,3,0.15
6338,r099,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),3,Percent,3,0.18
6338,r100,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Unemployment spells (%),3,SE,3,0.1
6338,r101,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All scientists and engineers,Number,,2,29050
6338,r102,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All scientists and engineers,SE,,2,400
6338,r103,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),0,Total,3,27400
6338,r104,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),0,SE,3,425
6338,r105,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),1,Total,3,1350
6338,r106,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),1,SE,3,200
6338,r107,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),2,Total,3,200
6338,r108,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),2,SE,3,75
6338,r109,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),3,Total,3,100
6338,r110,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (number),3,SE,3,50
6338,r111,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),0,Percent,3,94.27
6338,r112,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),0,SE,3,0.65
6338,r113,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),1,Percent,3,4.72
6338,r114,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),1,SE,3,0.65
6338,r115,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),2,Percent,3,0.68
6338,r116,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),2,SE,3,0.2
6338,r117,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),3,Percent,3,0.33
6338,r118,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Unemployment spells (%),3,SE,3,0.15
6338,r119,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,All scientists and engineers,Number,,2,534100
6338,r120,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,All scientists and engineers,SE,,2,1650
6338,r121,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),0,Total,3,517150
6338,r122,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),0,SE,3,1825
6338,r123,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),1,Total,3,13550
6338,r124,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),1,SE,3,725
6338,r125,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),2,Total,3,2700
6338,r126,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),2,SE,3,350
6338,r127,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),3,Total,3,650
6338,r128,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (number),3,SE,3,125
6338,r129,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),0,Percent,3,96.83
6338,r130,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),0,SE,3,0.15
6338,r131,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),1,Percent,3,2.54
6338,r132,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),1,SE,3,0.15
6338,r133,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),2,Percent,3,0.51
6338,r134,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),2,SE,3,0.1
6338,r135,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),3,Percent,3,0.12
6338,r136,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Unemployment spells (%),3,SE,3,0.05
6338,r137,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,All scientists and engineers,Number,,2,10150
6338,r138,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,All scientists and engineers,SE,,2,450
6338,r139,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (number),0,Total,3,9800
6338,r140,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (number),0,SE,3,475
6338,r141,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (number),1,Total,3,350
6338,r142,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (number),1,SE,3,75
6338,r143,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (number),2,Total,3,50
6338,r144,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (number),2,SE,3,25
6338,r145,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (%),0,Percent,3,96.32
6338,r146,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (%),0,SE,3,0.8
6338,r147,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (%),1,Percent,3,3.21
6338,r148,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (%),1,SE,3,0.75
6338,r149,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (%),2,Percent,3,0.46
6338,r150,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Unemployment spells (%),2,SE,3,0.25
6338,r151,Total -> Field of degree -> Science,All scientists and engineers,Number,,2,640450
6338,r152,Total -> Field of degree -> Science,All scientists and engineers,SE,,2,1350
6338,r153,Total -> Field of degree -> Science,Unemployment spells (number),0,Total,3,617600
6338,r154,Total -> Field of degree -> Science,Unemployment spells (number),0,SE,3,1400
6338,r155,Total -> Field of degree -> Science,Unemployment spells (number),1,Total,3,18350
6338,r156,Total -> Field of degree -> Science,Unemployment spells (number),1,SE,3,725
6338,r157,Total -> Field of degree -> Science,Unemployment spells (number),2,Total,3,3400
6338,r158,Total -> Field of degree -> Science,Unemployment spells (number),2,SE,3,350
6338,r159,Total -> Field of degree -> Science,Unemployment spells (number),3,Total,3,1050
6338,r160,Total -> Field of degree -> Science,Unemployment spells (number),3,SE,3,175
6338,r161,Total -> Field of degree -> Science,Unemployment spells (%),0,Percent,3,96.43
6338,r162,Total -> Field of degree -> Science,Unemployment spells (%),0,SE,3,0.15
6338,r163,Total -> Field of degree -> Science,Unemployment spells (%),1,Percent,3,2.87
6338,r164,Total -> Field of degree -> Science,Unemployment spells (%),1,SE,3,0.15
6338,r165,Total -> Field of degree -> Science,Unemployment spells (%),2,Percent,3,0.53
6338,r166,Total -> Field of degree -> Science,Unemployment spells (%),2,SE,3,0.1
6338,r167,Total -> Field of degree -> Science,Unemployment spells (%),3,Percent,3,0.16
6338,r168,Total -> Field of degree -> Science,Unemployment spells (%),3,SE,3,0.05
6338,r169,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",All scientists and engineers,Number,,2,219850
6338,r170,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",All scientists and engineers,SE,,2,800
6338,r171,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),0,Total,3,210350
6338,r172,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),0,SE,3,900
6338,r173,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),1,Total,3,7750
6338,r174,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),1,SE,3,450
6338,r175,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),2,Total,3,1250
6338,r176,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),2,SE,3,200
6338,r177,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),3,Total,3,500
6338,r178,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (number),3,SE,3,125
6338,r179,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),0,Percent,3,95.68
6338,r180,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),0,SE,3,0.25
6338,r181,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),1,Percent,3,3.52
6338,r182,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),1,SE,3,0.2
6338,r183,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),2,Percent,3,0.57
6338,r184,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),2,SE,3,0.1
6338,r185,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),3,Percent,3,0.23
6338,r186,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Unemployment spells (%),3,SE,3,0.1
6338,r187,Total -> Field of degree -> Science -> Computer and information sciences,All scientists and engineers,Number,,2,29600
6338,r188,Total -> Field of degree -> Science -> Computer and information sciences,All scientists and engineers,SE,,2,175
6338,r189,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (number),0,Total,3,28550
6338,r190,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (number),0,SE,3,225
6338,r191,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (number),1,Total,3,900
6338,r192,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (number),1,SE,3,150
6338,r193,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (number),2,Total,3,150
6338,r194,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (number),2,SE,3,75
6338,r195,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (%),0,Percent,3,96.44
6338,r196,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (%),0,SE,3,0.6
6338,r197,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (%),1,Percent,3,2.97
6338,r198,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (%),1,SE,3,0.5
6338,r199,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (%),2,Percent,3,0.46
6338,r200,Total -> Field of degree -> Science -> Computer and information sciences,Unemployment spells (%),2,SE,3,0.2
6338,r201,Total -> Field of degree -> Science -> Mathematics and statistics,All scientists and engineers,Number,,2,37650
6338,r202,Total -> Field of degree -> Science -> Mathematics and statistics,All scientists and engineers,SE,,2,425
6338,r203,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (number),0,Total,3,36600
6338,r204,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (number),0,SE,3,425
6338,r205,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (number),1,Total,3,700
6338,r206,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (number),1,SE,3,175
6338,r207,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (number),2,Total,3,300
6338,r208,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (number),2,SE,3,125
6338,r209,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (%),0,Percent,3,97.22
6338,r210,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (%),0,SE,3,0.55
6338,r211,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (%),1,Percent,3,1.8
6338,r212,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (%),1,SE,3,0.45
6338,r213,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (%),2,Percent,3,0.73
6338,r214,Total -> Field of degree -> Science -> Mathematics and statistics,Unemployment spells (%),2,SE,3,0.3
6338,r215,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",All scientists and engineers,Number,,2,139100
6338,r216,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",All scientists and engineers,SE,,2,675
6338,r217,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),0,Total,3,133700
6338,r218,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),0,SE,3,700
6338,r219,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),1,Total,3,4250
6338,r220,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),1,SE,3,325
6338,r221,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),2,Total,3,850
6338,r222,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),2,SE,3,175
6338,r223,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),3,Total,3,250
6338,r224,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (number),3,SE,3,100
6338,r225,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),0,Percent,3,96.13
6338,r226,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),0,SE,3,0.3
6338,r227,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),1,Percent,3,3.06
6338,r228,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),1,SE,3,0.25
6338,r229,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),2,Percent,3,0.63
6338,r230,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),2,SE,3,0.15
6338,r231,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),3,Percent,3,0.18
6338,r232,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Unemployment spells (%),3,SE,3,0.1
6338,r233,Total -> Field of degree -> Science -> Psychology,All scientists and engineers,Number,,2,105000
6338,r234,Total -> Field of degree -> Science -> Psychology,All scientists and engineers,SE,,2,800
6338,r235,Total -> Field of degree -> Science -> Psychology,Unemployment spells (number),0,Total,3,102550
6338,r236,Total -> Field of degree -> Science -> Psychology,Unemployment spells (number),0,SE,3,825
6338,r237,Total -> Field of degree -> Science -> Psychology,Unemployment spells (number),1,Total,3,2250
6338,r238,Total -> Field of degree -> Science -> Psychology,Unemployment spells (number),1,SE,3,225
6338,r239,Total -> Field of degree -> Science -> Psychology,Unemployment spells (number),2,Total,3,200
6338,r240,Total -> Field of degree -> Science -> Psychology,Unemployment spells (number),2,SE,3,75
6338,r241,Total -> Field of degree -> Science -> Psychology,Unemployment spells (%),0,Percent,3,97.65
6338,r242,Total -> Field of degree -> Science -> Psychology,Unemployment spells (%),0,SE,3,0.25
6338,r243,Total -> Field of degree -> Science -> Psychology,Unemployment spells (%),1,Percent,3,2.12
6338,r244,Total -> Field of degree -> Science -> Psychology,Unemployment spells (%),1,SE,3,0.25
6338,r245,Total -> Field of degree -> Science -> Psychology,Unemployment spells (%),2,Percent,3,0.19
6338,r246,Total -> Field of degree -> Science -> Psychology,Unemployment spells (%),2,SE,3,0.1
6338,r247,Total -> Field of degree -> Science -> Social sciences,All scientists and engineers,Number,,2,109250
6338,r248,Total -> Field of degree -> Science -> Social sciences,All scientists and engineers,SE,,2,775
6338,r249,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),0,Total,3,105850
6338,r250,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),0,SE,3,800
6338,r251,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),1,Total,3,2600
6338,r252,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),1,SE,3,250
6338,r253,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),2,Total,3,700
6338,r254,Total -> Field of degree -> Science -> Social sciences,Unemployment spells (number),2,SE,3,150
