table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
10105,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,488480,95363,16138,233476,4044,105314,34145
10105,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,616142,272683,32664,208094,5822,84437,12442
10105,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,1260347,472924,67941,484568,17851,167123,49940
10105,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1156452,463625,85366,482517,32785,63590,28569
10105,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,15596634,9694378,891234,3031767,1184067,407915,387273
10105,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1647191,1246002,30324,163156,177612,4019,26078
10105,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,1726307,1100258,52882,373311,67913,101641,30302
10105,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,1108245,646644,41255,251281,99665,44709,24691
10105,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1647038,784286,275882,408958,89415,47997,40500
10105,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,3436892,2484203,97370,507452,205336,79674,62857
10105,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,615228,434246,32440,98616,34350,10233,5343
10105,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,2062508,1409792,69034,344809,164831,37558,36484
10105,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,886681,589129,27191,170574,59051,18723,22013
10105,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,2466544,999818,264856,713610,285894,63361,139005
10105,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,5857608,1490752,355136,3098457,141037,586468,185758
10105,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,1081380,97962,54624,794310,36627,51713,46144
10105,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,213000,42707,12276,110994,5369,34284,7370
10105,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,1740784,783518,143117,533086,39802,212572,28689
10105,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,713685,68956,16674,498360,13308,87590,28797
10105,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,358693,32391,14542,208060,8970,73053,21677
10105,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,363079,181943,36805,95163,5250,38758,5160
10105,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,224572,21188,7736,171166,1220,14082,9180
10105,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,1162415,262087,69362,687318,30491,74416,38741
