table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_design,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
7774,r017,All sexes -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,S&E occupations,Computer and mathematical scientists,Very satisfied,,4,1736000,925000,92000,316000,208000,52000,143000
7774,r018,All sexes -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,,4,1896000,988000,130000,301000,243000,57000,178000
7774,r019,All sexes -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,,4,332000,134000,16000,84000,52000,14000,30000
7774,r020,All sexes -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,S&E occupations,Computer and mathematical scientists,Very dissatisfied,,4,67000,30000,5000,20000,4000,3000,6000
7774,r021,All sexes -> S&E occupations -> Physical and related scientists,All sexes,S&E occupations,Physical and related scientists,,,3,408000,9000,6000,65000,199000,59000,70000
7774,r022,All sexes -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,S&E occupations,Physical and related scientists,Very satisfied,,4,166000,3000,2000,27000,87000,20000,26000
7774,r023,All sexes -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,S&E occupations,Physical and related scientists,Somewhat satisfied,,4,202000,6000,3000,33000,92000,32000,36000
7774,r024,All sexes -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Physical and related scientists,Somewhat dissatisfied,,4,33000,,,5000,17000,5000,6000
7774,r025,All sexes -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,S&E occupations,Physical and related scientists,Very dissatisfied,,4,8000,,,1000,3000,,S
7774,r026,All sexes -> S&E occupations -> Social and related scientists,All sexes,S&E occupations,Social and related scientists,,,3,712000,13000,9000,110000,197000,138000,245000
7774,r027,All sexes -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,S&E occupations,Social and related scientists,Very satisfied,,4,335000,S,4000,35000,101000,53000,133000
7774,r028,All sexes -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,S&E occupations,Social and related scientists,Somewhat satisfied,,4,313000,4000,5000,63000,73000,67000,101000
7774,r029,All sexes -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,S&E occupations,Social and related scientists,Somewhat dissatisfied,,4,50000,0.05,,6000,20000,15000,9000
7774,r030,All sexes -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,S&E occupations,Social and related scientists,Very dissatisfied,,4,14000,,,S,2000,S,1000
7774,r031,All sexes -> S&E occupations -> Engineers,All sexes,S&E occupations,Engineers,,,3,1949000,115000,503000,608000,442000,38000,242000
7774,r032,All sexes -> S&E occupations -> Engineers -> Very satisfied,All sexes,S&E occupations,Engineers,Very satisfied,,4,911000,55000,230000,284000,203000,18000,121000
7774,r033,All sexes -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,S&E occupations,Engineers,Somewhat satisfied,,4,869000,51000,229000,273000,204000,18000,94000
7774,r034,All sexes -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,S&E occupations,Engineers,Somewhat dissatisfied,,4,137000,8000,37000,43000,27000,2000,20000
7774,r035,All sexes -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,S&E occupations,Engineers,Very dissatisfied,,4,32000,1000,8000,7000,7000,,8000
7774,r036,All sexes -> S&E-related occupations,All sexes,S&E-related occupations,,,,2,9522000,330000,248000,1665000,568000,1138000,5573000
7774,r037,All sexes -> S&E-related occupations -> Very satisfied,All sexes,S&E-related occupations,Very satisfied,,,3,4272000,162000,115000,758000,254000,502000,2482000
7774,r038,All sexes -> S&E-related occupations -> Somewhat satisfied,All sexes,S&E-related occupations,Somewhat satisfied,,,3,4346000,153000,106000,755000,277000,521000,2533000
7774,r039,All sexes -> S&E-related occupations -> Somewhat dissatisfied,All sexes,S&E-related occupations,Somewhat dissatisfied,,,3,706000,13000,23000,122000,31000,94000,423000
7774,r040,All sexes -> S&E-related occupations -> Very dissatisfied,All sexes,S&E-related occupations,Very dissatisfied,,,3,198000,3000,S,30000,5000,21000,134000
7774,r041,All sexes -> Non-S&E occupations,All sexes,Non-S&E occupations,,,,2,34349000,357000,451000,18923000,1491000,5068000,8058000
7774,r042,All sexes -> Non-S&E occupations -> Very satisfied,All sexes,Non-S&E occupations,Very satisfied,,,3,15038000,159000,170000,8380000,672000,2158000,3499000
7774,r043,All sexes -> Non-S&E occupations -> Somewhat satisfied,All sexes,Non-S&E occupations,Somewhat satisfied,,,3,15333000,169000,223000,8326000,650000,2460000,3506000
7774,r044,All sexes -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Non-S&E occupations,Somewhat dissatisfied,,,3,3072000,24000,50000,1755000,130000,348000,765000
7774,r045,All sexes -> Non-S&E occupations -> Very dissatisfied,All sexes,Non-S&E occupations,Very dissatisfied,,,3,905000,S,S,462000,40000,102000,289000
7774,r046,All sexes -> Female,All sexes,Female,,,,2,26493000,638000,417000,11070000,1624000,4652000,8093000
7774,r047,All sexes -> Female -> Very satisfied,All sexes,Female,Very satisfied,,,3,11230000,289000,160000,4727000,691000,1901000,3462000
7774,r048,All sexes -> Female -> Somewhat satisfied,All sexes,Female,Somewhat satisfied,,,3,12225000,301000,206000,4982000,762000,2296000,3679000
7774,r049,All sexes -> Female -> Somewhat dissatisfied,All sexes,Female,Somewhat dissatisfied,,,3,2309000,37000,41000,1043000,135000,352000,701000
7774,r050,All sexes -> Female -> Very dissatisfied,All sexes,Female,Very dissatisfied,,,3,729000,11000,9000,319000,36000,103000,252000
7774,r051,All sexes -> Female -> S&E occupations,All sexes,Female,S&E occupations,,,3,2300000,444000,156000,516000,616000,191000,376000
7774,r052,All sexes -> Female -> S&E occupations -> Very satisfied,All sexes,Female,S&E occupations,Very satisfied,,4,990000,203000,62000,211000,267000,70000,176000
7774,r053,All sexes -> Female -> S&E occupations -> Somewhat satisfied,All sexes,Female,S&E occupations,Somewhat satisfied,,4,1077000,207000,79000,241000,285000,96000,169000
7774,r054,All sexes -> Female -> S&E occupations -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Somewhat dissatisfied,,4,179000,27000,12000,44000,54000,17000,25000
7774,r055,All sexes -> Female -> S&E occupations -> Very dissatisfied,All sexes,Female,S&E occupations,Very dissatisfied,,4,54000,7000,4000,19000,11000,7000,6000
7774,r056,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",,4,367000,4000,3000,65000,210000,36000,49000
7774,r057,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,5,160000,1000,S,32000,92000,12000,21000
7774,r058,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,5,167000,2000,S,30000,95000,16000,22000
7774,r059,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,5,33000,,,3000,19000,6000,5000
7774,r060,"All sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,5,7000,,,S,3000,S,S
7774,r061,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists,All sexes,Female,S&E occupations,Computer and mathematical scientists,,4,1053000,414000,72000,255000,163000,50000,99000
7774,r062,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Very satisfied,5,435000,185000,29000,102000,56000,23000,40000
7774,r063,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,5,503000,196000,35000,110000,88000,24000,50000
7774,r064,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,5,93000,26000,6000,32000,17000,3000,8000
7774,r065,All sexes -> Female -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Computer and mathematical scientists,Very dissatisfied,5,22000,7000,S,11000,S,,
7774,r066,All sexes -> Female -> S&E occupations -> Physical and related scientists,All sexes,Female,S&E occupations,Physical and related scientists,,4,135000,S,S,21000,64000,23000,25000
7774,r067,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,Female,S&E occupations,Physical and related scientists,Very satisfied,5,51000,S,,9000,25000,6000,9000
7774,r068,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Physical and related scientists,Somewhat satisfied,5,72000,0.05,,11000,30000,16000,14000
7774,r069,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Physical and related scientists,Somewhat dissatisfied,5,8000,,,1000,6000,,1000
7774,r070,All sexes -> Female -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Physical and related scientists,Very dissatisfied,5,5000,,,,2000,,S
7774,r071,All sexes -> Female -> S&E occupations -> Social and related scientists,All sexes,Female,S&E occupations,Social and related scientists,,4,433000,S,7000,73000,104000,74000,167000
7774,r072,All sexes -> Female -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,Female,S&E occupations,Social and related scientists,Very satisfied,5,188000,S,S,16000,50000,25000,89000
7774,r073,All sexes -> Female -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,Female,S&E occupations,Social and related scientists,Somewhat satisfied,5,205000,S,S,47000,45000,37000,70000
7774,r074,All sexes -> Female -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Social and related scientists,Somewhat dissatisfied,5,28000,,,4000,9000,8000,7000
7774,r075,All sexes -> Female -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,Female,S&E occupations,Social and related scientists,Very dissatisfied,5,12000,,,S,S,S,1000
7774,r076,All sexes -> Female -> S&E occupations -> Engineers,All sexes,Female,S&E occupations,Engineers,,4,312000,17000,73000,103000,75000,8000,36000
7774,r077,All sexes -> Female -> S&E occupations -> Engineers -> Very satisfied,All sexes,Female,S&E occupations,Engineers,Very satisfied,5,156000,10000,30000,53000,43000,3000,17000
7774,r078,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Female,S&E occupations,Engineers,Somewhat satisfied,5,131000,8000,37000,43000,27000,4000,13000
7774,r079,All sexes -> Female -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Female,S&E occupations,Engineers,Somewhat dissatisfied,5,17000,,5000,5000,3000,,S
7774,r080,All sexes -> Female -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Female,S&E occupations,Engineers,Very dissatisfied,5,8000,,S,1000,3000,,S
7774,r081,All sexes -> Female -> S&E-related occupations,All sexes,Female,S&E-related occupations,,,3,5494000,84000,57000,750000,257000,707000,3638000
7774,r082,All sexes -> Female -> S&E-related occupations -> Very satisfied,All sexes,Female,S&E-related occupations,Very satisfied,,4,2403000,43000,27000,369000,111000,290000,1563000
7774,r083,All sexes -> Female -> S&E-related occupations -> Somewhat satisfied,All sexes,Female,S&E-related occupations,Somewhat satisfied,,4,2538000,39000,23000,314000,133000,339000,1690000
7774,r084,All sexes -> Female -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Female,S&E-related occupations,Somewhat dissatisfied,,4,418000,S,5000,46000,11000,62000,293000
7774,r085,All sexes -> Female -> S&E-related occupations -> Very dissatisfied,All sexes,Female,S&E-related occupations,Very dissatisfied,,4,135000,,S,21000,S,16000,92000
7774,r086,All sexes -> Female -> Non-S&E occupations,All sexes,Female,Non-S&E occupations,,,3,18699000,109000,203000,9804000,750000,3754000,4079000
7774,r087,All sexes -> Female -> Non-S&E occupations -> Very satisfied,All sexes,Female,Non-S&E occupations,Very satisfied,,4,7837000,43000,72000,4147000,313000,1541000,1723000
7774,r088,All sexes -> Female -> Non-S&E occupations -> Somewhat satisfied,All sexes,Female,Non-S&E occupations,Somewhat satisfied,,4,8610000,55000,105000,4426000,344000,1861000,1820000
7774,r089,All sexes -> Female -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Female,Non-S&E occupations,Somewhat dissatisfied,,4,1711000,9000,24000,952000,71000,273000,383000
7774,r090,All sexes -> Female -> Non-S&E occupations -> Very dissatisfied,All sexes,Female,Non-S&E occupations,Very dissatisfied,,4,541000,,2000,280000,23000,80000,153000
7774,r091,All sexes -> Male,All sexes,Male,,,,2,25271000,2273000,1052000,11147000,2270000,1982000,6546000
7774,r092,All sexes -> Male -> Very satisfied,All sexes,Male,Very satisfied,,,3,11574000,1028000,455000,5134000,1054000,928000,2974000
7774,r093,All sexes -> Male -> Somewhat satisfied,All sexes,Male,Somewhat satisfied,,,3,11104000,1074000,493000,4826000,1005000,888000,2818000
7774,r094,All sexes -> Male -> Somewhat dissatisfied,All sexes,Male,Somewhat dissatisfied,,,3,2086000,144000,86000,978000,180000,134000,564000
7774,r095,All sexes -> Male -> Very dissatisfied,All sexes,Male,Very dissatisfied,,,3,507000,27000,18000,209000,30000,32000,190000
7774,r096,All sexes -> Male -> S&E occupations,All sexes,Male,S&E occupations,,,3,5594000,1780000,613000,1113000,1218000,237000,632000
7774,r097,All sexes -> Male -> S&E occupations -> Very satisfied,All sexes,Male,S&E occupations,Very satisfied,,4,2504000,793000,268000,512000,552000,100000,278000
7774,r098,All sexes -> Male -> S&E occupations -> Somewhat satisfied,All sexes,Male,S&E occupations,Somewhat satisfied,,4,2573000,846000,292000,485000,554000,106000,290000
7774,r099,All sexes -> Male -> S&E occupations -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Somewhat dissatisfied,,4,437000,117000,42000,99000,100000,27000,52000
7774,r100,All sexes -> Male -> S&E occupations -> Very dissatisfied,All sexes,Male,S&E occupations,Very dissatisfied,,4,79000,24000,10000,17000,11000,4000,12000
7774,r101,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",,4,427000,7000,4000,60000,280000,31000,45000
7774,r102,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,5,186000,3000,2000,28000,128000,15000,11000
7774,r103,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,5,204000,2000,2000,28000,132000,13000,27000
7774,r104,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,5,31000,,,3000,19000,2000,7000
7774,r105,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,5,5000,,,S,2000,S,
7774,r106,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists,All sexes,Male,S&E occupations,Computer and mathematical scientists,,4,2979000,1663000,172000,467000,344000,75000,258000
7774,r107,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very satisfied,5,1301000,741000,64000,215000,152000,28000,103000
7774,r108,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,5,1394000,792000,94000,191000,155000,33000,129000
7774,r109,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,5,238000,108000,10000,52000,35000,11000,22000
7774,r110,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very dissatisfied,5,46000,23000,S,9000,3000,S,5000
7774,r111,All sexes -> Male -> S&E occupations -> Physical and related scientists,All sexes,Male,S&E occupations,Physical and related scientists,,4,273000,8000,5000,44000,135000,36000,45000
7774,r112,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very satisfied,5,115000,3000,S,18000,61000,14000,17000
7774,r113,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat satisfied,5,130000,5000,2000,21000,62000,17000,22000
7774,r114,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat dissatisfied,5,25000,,,4000,11000,5000,5000
7774,r115,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very dissatisfied,5,3000,,,S,1000,,1000
7774,r116,All sexes -> Male -> S&E occupations -> Social and related scientists,All sexes,Male,S&E occupations,Social and related scientists,,4,279000,5000,2000,38000,93000,64000,78000
7774,r117,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Social and related scientists,Very satisfied,5,147000,S,S,19000,52000,28000,45000
7774,r118,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat satisfied,5,108000,S,0.05,16000,28000,29000,32000
7774,r119,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat dissatisfied,5,22000,,,S,12000,S,2000
7774,r120,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Very dissatisfied,5,2000,,,,S,,
7774,r121,All sexes -> Male -> S&E occupations -> Engineers,All sexes,Male,S&E occupations,Engineers,,4,1636000,97000,430000,505000,367000,31000,206000
7774,r122,All sexes -> Male -> S&E occupations -> Engineers -> Very satisfied,All sexes,Male,S&E occupations,Engineers,Very satisfied,5,755000,45000,200000,231000,160000,15000,104000
7774,r123,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Male,S&E occupations,Engineers,Somewhat satisfied,5,738000,43000,192000,230000,178000,14000,81000
7774,r124,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Engineers,Somewhat dissatisfied,5,120000,8000,32000,38000,25000,2000,16000
7774,r125,All sexes -> Male -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Male,S&E occupations,Engineers,Very dissatisfied,5,23000,1000,6000,6000,5000,,5000
7774,r126,All sexes -> Male -> S&E-related occupations,All sexes,Male,S&E-related occupations,,,3,4028000,246000,191000,915000,310000,431000,1935000
7774,r127,All sexes -> Male -> S&E-related occupations -> Very satisfied,All sexes,Male,S&E-related occupations,Very satisfied,,4,1869000,118000,88000,388000,143000,212000,919000
7774,r128,All sexes -> Male -> S&E-related occupations -> Somewhat satisfied,All sexes,Male,S&E-related occupations,Somewhat satisfied,,4,1808000,114000,84000,441000,144000,182000,843000
7774,r129,All sexes -> Male -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Male,S&E-related occupations,Somewhat dissatisfied,,4,288000,11000,18000,76000,21000,32000,130000
7774,r130,All sexes -> Male -> S&E-related occupations -> Very dissatisfied,All sexes,Male,S&E-related occupations,Very dissatisfied,,4,63000,2000,S,10000,3000,5000,42000
7774,r131,All sexes -> Male -> Non-S&E occupations,All sexes,Male,Non-S&E occupations,,,3,15649000,247000,248000,9119000,741000,1314000,3979000
7774,r132,All sexes -> Male -> Non-S&E occupations -> Very satisfied,All sexes,Male,Non-S&E occupations,Very satisfied,,4,7201000,117000,99000,4234000,359000,617000,1776000
7774,r133,All sexes -> Male -> Non-S&E occupations -> Somewhat satisfied,All sexes,Male,Non-S&E occupations,Somewhat satisfied,,4,6723000,114000,118000,3900000,306000,600000,1686000
7774,r134,All sexes -> Male -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Male,Non-S&E occupations,Somewhat dissatisfied,,4,1360000,15000,25000,803000,60000,75000,383000
7774,r135,All sexes -> Male -> Non-S&E occupations -> Very dissatisfied,All sexes,Male,Non-S&E occupations,Very dissatisfied,,4,364000,1000,,183000,17000,22000,135000
