table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_level_4,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
10190,r026,All R&D fields -> All science and engineering -> Social sciences -> Political science and government,All R&D fields,All science and engineering,Social sciences,Political science and government,4,1640,90,5.5,740,38,5.1
10190,r027,"All R&D fields -> All science and engineering -> Social sciences -> Sociology, demography, and population studies",All R&D fields,All science and engineering,Social sciences,"Sociology, demography, and population studies",4,1882,216,11.5,263,65,24.7
10190,r028,All R&D fields -> All science and engineering -> Social sciences -> Social sciences nec,All R&D fields,All science and engineering,Social sciences,Social sciences nec,4,12189,318,2.6,3745,258,6.9
10190,r029,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,,3,58822,1692,2.9,12089,423,3.5
10190,r030,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,,3,802784,45123,5.6,440036,12110,2.8
10190,r031,"All R&D fields -> All science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,All science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,72887,5805,8.0,48599,1293,2.7
10190,r032,All R&D fields -> All science and engineering -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,All science and engineering,Engineering,Bioengineering and biomedical engineering,4,67216,1940,2.9,33218,1098,3.3
10190,r033,All R&D fields -> All science and engineering -> Engineering -> Chemical engineering,All R&D fields,All science and engineering,Engineering,Chemical engineering,4,62492,735,1.2,33584,273,0.8
10190,r034,All R&D fields -> All science and engineering -> Engineering -> Civil engineering,All R&D fields,All science and engineering,Engineering,Civil engineering,4,48545,346,0.7,24667,99,0.4
10190,r035,"All R&D fields -> All science and engineering -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,All science and engineering,Engineering,"Electrical, electronic, and communications engineering",4,181826,19790,10.9,124371,4657,3.7
10190,r036,All R&D fields -> All science and engineering -> Engineering -> Industrial and manufacturing engineering,All R&D fields,All science and engineering,Engineering,Industrial and manufacturing engineering,4,26538,3562,13.4,16102,796,4.9
10190,r037,All R&D fields -> All science and engineering -> Engineering -> Mechanical engineering,All R&D fields,All science and engineering,Engineering,Mechanical engineering,4,100619,9125,9.1,62624,3014,4.8
10190,r038,All R&D fields -> All science and engineering -> Engineering -> Metallurgical and materials engineering,All R&D fields,All science and engineering,Engineering,Metallurgical and materials engineering,4,66604,859,1.3,43734,198,0.5
10190,r039,All R&D fields -> All science and engineering -> Engineering -> Engineering nec,All R&D fields,All science and engineering,Engineering,Engineering nec,4,176057,2961,1.7,53137,682,1.3
10190,r040,All R&D fields -> All non-science and engineering,All R&D fields,All non-science and engineering,,,2,53685,834,1.6,10244,200,2.0
10190,r041,All R&D fields -> All non-science and engineering -> Business management and business administration,All R&D fields,All non-science and engineering,Business management and business administration,,3,8885,151,1.7,916,29,3.2
10190,r042,All R&D fields -> All non-science and engineering -> Communication and communications technologies,All R&D fields,All non-science and engineering,Communication and communications technologies,,3,4102,13,0.3,900,8,0.9
10190,r043,All R&D fields -> All non-science and engineering -> Education,All R&D fields,All non-science and engineering,Education,,3,4331,226,5.2,1294,86,6.6
10190,r044,All R&D fields -> All non-science and engineering -> Humanities,All R&D fields,All non-science and engineering,Humanities,,3,3092,260,8.4,237,50,21.1
10190,r045,All R&D fields -> All non-science and engineering -> Law,All R&D fields,All non-science and engineering,Law,,3,779,55,7.1,110,2,1.8
10190,r046,All R&D fields -> All non-science and engineering -> Social work,All R&D fields,All non-science and engineering,Social work,,3,530,46,8.7,160,13,8.1
10190,r047,All R&D fields -> All non-science and engineering -> Visual and performing arts,All R&D fields,All non-science and engineering,Visual and performing arts,,3,2563,46,1.8,99,3,3.0
10190,r048,All R&D fields -> All non-science and engineering -> Non-science and engineering nec,All R&D fields,All non-science and engineering,Non-science and engineering nec,,3,29403,37,0.1,6528,9,0.1
