table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_employed_total,field_employed_s_e_occupations,field_employed_s_e_related_occupations,field_employed_non_s_e_occupations,field_unemployeda,field_not_in_labor_forceb
7761,r038,All degrees -> Non-S&E fields -> Sales and marketing fields,All degrees,Non-S&E fields,Sales and marketing fields,,,3,1652000,1293000,61000,62000,1169000,69000,290000
7761,r039,All degrees -> Non-S&E fields -> Art and humanities fields,All degrees,Non-S&E fields,Art and humanities fields,,,3,6317000,4526000,273000,299000,3954000,452000,1340000
7761,r040,All degrees -> Non-S&E fields -> Other non-S&E fields,All degrees,Non-S&E fields,Other non-S&E fields,,,3,7546000,5752000,244000,203000,5305000,480000,1314000
7761,r041,All degrees -> Bachelor's,All degrees,Bachelor's,,,,2,42870000,31688000,4438000,5031000,22219000,2349000,8832000
7761,r042,All degrees -> Bachelor's -> S&E fields,All degrees,Bachelor's,S&E fields,,,3,15014000,11377000,3499000,1692000,6187000,719000,2918000
7761,r043,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,2440000,1773000,371000,489000,913000,125000,542000
7761,r044,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,320000,239000,39000,33000,167000,S,69000
7761,r045,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,1824000,1301000,281000,433000,587000,100000,422000
7761,r046,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,297000,232000,51000,23000,159000,14000,51000
7761,r047,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,,4,2623000,2133000,1137000,321000,675000,106000,384000
7761,r048,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,1994000,1694000,1024000,214000,456000,85000,216000
7761,r049,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,628000,440000,113000,107000,219000,21000,168000
7761,r050,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,,4,692000,517000,199000,99000,218000,31000,144000
7761,r051,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,301000,221000,93000,55000,73000,12000,68000
7761,r052,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,213000,172000,54000,24000,94000,5000,37000
7761,r053,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Bachelor's,S&E fields,Physical and related sciences,Physics and astronomy,5,154000,106000,49000,16000,40000,12000,35000
7761,r054,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,Other physical sciences,5,23000,17000,S,4000,11000,S,S
7761,r055,All degrees -> Bachelor's -> S&E fields -> Social and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,,4,5858000,4229000,321000,353000,3554000,326000,1303000
7761,r056,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Economics,All degrees,Bachelor's,S&E fields,Social and related sciences,Economics,5,937000,714000,67000,34000,613000,34000,189000
7761,r057,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Political and related sciences,5,1088000,777000,52000,53000,671000,72000,239000
7761,r058,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Bachelor's,S&E fields,Social and related sciences,Psychology,5,2112000,1521000,108000,146000,1267000,113000,478000
7761,r059,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Bachelor's,S&E fields,Social and related sciences,Sociology and anthropology,5,1132000,800000,54000,66000,680000,64000,268000
7761,r060,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Other social sciences,5,589000,417000,39000,55000,323000,43000,128000
7761,r061,All degrees -> Bachelor's -> S&E fields -> Engineering,All degrees,Bachelor's,S&E fields,Engineering,,4,3402000,2725000,1470000,428000,827000,131000,546000
7761,r062,"All degrees -> Bachelor's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Bachelor's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,114000,86000,47000,9000,30000,4000,23000
7761,r063,All degrees -> Bachelor's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Bachelor's,S&E fields,Engineering,Chemical engineering,5,248000,202000,112000,25000,65000,7000,38000
7761,r064,All degrees -> Bachelor's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Bachelor's,S&E fields,Engineering,Civil and architectural engineering,5,497000,395000,194000,73000,128000,9000,93000
7761,r065,All degrees -> Bachelor's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Bachelor's,S&E fields,Engineering,Electrical and computer engineering,5,1145000,924000,569000,156000,198000,50000,171000
7761,r066,All degrees -> Bachelor's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Bachelor's,S&E fields,Engineering,Industrial engineering,5,209000,154000,46000,26000,82000,S,45000
7761,r067,All degrees -> Bachelor's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Bachelor's,S&E fields,Engineering,Mechanical engineering,5,799000,660000,372000,85000,203000,29000,110000
7761,r068,All degrees -> Bachelor's -> S&E fields -> Engineering -> Other engineering,All degrees,Bachelor's,S&E fields,Engineering,Other engineering,5,391000,304000,130000,52000,121000,23000,64000
7761,r069,All degrees -> Bachelor's -> S&E-related fields,All degrees,Bachelor's,S&E-related fields,,,3,5017000,3821000,203000,2494000,1123000,149000,1048000
7761,r070,All degrees -> Bachelor's -> S&E-related fields -> Health,All degrees,Bachelor's,S&E-related fields,Health,,4,3814000,2912000,57000,2187000,669000,114000,788000
7761,r071,All degrees -> Bachelor's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Bachelor's,S&E-related fields,Science and mathematics teacher education,,4,270000,171000,S,90000,70000,S,95000
7761,r072,All degrees -> Bachelor's -> S&E-related fields -> Technology and technical fields,All degrees,Bachelor's,S&E-related fields,Technology and technical fields,,4,512000,393000,117000,77000,198000,17000,102000
7761,r073,All degrees -> Bachelor's -> S&E-related fields -> Other S&E-related fields,All degrees,Bachelor's,S&E-related fields,Other S&E-related fields,,4,421000,344000,18000,141000,186000,13000,63000
7761,r074,All degrees -> Bachelor's -> Non-S&E fields,All degrees,Bachelor's,Non-S&E fields,,,3,22838000,16491000,736000,845000,14909000,1481000,4866000
7761,r075,All degrees -> Bachelor's -> Non-S&E fields -> Management and administration fields,All degrees,Bachelor's,Non-S&E fields,Management and administration fields,,4,8222000,6113000,292000,263000,5558000,488000,1621000
7761,r076,"All degrees -> Bachelor's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Bachelor's,Non-S&E fields,"Education, except science and math teacher education",,4,3067000,1960000,32000,140000,1788000,86000,1021000
7761,r077,All degrees -> Bachelor's -> Non-S&E fields -> Social service and related fields,All degrees,Bachelor's,Non-S&E fields,Social service and related fields,,4,790000,542000,26000,18000,498000,59000,189000
7761,r078,All degrees -> Bachelor's -> Non-S&E fields -> Sales and marketing fields,All degrees,Bachelor's,Non-S&E fields,Sales and marketing fields,,4,1338000,1078000,44000,51000,982000,50000,210000
7761,r079,All degrees -> Bachelor's -> Non-S&E fields -> Art and humanities fields,All degrees,Bachelor's,Non-S&E fields,Art and humanities fields,,4,5089000,3626000,231000,251000,3145000,409000,1055000
7761,r080,All degrees -> Bachelor's -> Non-S&E fields -> Other non-S&E fields,All degrees,Bachelor's,Non-S&E fields,Other non-S&E fields,,4,4332000,3172000,112000,122000,2938000,390000,771000
7761,r081,All degrees -> Master's,All degrees,Master's,,,,2,19296000,14688000,2411000,2578000,9699000,673000,3934000
7761,r082,All degrees -> Master's -> S&E fields,All degrees,Master's,S&E fields,,,3,4703000,3680000,1671000,552000,1457000,180000,842000
7761,r083,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,547000,417000,157000,104000,157000,16000,114000
7761,r084,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,56000,46000,20000,6000,20000,,10000
7761,r085,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,380000,286000,107000,85000,93000,12000,82000
7761,r086,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,110000,86000,29000,13000,43000,3000,22000
7761,r087,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,,4,1125000,888000,560000,132000,195000,56000,181000
7761,r088,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,918000,732000,481000,102000,148000,51000,136000
7761,r089,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Master's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,207000,156000,79000,30000,47000,S,46000
7761,r090,All degrees -> Master's -> S&E fields -> Physical and related sciences,All degrees,Master's,S&E fields,Physical and related sciences,,4,223000,174000,106000,29000,39000,4000,45000
7761,r091,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Master's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,73000,57000,28000,11000,19000,1000,14000
7761,r092,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Master's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,73000,59000,39000,6000,14000,1000,13000
7761,r093,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Master's,S&E fields,Physical and related sciences,Physics and astronomy,5,69000,52000,37000,9000,6000,2000,16000
7761,r094,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Master's,S&E fields,Physical and related sciences,Other physical sciences,5,8000,6000,S,S,1000,,S
7761,r095,All degrees -> Master's -> S&E fields -> Social and related sciences,All degrees,Master's,S&E fields,Social and related sciences,,4,1569000,1171000,212000,109000,850000,70000,327000
7761,r096,All degrees -> Master's -> S&E fields -> Social and related sciences -> Economics,All degrees,Master's,S&E fields,Social and related sciences,Economics,5,151000,114000,30000,2000,81000,3000,35000
7761,r097,All degrees -> Master's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Master's,S&E fields,Social and related sciences,Political and related sciences,5,277000,231000,46000,12000,173000,6000,41000
7761,r098,All degrees -> Master's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Master's,S&E fields,Social and related sciences,Psychology,5,848000,602000,96000,73000,433000,49000,198000
7761,r099,All degrees -> Master's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Master's,S&E fields,Social and related sciences,Sociology and anthropology,5,122000,82000,22000,7000,53000,8000,32000
7761,r100,All degrees -> Master's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Master's,S&E fields,Social and related sciences,Other social sciences,5,171000,142000,18000,15000,110000,6000,23000
7761,r101,All degrees -> Master's -> S&E fields -> Engineering,All degrees,Master's,S&E fields,Engineering,,4,1239000,1030000,635000,178000,216000,34000,175000
7761,r102,"All degrees -> Master's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Master's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,63000,48000,29000,7000,12000,,14000
7761,r103,All degrees -> Master's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Master's,S&E fields,Engineering,Chemical engineering,5,46000,38000,19000,7000,11000,S,6000
7761,r104,All degrees -> Master's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Master's,S&E fields,Engineering,Civil and architectural engineering,5,144000,126000,85000,21000,20000,2000,16000
7761,r105,All degrees -> Master's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Master's,S&E fields,Engineering,Electrical and computer engineering,5,483000,406000,262000,76000,68000,11000,67000
7761,r106,All degrees -> Master's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Master's,S&E fields,Engineering,Industrial engineering,5,83000,66000,31000,12000,22000,2000,15000
7761,r107,All degrees -> Master's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Master's,S&E fields,Engineering,Mechanical engineering,5,183000,159000,107000,23000,30000,7000,16000
7761,r108,All degrees -> Master's -> S&E fields -> Engineering -> Other engineering,All degrees,Master's,S&E fields,Engineering,Other engineering,5,238000,188000,102000,32000,54000,9000,41000
7761,r109,All degrees -> Master's -> S&E-related fields,All degrees,Master's,S&E-related fields,,,3,2644000,2080000,156000,1327000,598000,79000,484000
7761,r110,All degrees -> Master's -> S&E-related fields -> Health,All degrees,Master's,S&E-related fields,Health,,4,1960000,1561000,65000,1102000,394000,63000,335000
7761,r111,All degrees -> Master's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Master's,S&E-related fields,Science and mathematics teacher education,,4,344000,244000,14000,133000,97000,S,95000
7761,r112,All degrees -> Master's -> S&E-related fields -> Technology and technical fields,All degrees,Master's,S&E-related fields,Technology and technical fields,,4,114000,86000,48000,13000,25000,S,24000
7761,r113,All degrees -> Master's -> S&E-related fields -> Other S&E-related fields,All degrees,Master's,S&E-related fields,Other S&E-related fields,,4,226000,189000,28000,80000,81000,6000,31000
7761,r114,All degrees -> Master's -> Non-S&E fields,All degrees,Master's,Non-S&E fields,,,3,11950000,8928000,584000,699000,7644000,414000,2608000
7761,r115,All degrees -> Master's -> Non-S&E fields -> Management and administration fields,All degrees,Master's,Non-S&E fields,Management and administration fields,,4,4118000,3311000,349000,262000,2700000,169000,638000
7761,r116,"All degrees -> Master's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Master's,Non-S&E fields,"Education, except science and math teacher education",,4,4167000,2888000,53000,285000,2550000,88000,1191000
7761,r117,All degrees -> Master's -> Non-S&E fields -> Social service and related fields,All degrees,Master's,Non-S&E fields,Social service and related fields,,4,1084000,841000,39000,45000,757000,43000,200000
7761,r118,All degrees -> Master's -> Non-S&E fields -> Sales and marketing fields,All degrees,Master's,Non-S&E fields,Sales and marketing fields,,4,307000,210000,17000,11000,183000,19000,78000
7761,r119,All degrees -> Master's -> Non-S&E fields -> Art and humanities fields,All degrees,Master's,Non-S&E fields,Art and humanities fields,,4,1036000,740000,38000,48000,654000,43000,253000
7761,r120,All degrees -> Master's -> Non-S&E fields -> Other non-S&E fields,All degrees,Master's,Non-S&E fields,Other non-S&E fields,,4,1239000,938000,89000,49000,800000,53000,248000
7761,r121,All degrees -> Doctorate,All degrees,Doctorate,,,,2,2643000,2141000,962000,374000,805000,74000,429000
7761,r122,All degrees -> Doctorate -> S&E fields,All degrees,Doctorate,S&E fields,,,3,1582000,1302000,861000,157000,285000,38000,241000
7761,r123,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",,4,447000,380000,240000,74000,66000,9000,58000
7761,r124,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,30000,23000,14000,1000,8000,S,6000
7761,r125,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,408000,350000,221000,72000,56000,7000,51000
7761,r126,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,9000,7000,5000,0.05,S,,
7761,r127,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,,4,149000,127000,98000,10000,19000,4000,19000
7761,r128,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,78000,68000,51000,7000,10000,0.05,10000
7761,r129,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,71000,59000,47000,3000,9000,3000,9000
7761,r130,All degrees -> Doctorate -> S&E fields -> Physical and related sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,,4,257000,215000,155000,20000,40000,6000,36000
7761,r131,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Doctorate,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,119000,97000,68000,9000,21000,2000,19000
7761,r132,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Doctorate,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,42000,33000,27000,S,4000,,S
7761,r133,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Doctorate,S&E fields,Physical and related sciences,Physics and astronomy,5,93000,82000,59000,9000,15000,1000,10000
7761,r134,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,Other physical sciences,5,3000,2000,1000,,,,
7761,r135,All degrees -> Doctorate -> S&E fields -> Social and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,,4,428000,325000,196000,19000,110000,13000,90000
7761,r136,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Economics,All degrees,Doctorate,S&E fields,Social and related sciences,Economics,5,55000,42000,26000,S,15000,1000,13000
7761,r137,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,Political and related sciences,5,51000,32000,16000,S,14000,S,13000
7761,r138,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Psychology,All degrees,Doctorate,S&E fields,Social and related sciences,Psychology,5,214000,165000,105000,15000,46000,3000,46000
7761,r139,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Doctorate,S&E fields,Social and related sciences,Sociology and anthropology,5,61000,46000,36000,,10000,S,12000
7761,r140,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Doctorate,S&E fields,Social and related sciences,Other social sciences,5,47000,40000,14000,S,26000,,6000
7761,r141,All degrees -> Doctorate -> S&E fields -> Engineering,All degrees,Doctorate,S&E fields,Engineering,,4,301000,256000,171000,34000,50000,8000,38000
7761,r142,"All degrees -> Doctorate -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Doctorate,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,13000,11000,7000,S,S,,S
7761,r143,All degrees -> Doctorate -> S&E fields -> Engineering -> Chemical engineering,All degrees,Doctorate,S&E fields,Engineering,Chemical engineering,5,38000,30000,17000,5000,8000,1000,7000
7761,r144,All degrees -> Doctorate -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Doctorate,S&E fields,Engineering,Civil and architectural engineering,5,23000,22000,17000,1000,3000,,1000
7761,r145,All degrees -> Doctorate -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Doctorate,S&E fields,Engineering,Electrical and computer engineering,5,94000,79000,54000,13000,12000,2000,13000
