table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total_number_,field_yes_filed_form_6765_in_2021_,field_no_did_not_file_form_6765_in_2021_,field_did_not_answer_
9869,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['13,774', '&nbsp;']","['21.8', '&nbsp;']","['77.6', '&nbsp;']","['0.6', '&nbsp;']"
9869,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['551', '&nbsp;']","['17.6', 'r']","['82.4', '&nbsp;']","['0.0', '&nbsp;']"
9869,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['2,177', '&nbsp;']","['27.8', '&nbsp;']","['71.4', '&nbsp;']","['0.8', 'r']"
9869,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,583', '&nbsp;']","['29.8', '&nbsp;']","['69.7', '&nbsp;']","['0.6', 'r']"
9869,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['595', '&nbsp;']","['22.7', '&nbsp;']","['76.1', '&nbsp;']","['1.2', 'r']"
9869,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,954', '&nbsp;']","['23.2', '&nbsp;']","['76.6', '&nbsp;']","['0.2', 'r']"
9869,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,533', '&nbsp;']","['16.5', '&nbsp;']","['83.0', '&nbsp;']","['0.5', 'r']"
9869,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['3,557', '&nbsp;']","['26.1', '&nbsp;']","['72.8', '&nbsp;']","['1.1', '&nbsp;']"
9869,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['356', '&nbsp;']","['39.3', '&nbsp;']","['60.7', '&nbsp;']","['0.0', '&nbsp;']"
9869,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['1,136', '&nbsp;']","['28.2', '&nbsp;']","['71.1', '&nbsp;']","['0.7', 'r']"
9869,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['2,016', '&nbsp;']","['22.9', '&nbsp;']","['75.6', '&nbsp;']","['1.5', '&nbsp;']"
9869,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['48', '&nbsp;']","['16.7', 'r']","['83.3', '&nbsp;']","['0.0', '&nbsp;']"
