table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_totala,field_basic_researchb,field_applied_researchb,field_developmentb
6587,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['73 - 490', '&nbsp;']","['73 - 186', '&nbsp;']","['0 - 135', '&nbsp;']","['0 - 188', '&nbsp;']"
6587,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['4,490', '&nbsp;']","['574', '&nbsp;']","['532', '&nbsp;']","['3,383', '&nbsp;']"
6587,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['14', '&nbsp;']","['0 - 5', '&nbsp;']","['0 - 5', '&nbsp;']","['10', '&nbsp;']"
6587,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['0 - 399', '&nbsp;']","['0 - 76', '&nbsp;']","['0 - 135', '&nbsp;']","['0 - 188', '&nbsp;']"
6587,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['4', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']"
6587,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['2', '&nbsp;']","['0 - 1', '&nbsp;']","['0 - 1', '&nbsp;']","['2', '&nbsp;']"
6587,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']"
6587,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['9', '&nbsp;']","['0 - 5', '&nbsp;']","['0 - 5', '&nbsp;']","['5', '&nbsp;']"
6587,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['33', '&nbsp;']","['0 - 5', 'i']","['0 - 5', 'i']","['29', '&nbsp;']"
6587,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['8', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['7', '&nbsp;']"
6587,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']"
6587,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['8', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['8', '&nbsp;']"
6587,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['14', '&nbsp;']","['0 - 5', 'i']","['0 - 5', 'i']","['10', '&nbsp;']"
6587,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['13,501', '&nbsp;']","['81', '&nbsp;']","['1,602', '&nbsp;']","['11,817', '&nbsp;']"
6587,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,593 - 3,767', 'i']","['1', '&nbsp;']","['0 - 1,238', '&nbsp;']","['2,354 - 3,766', 'i']"
6587,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['964', '&nbsp;']","['33', '&nbsp;']","['144', '&nbsp;']","['787', '&nbsp;']"
6587,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['218', '&nbsp;']","['0 - 33', '&nbsp;']","['2 - 35', '&nbsp;']","['184', '&nbsp;']"
6587,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['74', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['72', '&nbsp;']"
6587,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['17', 'i']","['*', 'i']","['2', 'i']","['15', 'i']"
6587,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['127', '&nbsp;']","['0 - 31', '&nbsp;']","['0 - 31', '&nbsp;']","['97', '&nbsp;']"
6587,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['8,554 - 8,725', '&nbsp;']","['12 - 48', '&nbsp;']","['185 - 1,457', '&nbsp;']","['7,078 - 8,494', '&nbsp;']"
6587,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['86', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['81', '&nbsp;']"
6587,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['196', '&nbsp;']","['11', '&nbsp;']","['14', '&nbsp;']","['171', '&nbsp;']"
6587,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['144', '&nbsp;']","['10', '&nbsp;']","['14', '&nbsp;']","['120', '&nbsp;']"
6587,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['52', 'i']","['*', '&nbsp;']","['*', '&nbsp;']","['51', 'i']"
6587,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['52', 'i']","['*', '&nbsp;']","['*', '&nbsp;']","['51', 'i']"
6587,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']"
6587,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['4 - 83', '&nbsp;']","['0', '&nbsp;']","['5', '&nbsp;']","['0 - 78', '&nbsp;']"
6587,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['319 - 398', '&nbsp;']","['4', '&nbsp;']","['4', '&nbsp;']","['311 - 389', '&nbsp;']"
6587,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['320', '&nbsp;']","['4', '&nbsp;']","['4', '&nbsp;']","['312', '&nbsp;']"
6587,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['0 - 78', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0 - 78', '&nbsp;']"
6587,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['7,642', 'i']","['104', '&nbsp;']","['479', 'i']","['7,058', 'i']"
6587,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['96', '&nbsp;']","['5 - 16', '&nbsp;']","['0 - 92', '&nbsp;']","['0 - 92', '&nbsp;']"
6587,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['0 - 7', '&nbsp;']","['0 - 7', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['195 - 1,173', '&nbsp;']","['0', '&nbsp;']","['195 - 290', 'i']","['0 - 965', 'i']"
6587,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['2 - 969', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['0 - 965', '&nbsp;']"
6587,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['5,095', 'i']","['47', '&nbsp;']","['128', 'i']","['4,921', 'i']"
6587,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['829', 'i']","['15', 'i']","['81', 'i']","['734', 'i']"
6587,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['829', 'i']","['15', 'i']","['81', 'i']","['734', 'i']"
6587,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['8', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['8', '&nbsp;']"
6587,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['255', '&nbsp;']","['26', '&nbsp;']","['31', '&nbsp;']","['197', '&nbsp;']"
6587,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['4,003', 'i']","['6', '&nbsp;']","['16', '&nbsp;']","['3,982', 'i']"
6587,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['1,036', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,036', '&nbsp;']"
6587,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['240', '&nbsp;']","['42', '&nbsp;']","['61', '&nbsp;']","['138', '&nbsp;']"
6587,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['41', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['38', '&nbsp;']"
6587,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['78', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['74', 'i']"
6587,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['94', '&nbsp;']","['25', '&nbsp;']","['55', '&nbsp;']","['14', '&nbsp;']"
6587,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['8', '&nbsp;']","['1', '&nbsp;']","['6', '&nbsp;']","['2', '&nbsp;']"
6587,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['86', '&nbsp;']","['24', '&nbsp;']","['49', '&nbsp;']","['13', '&nbsp;']"
6587,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['28', '&nbsp;']","['15', '&nbsp;']","['1', '&nbsp;']","['11', '&nbsp;']"
6587,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6587,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['0 - 31', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0 - 31', '&nbsp;']"
6587,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['27,117', '&nbsp;']","['1,005', '&nbsp;']","['2,861', '&nbsp;']","['23,251', '&nbsp;']"
6587,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6587,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['48', '&nbsp;']","['23', '&nbsp;']","['5', '&nbsp;']","['20', '&nbsp;']"
6587,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['115', '&nbsp;']","['13', '&nbsp;']","['37', '&nbsp;']","['65', '&nbsp;']"
6587,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6587,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['240', '&nbsp;']","['25', '&nbsp;']","['24', '&nbsp;']","['192', '&nbsp;']"
6587,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['560', '&nbsp;']","['116', '&nbsp;']","['69', '&nbsp;']","['375', '&nbsp;']"
6587,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6587,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['303', '&nbsp;']","['14', 'i']","['87', '&nbsp;']","['202', '&nbsp;']"
6587,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['928', '&nbsp;']","['42', '&nbsp;']","['83', '&nbsp;']","['803', '&nbsp;']"
6587,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['2,401', '&nbsp;']","['134', 'i']","['283', '&nbsp;']","['1,983', '&nbsp;']"
6587,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['1,318', '&nbsp;']","['197', '&nbsp;']","['227', '&nbsp;']","['894', '&nbsp;']"
6587,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['3,306', '&nbsp;']","['339', '&nbsp;']","['123', '&nbsp;']","['2,844', '&nbsp;']"
6587,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['17,897', '&nbsp;']","['103', '&nbsp;']","['1,921', '&nbsp;']","['15,873', 'i']"
